ChassyID	W29_NCBI	CLIB122_NCBI	CLIB122_UNIPROT	Protein_name	ec_number
Chassy_YL_C_1210	YALI1_C33005g	YALI0C23969g	Q6CAV8	"highly similar to uniprot|P03965 Saccharomyces cerevisiae YJR109c CPA2 arginine-specific carbamoylphosphate synthase, large chain I2"	
Chassy_YL_E_56	YALI1_E01589g	YALI0E01056g	F2Z650	"uniprot|Q9HFV0 Yarrowia lipolytica YALI0E01056g C1- THFS C1-tetrahydrofolate synthase precursor, mitochondrial I2"	
Chassy_YL_F_1505	YALI1_F38386g	YALI0F30745g	Q6BZU8	similar to uniprot|Q9HFV0 Yarrowia lipolytica C1- THFS protein I2	
Chassy_YL_F_915	YALI1_F23664g	YALI0F17820g	Q6C1A9	highly similar to uniprot|P39708 Saccharomyces cerevisiae YAL062W (ohnolog of YOR375C) GDH3 NADP- glutamate dehydrogenase I2	
Chassy_YL_B_1074	YALI1_B28659g	YALI0B22066g	Q6CDQ7	"highly similar to uniprot|P05030 Saccharomyces cerevisiae YGL008c PMA1 H+-transporting P-type ATPase, major isoform, plasma membrane I2"	3.6.3.6
Chassy_YL_C_570	YALI1_C15991g	YALI0C11407g	Q6CC91	uniprot|Q6CC91 Yarrowia lipolytica YALI0C11407g ACC1 Acetyl-CoA-carboxylase I2	
Chassy_YL_B_694	YALI1_B18499g	YALI0B13970g	Q6CEQ0	uniprot|Q6CEQ0 Yarrowia lipolytica YALI0B13970g GUT2 Glycerol-3-phosphate dehydrogenase mitochondrial I2	1.1.5.3
Chassy_YL_F_138	YALI1_F04045g	YALI0F02805g	Q6C342	"highly similar to uniprot|P19882 Saccharomyces cerevisiae YLR259c HSP60 heat shock protein - chaperone, mitochondrial I2"	
Chassy_YL_D_410	YALI1_D10600g	YALI0D08272g	Q9UVF3	uniprot|Q9UVF3 Yarrowia lipolytica YALI0D08272g ACT1 Actin I2	
Chassy_YL_F_619	YALI1_F16035g	YALI0F12155g	Q6C1Z3	highly similar to uniprot|P25694 Saccharomyces cerevisiae YDL126c I2	
Chassy_YL_D_1211	YALI1_D32002g	YALI0D24299g	Q6C7Y7	"similar to uniprot|P78954 Schizosaccharomyces pombe Eukaryotic translation initiation factor 4E-1, CDC33 homologue I2"	
Chassy_YL_F_760	YALI1_F19345g	YALI0F14509g	Q6C1P6	some similarities with uniprot|Q05050 Saccharomyces cerevisiae YMR031C (ohnolog of YKL050C) EIS1 Component of the eisosome required for proper eisosome assembly I2	
Chassy_YL_B_960	YALI1_B25427g	YALI0B19382g	Q6CE16	"uniprot|Q6CE16 Yarrowia lipolytica YALI0B19382g FAS2 Fatty acid synthase subunit alpha, putative I2"	
Chassy_YL_E_760	YALI1_E19557g	YALI0E16346g	Q6C5P5	"highly similar to uniprot|O13426 Candida albicans Serine hydroxymethyltransferase, cytosolic I2"	2.1.2.1
Chassy_YL_D_1106	YALI1_D28569g	YALI0D22484g	Q6C859	"similar to uniprot|P37292 Saccharomyces cerevisiae YBR263w SHM1 serine hydroxymethyltransferase precursor, mitochondrial I2"	2.1.2.1
Chassy_YL_B_708	YALI1_B18845g	YALI0B14289g	Q6CEN5	similar to uniprot|P22506 Saccharomycopsis fibuligera Beta-glucosidase 1 precursor I2	
Chassy_YL_B_981	YALI1_B26112g	YALI0B19998g	Q6CDZ4	similar to uniprot|Q12680 Saccharomyces cerevisiae YDL171c GLT1 glutamate synthase (NAPDPH) (GOGAT I2	
Chassy_YL_A_688	YALI1_A17177g	YALI0A17127g	Q6CGR2	similar to uniprot|P22137 Saccharomyces cerevisiae YGL206c CHC1 Clathrin heavy chain I2	
Chassy_YL_D_863	YALI1_D22124g	YALI0D17864g	Q6C8Q3	"uniprot|Q6C8Q3 Yarrowia lipolytica YALI0D17864g FAA1 Long chain fatty acyl-CoA synthetase, putative I2"	
Chassy_YL_F_400	YALI1_F11049g	YALI0F07711g	Q6C2I1	highly similar to uniprot|P12709 Saccharomyces cerevisiae YBR196c PGI1 glucose-6-phosphate isomerase I2	5.3.1.9
Chassy_YL_D_1263	YALI1_D33380g	YALI0D25168g	Q6C7U9	similar to uniprot|P06106 Saccharomyces cerevisiae YLR303w MET25 O-acetylhomoserine sulfhydrylase I2	
Chassy_YL_E_964	YALI1_E24201g	YALI0E20405g	Q6C577	"uniprot|Q6C577 Yarrowia lipolytica YALI0E20405g AAL7 Acyl/aryl-CoA ligase, putative I2"	
Chassy_YL_E_1330	YALI1_E33056g	YALI0E27962g	Q6C4C2	highly similar to uniprot|P31539 Saccharomyces cerevisiae YLL026w HSP104 heat shock protein I2	
Chassy_YL_F_653	YALI1_F16656g	YALI0F12463g	Q6C1Y2	similar to uniprot|P33416 Saccharomyces cerevisiae YDR258C HSP78 Oligomeric mitochondrial matrix chaperone I2	
Chassy_YL_F_1053	YALI1_F27211g	YALI0F20504g	Q6C0Z6	uniprot|Q6C0Z6 Yarrowia lipolytica YALI0F20504g CCP1 Mitochondrial cytochrome-c peroxidase I2	1.11.1.5
Chassy_YL_E_307	YALI1_E07744g	YALI0E06479g	Q6C6T4	uniprot|Q6C6T4 Yarrowia lipolytica YALI0E06479g TKL1 Transketolase 1 I2	2.2.1.1
Chassy_YL_E_288	YALI1_E07302g	YALI0E06017g	Q6C6V1	similar to uniprot|P22515 Saccharomyces cerevisiae YKL210w UBA1 E1-like (ubiquitin-activating) enzyme I2	
Chassy_YL_F_617	YALI1_F15990g	YALI0F12111g	Q6C1Z5	similar to uniprot|P40564 Saccharomyces cerevisiae YIR004w I2	
Chassy_YL_E_1667	YALI1_E41315g	YALI0E34793g	Q6C3H5	uniprot|Q6C3H5 Yarrowia lipolytica YALI0E34793g ACL1 ATP citrate lyase I2	
Chassy_YL_A_650	YALI1_A16292g	YALI0A16379g	Q6CGT5	uniprot|Q6CGT5 Yarrowia lipolytica YALI0A16379g ADH3 Alcohol dehydrogenase II I2	
Chassy_YL_E_832	YALI1_E21128g	YALI0E17787g	F2Z678	uniprot|Q9UW07 Yarrowia lipolytica YALI0E17787g ADH2 Alcohol dehydrogenase II I2	1.1.1.1
Chassy_YL_E_358	YALI1_E09329g	YALI0E07766g	Q6C6P0	uniprot|Q6C6P0 Yarrowia lipolytica YALI0E07766g ADH5 Alcohol dehydrogenase I I2	
Chassy_YL_A_605	YALI1_A15227g	YALI0A15147g	Q6CGX5	uniprot|Q6CGX5 Yarrowia lipolytica YALI0A15147g ADH4 Alcohol dehydrogenase III I2	
Chassy_YL_B_1062	YALI1_B28292g	YALI0B21662g	Q6CDS1	weakly similar to uniprot|P06105 Saccharomyces cerevisiae YJL080c SCP160 required for maintenance of exact ploidy I2	
Chassy_YL_D_782	YALI1_D20222g	YALI0D16357g	P59680	uniprot|P59680 Yarrowia lipolytica YALI0D16357g PFK1 6-phosphofructokinase I2	2.7.1.11
Chassy_YL_D_608	YALI1_D15424g	YALI0D12400g	P29407	uniprot|P29407 Yarrowia lipolytica YALI0D12400g PGK1 Phosphoglycerate kinase I2	2.7.2.3
Chassy_YL_D_633	YALI1_D16029g	YALI0D12903g	O59950	uniprot|O59950 Yarrowia lipolytica YALI0D12903g RPS4/RPS7 Ribosomal 40S subunit protein S4 (S7) I2	
Chassy_YL_D_552	YALI1_D14058g	YALI0D11176g	Q6C9H5	similar to uniprot|P47169 Saccharomyces cerevisiae YJR137c ECM17 involved in cell wall biogenesis and architecture I2	
Chassy_YL_D_1176	YALI1_D30618g	YALI0D23683g	Q6C812	uniprot|Q6C812 Yarrowia lipolytica YALI0D23683g LAT1 Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex I2	2.3.1.12
Chassy_YL_B_493	YALI1_B12993g	YALI0B09647g	Q6CF74	"similar to uniprot|P07275 Saccharomyces cerevisiae YHR037W PUT2 Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial precursor I2"	
Chassy_YL_C_566	YALI1_C15832g	YALI0C11341g	Q6CC94	"highly similar to uniprot|Q12230 Saccharomyces cerevisiae YPL004C LSP1 Primary component of eisosomes, which are large immobile patch structures at the cell cortex associated with endocytosis I2"	
Chassy_YL_A_100	YALI1_A02775g	YALI0A02310g	Q6CI26	highly similar to uniprot|P32861 Saccharomyces cerevisiae YKL035W (ohnolog of YHL012W) UGP1 UTP--glucose- 1-phosphate uridylyltransferase I2	2.7.7.9
Chassy_YL_E_306	YALI1_E07676g	YALI0E06457g	Q6C6T5	similar to uniprot|P07702 Saccharomyces cerevisiae LYS2 YBR115C Alpha aminoadipate reductase I2	
Chassy_YL_F_443	YALI1_F12013g	YALI0F08613g	Q6C2E3	uniprot|Q6C2E3 Yarrowia lipolytica YALI0F08613g QCR2 Ubiquinol-cytochrome-c reductase chain II I2	
Chassy_YL_D_1025	YALI1_D26360g	YALI0D20768g	Q6C8C6	uniprot|Q6C8C6 Yarrowia lipolytica YALI0D20768g LPD1 Dihydrolipoamide dehydrogenase I2	1.8.1.4
Chassy_YL_E_625	YALI1_E16202g	YALI0E13255g	Q6C618	"uniprot|Q6C618 Yarrowia lipolytica YALI0E13255g SSE1 HSP70 protein, ATPase component of heat shock protein Hsp90 chaperone complex I2"	
'Chassy_YL_D_1219	YALI1_D32209g	YALI0D24409g	Q6C7Y2	highly similar to uniprot|P38009 Saccharomyces cerevisiae YMR120C ADE17 (ohnolog of YLR028C) Enzyme of ''de novo'' purine biosynthesis' I2	
Chassy_YL_B_719	YALI1_B19079g	YALI0B14509g	Q6CEM5	highly similar to uniprot|Q9P842 Candida albicans CaSAM2 S-adenosylmethionine synthetase 2 I2	2.5.1.6
Chassy_YL_C_1231	YALI1_C33458g	YALI0C24420g	Q6CAT7	similar to uniprot|P29547 Saccharomyces cerevisiae YPL048w CAM1 translation elongation factor eEF1 gamma homologue I2	
Chassy_YL_B_626	YALI1_B16544g	YALI0B12562g	Q6CEV6	"uniprot|Q6CEV6 Yarrowia lipolytica YALI0B12562g TEF4 Gamma subunit of translational elongation factor eEF1B, glutathione transferase I2"	
Chassy_YL_E_449	YALI1_E11943g	YALI0E09603g	Q6C6H1	similar to uniprot|P33327 Saccharomyces cerevisiae YDL215c GDH2 NAD-specific glutamate dehydrogenase (NAD) I2	1.4.1.2
Chassy_YL_F_125	YALI1_F03803g	YALI0F02497g	Q6C354	uniprot|Q6C354 Yarrowia lipolytica YALI0F02497g PDH1 2-methylcitrate dehydratase I2	4.2.1.79
Chassy_YL_E_671	YALI1_E17214g			No description in CLIB122 I2	
Chassy_YL_E_1497	YALI1_E37040g	YALI0E31449g	Q6C3X6	similar to uniprot|Q12464 Saccharomyces cerevisiae YPL235W RVB2 RUVB-like protein I2	3.6.4.12
Chassy_YL_E_1036	YALI1_E25866g	YALI0E21868g	Q6C516	highly similar to uniprot|P53549 Saccharomyces cerevisiae YOR259c CRL13 26S proteasome regulatory subunit I2	
Chassy_YL_D_580	YALI1_D14609g	YALI0D11770g	Q6C9E8	highly similar to uniprot|P33298 Saccharomyces cerevisiae YDR394w YTA2 26S proteasome regulatory subunit I2	
Chassy_YL_D_824	YALI1_D21167g	YALI0D17204g	Q6C8T1	highly similar to uniprot|Q01939 Saccharomyces cerevisiae YGL048c SUG1 26S proteasome regulatory subunit I2	
Chassy_YL_D_154	YALI1_D03952g	YALI0D03135g	Q6CAF8	uniprot|Q6CAF8 Yarrowia lipolytica YALI0D03135g ILV5 Acetohydroxyacid reductoisomerase I2	1.1.1.86
Chassy_YL_F_294	YALI1_F08431g	YALI0F05676g	Q6C2R9	highly similar to uniprot|P23248 Saccharomyces cerevisiae YML063W (ohnolog of YLR441C) Ribosomal protein of the small (40S) subunit I2	
Chassy_YL_C_320	YALI1_C09033g	YALI0C06776g	Q6CCT2	uniprot|Q6CCT2 Yarrowia lipolytica YALI0C06776g FUM1 Fumarate hydratase mitochondrial precursor (Fumarase) I2	
Chassy_YL_C_24	YALI1_C00739g	YALI0C00539g	Q6CDH3	weakly similar to uniprot|P04147 Saccharomyces cerevisiae YER165w PAB1 mRNA polyadenylate-binding protein I2	
Chassy_YL_B_696	YALI1_B18572g	YALI0B14014g	Q6CEP8	uniprot|Q6CEP8 Yarrowia lipolytica YALI0B14014g FAO1 Fatty alkohol oxidase I2	
Chassy_YL_A_585	YALI1_A14736g	YALI0A14806g	Q6CGY9	similar to uniprot|P11913 Neurospora crassa Mitochondrial processing peptidase beta subunit I2	
Chassy_YL_C_322	YALI1_C09094g	YALI0C06820g	Q6CCT0	highly similar to uniprot|P49626 Saccharomyces cerevisiae YDR012W RPL4B (ohnolog of YBR031W) Protein component of the large (60S) ribosomal subunit I2	
Chassy_YL_F_272	YALI1_F07847g	YALI0F05214g	Q6C2T9	uniprot|Q6C2T9 Yarrowia lipolytica YALI0F05214g TPI1 Triose-phosphate isomerase I2	5.3.1.1
Chassy_YL_C_1084	YALI1_C29810g	YALI0C21560g	Q6CB65	highly similar to uniprot|P14126 Saccharomyces cerevisiae YOR063w TCM1 60S large subunit ribosomal protein L3.e I2	
Chassy_YL_D_303	YALI1_D08082g	YALI0D06303g	Q6CA33	"uniprot|Q6CA33 Yarrowia lipolytica YALI0D06303g IDH2 Isocitrate dehydrogenase (NAD+) subunit 2 mitochondrial, putative I2"	
Chassy_YL_F_812	YALI1_F20914g	YALI0F15587g	Q6C1K2	highly similar to uniprot|P15019 Saccharomyces cerevisiae YLR354C (ohnolog of YGR043C) TAL1 transaldolase I2	2.2.1.2
Chassy_YL_F_1062	YALI1_F27556g	YALI0F20702g	Q6C0Y7	uniprot|Q6C0Y7 Yarrowia lipolytica YALI0F20702g PDA1 Pyruvate Dehydrogenase Alpha subunit I2	1.2.4.1
Chassy_YL_B_1049	YALI1_B27874g	YALI0B21428g	Q6CDT1	highly similar to uniprot|P14742 Saccharomyces cerevisiae YKL104C GFA1 (ohnolog of YMR084W) Glutamine- fructose-6-phosphate amidotransferase I2	
Chassy_YL_F_310	YALI1_F08845g	YALI0F05962g	Q6C2Q5	"uniprot|Q6C2Q5 Yarrowia lipolytica YALI0F05962g ACS2 Acetyl-coA synthetase, putative I2"	6.2.1.1
Chassy_YL_E_734	YALI1_E18927g	YALI0E15708g	Q6C5R9	"uniprot|Q6C5R9 Yarrowia lipolytica YALI0E15708g MLS1 Malate synthase, putative I2"	2.3.3.9
Chassy_YL_E_142	YALI1_E03584g	YALI0E03036g	Q6C781	similar to uniprot|P55059 Humicola insolens disulfide isomerase precursor I2	5.3.4.1
Chassy_YL_F_1241	YALI1_F32090g	YALI0F24739g	Q6C0H1	highly similar to uniprot|P0CX46 Saccharomyces cerevisiae YIL018W (ohnolog of YFR031C-A) RPL5A 60S large subunit ribosomal protein L8.e I2	
Chassy_YL_E_949	YALI1_E23912g	YALI0E20031g	Q6C592	similar to uniprot|P38011 Saccharomyces cerevisiae YMR116c ASC1 40S small subunit ribosomal protein I2	
Chassy_YL_F_1463	YALI1_F37463g	YALI0F29909g	Q6BZY5	weakly similar to uniprot|Q03104 Saccharomyces cerevisiae YML128c GIN3 unknown function I2	
Chassy_YL_F_1470	YALI1_F37559g	YALI0F30019g	Q6BZY1	similar to uniprot|P38972 Saccharomyces cerevisiae YGR061c ADE6 5 -phosphoribosylformyl glycinamidine synthetase I2	
Chassy_YL_E_1131	YALI1_E28033g	YALI0E23694g	Q6C4U1	some similarities with uniprot|P05750 Saccharomyces cerevisiae YNL178w RPS3 ribosomal protein S3 I2	
Chassy_YL_A_393	YALI1_A09766g	YALI0A09900g	Q6CHD8	Highly similar to uniprot|P17255 Saccharomyces cerevisiae YDL185W VMA1 Subunit A of the V1 peripheral membrane domain of V-ATPase I2	
Chassy_YL_F_215	YALI1_F06197g	YALI0F04095g	Q6C2Y4	"uniprot|Q6C2Y4 Yarrowia lipolytica YALI0F04095g IDP1 Isocitrate dehydrogenase, putative I2"	1.1.1.42
Chassy_YL_F_1040	YALI1_F26873g	YALI0F20218g	Q6C109	similar to uniprot|P07806 Saccharomyces cerevisiae YGR094w VAS1 valyl-tRNA synthetase I2	
Chassy_YL_A_815	YALI1_A20408g	YALI0A19470g	Q6CGG9	"similar to uniprot|Q06440 Saccharomyces cerevisiae YLR429w CRN1 a coronin, that promotes actin polymerization and crosslinking to microtubules I2"	
Chassy_YL_B_1025	YALI1_B27320g	YALI0B20922g	Q6CDV4	highly similar to uniprot|P47943 Schizosaccharomyces pombe Eukaryotic initiation factor 4A (eIF-4A) (eIF4A) I2	3.6.4.13
Chassy_YL_F_133	YALI1_F03973g	YALI0F02695g	Q6C347	highly similar to uniprot|B6QF70 Talaromyces marneffei putative eukaryotic translation initiation factor eIF-4A subunit I2	3.6.4.13
Chassy_YL_A_429	YALI1_A10827g	YALI0A10725g	Q6CHA6	"similar to uniprot|P26786 Saccharomyces cerevisiae YOR096W RPS7A (ohnolog of YNL096C) Protein component of the small (40S) ribosomal subunit, nearly identical to Rps7Bp I2"	
Chassy_YL_D_1171	YALI1_D30506g	YALI0D23595g	Q6C816	similar to uniprot|P32468 Saccharomyces cerevisiae YHR107C CDC12 Component of the septin ring of the mother- bud neck that is required for cytokinesis I2	
Chassy_YL_D_1355	YALI1_D35768g	YALI0D27148g	Q6C7L3	similar to uniprot|P32468 Saccharomyces cerevisiae YHR107c CDC12 septin I2	
Chassy_YL_A_684	YALI1_A17085g	YALI0A17020g	Q6CGR5	hypothetical protein conserved in the Yarrowia clade I2	
Chassy_YL_D_1220	YALI1_D32268g	YALI0D24431g	Q6C7Y1	uniprot|Q6C7Y1 Yarrowia lipolytica YALI0D24431g ACL2 ATP citrate lyase I2	
Chassy_YL_B_129	YALI1_B03198g	YALI0B02178g	Q6CFZ7	uniprot|Q6CFZ7 Yarrowia lipolytica YALI0B02178g AAT2 Aspartate aminotransferase I2	2.6.1.1
Chassy_YL_C_11	YALI1_C00293g	YALI0C00253g	Q6CDI5	"highly similar to uniprot|P07342 Saccharomyces cerevisiae YMR108W ILV2 Acetolactate synthase, catalyses the first common step in isoleucine and valine biosynthesis I2"	2.2.1.6
Chassy_YL_F_479	YALI1_F12917g	YALI0F09273g	Q6C2B3	uniprot|Q6C2B3 Yarrowia lipolytica YALI0F09273g DAK2 dihydroxyacetone kinase I2	
Chassy_YL_D_299	YALI1_D07981g	(YALI0D06215g-YALI0D06215g2_1)	Q6CA37	"uniprot|Q6CA37 Yarrowia lipolytica YALI0D06215g EHD3 Enoyl-CoA hydratase, putative I2"	3.1.2.4
Chassy_YL_E_529	YALI1_E13899g	YALI0E11099g	Q6L8K7	uniprot|Q6L8K7 Yarrowia lipolytica YALI0E11099g PAT1 Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase) I2	2.3.1.9
Chassy_YL_D_561	YALI1_D14260g	YALI0D11374g	Q6C9G6	uniprot|Q6C9G6 Yarrowia lipolytica YALI0D11374g SDH1 Succinate dehydrogenase I2	1.3.5.1
Chassy_YL_E_590	YALI1_E15398g	YALI0E12419g	Q6C650	"uniprot|Q6C650 Yarrowia lipolytica YALI0E12419g AAL4 Acyl/aryl-CoA ligase, putative I2"	
Chassy_YL_E_284	YALI1_E07153g	YALI0E05951g	Q6C6V4	"uniprot|Q6C6V4 Yarrowia lipolytica YALI0E05951g AAL3 Acyl/aryl-CoA ligase, putative I2"	
Chassy_YL_B_400	YALI1_B10231g	YALI0B07755g	Q6CFE4	"uniprot|Q6CFE4 Yarrowia lipolytica YALI0B07755g AAL8 Acyl/aryl-CoA ligase, putative I2"	
Chassy_YL_B_524	YALI1_B13948g	YALI0B10340g	Q6CF46	"uniprot|Q6CF46 Yarrowia lipolytica YALI0B10340g CAT2 Peroxisomal carnitine acetyl transferase, putative I2"	
Chassy_YL_E_1300	YALI1_E32332g	YALI0E27346g	Q6C4E9	"highly similar to uniprot|P16140 Saccharomyces cerevisiae YBR127c VMA2 H+-ATPase V1 domain 60 KD subunit, vacuolar I2"	
