"orthoList$OG_IDs[converted]"	"genes"	"logFC"	"logCPM"	"PValue"	"FDR"	"Portein_names"
"OG0003644"	"YALI1_E30520g"	-1.732895617	4.685031825	4.55177e-06	0.000281327	"weakly similar to uniprot|P25588 Saccharomycescerevisiae YCL061c related to Uridine Kinase URK1"
"OG0003611"	"YALI1_E19014g"	1.822878537	6.174373745	3.28175e-06	0.000220862	"some similarities with uniprot|P10127 Saccharomycescerevisiae YGL256w ADH4 alcohol dehydrogenase IV"
"OG0003350"	"YALI1_B29977g"	1.109659924	7.73524977	0.001249757	0.014067056	"highly similar to uniprot|P17871Schizosaccharomyces pombe Transcription initiation factorTFIID (TATA-box factor) (TATA sequence-binding protein)(TBP)"
"OG0000674"	"YALI1_F32002g"	-0.948675699	7.112516478	0.001911277	0.019145493	"similar to uniprot|P40086 Saccharomyces cerevisiaeYER141W Cytochrome c oxidase assembly protein COX15"
"OG0000885"	"YALI1_E25163g"	-0.984577299	3.638654956	0.003396771	0.02767662	"similar to uniprot|P53334 Saccharomyces cerevisiaeYGR279C Probable family 17 glucosidase SCW4 precursor(Soluble cell wall protein 4)"
"OG0001450"	"YALI1_F18081g"	-1.000927768	6.950900064	0.003223222	0.027153066	"weakly similar to uniprot|P52593 Saccharomycescerevisiae YML103c NUP188 nuclear pore protein"
"OG0003287"	"YALI1_F26142g"	1.389727476	5.611851415	0.000282835	0.005053492	"similar to DEHA0F20284g Debaryomyces hansenii"
"OG0001952"	"YALI1_F17836g"	-1.834559269	7.467847221	3.61879e-09	1.67809e-06	"weakly similar to uniprot|P08964 Saccharomycescerevisiae YHR023w MYO1 myosin-1 isoform (type II myosin)heavy chain"
"OG0002461"	"YALI1_D20885g"	-1.830999311	4.95959467	5.76737e-05	0.001704047	"weakly similar to uniprot|P36056 Saccharomycescerevisiae YKL155c CAP1 putative cytochrome c oxidase"
"OG0003380"	"YALI1_F19720g"	-0.983638152	5.317773435	0.002197765	0.021029801	"weakly similar to uniprot|P54790 Saccharomycescerevisiae YLL004w ORC3 origin recognition complex 62 kDasubunit"
"OG0003403"	"YALI1_E36837g"	-0.917702751	3.337661705	0.002876572	0.025063503	"weakly similar to uniprot|Q8SY55 Drosophilamelanogaster GH09355p"
"OG0001812"	"YALI1_E31827g"	-0.753136475	7.255215596	0.007842045	0.0466594	"weakly similar to DEHA0E18150g Debaryomyceshansenii"
"OG0003436"	"YALI1_E38020g"	-0.869686397	7.249720298	0.007033934	0.043474017	"similar to uniprot|Q05946 Saccharomyces cerevisiaeYLR222c UTP13"
"OG0003158"	"YALI1_D25715g"	-3.625963029	4.641480172	7.51899e-06	0.000402828	"similar to uniprot|P47818 Saccharomyces cerevisiaeYLR220w CCC1 involved in calcium regulation singleton"
"OG0003294"	"YALI1_E29085g"	-0.935508238	3.357392483	0.005074792	0.034850356	"weakly similar to uniprot|P38086 Saccharomycescerevisiae YBR073w RDH54 required for mitoticdiploid-specific recombination and repair and meiosis"
"OG0002683"	"YALI1_B22109g"	-1.502797412	6.304744602	1.16112e-06	0.000103425	"some similarities with CA4429|CaDBF4 Candidaalbicans regulatory subunit for Cdc7 by homology"
"OG0001508"	"YALI1_F35983g"	-1.123411132	6.002207805	5.60756e-05	0.001664952	"weakly similar to uniprot|Q12500 Saccharomycescerevisiae YLR114c unknown function"
"OG0002807"	"YALI1_E29235g"	-1.07366907	4.177736986	0.000631596	0.00883505	"similar to uniprot|Q12152 Saccharomyces cerevisiaeYPL150w"
"OG0001780"	"YALI1_D01967g"	-1.278060287	6.100267626	0.00105578	0.012514399	"similar to uniprot|Q08647 Saccharomyces cerevisiaeYOR243c"
"OG0001216"	"YALI1_E25211g"	-0.702360148	6.148477892	0.006761375	0.042439011	"similar to uniprot|Q02724 Saccharomyces cerevisiaeYPL020c ULP1 Ubl-specific protease"
"OG0002565"	"YALI1_F28107g"	0.881884912	6.97375007	0.005101618	0.034887968	"similar to uniprot|Q10167 Schizosaccharomyces pombeHypothetical protein C26A3.14c"
"OG0003592"	"YALI1_C04436g"	-1.786728668	5.889249262	4.15574e-09	1.67809e-06	"weakly similar to uniprot|P26309 Saccharomycescerevisiae YGL116w CDC20 cell division control protein"
"OG0003220"	"YALI1_B24043g"	-1.068313335	5.032614743	0.004639112	0.032899893	"some similarities with uniprot|P53137 Saccharomycescerevisiae YGL110C Hypothetical 72.0 kDa protein inTAF60-MLC1 intergenic region"
"OG0003299"	"YALI1_B08650g"	-0.965093267	7.186710876	0.00033432	0.005736199	"similar to uniprot|P38138 Saccharomyces cerevisiaeYBR229c ROT2 glucosidase II catalytic subunit singleton"
"OG0002504"	"YALI1_B00578g"	-0.911615367	7.329308353	0.002571459	0.023332573	"similar to uniprot|P53128 Saccharomyces cerevisiaeYGL125W Methylenetetrahydrofolate reductase 2"
"OG0001990"	"YALI1_C14738g"	-1.809927424	4.051333173	1.80012e-06	0.000141601	"weakly similar to uniprot|Q04018 Saccharomycescerevisiae YMR244w Hypothetical 37.4 kDa protein"
"OG0003197"	"YALI1_F34798g"	1.118448835	6.025264021	0.007494732	0.045468077	"similar to uniprot|P28627 Saccharomyces cerevisiaeYMR150c IMP1 protease mitochondrial singleton"
"OG0002739"	"YALI1_B03963g"	-0.866430371	5.049289236	0.003922728	0.029971972	"weakly similar to wi|NCU01254.1 Neurospora crassaNCU01254.1 hypothetical protein"
"OG0003490"	"YALI1_D14224g"	-1.190032312	5.090672545	0.000542606	0.007957776	"weakly similar to uniprot|P24309 Saccharomycescerevisiae YKL149c DBR1 lariat-debranching enzyme"
"OG0001014"	"YALI1_C26544g"	1.672870601	6.122602777	0.001820814	0.018598099	"similar to uniprot|P38921 Saccharomyces cerevisiaeYNL003c PET8 member of the mitochondrial carrier (MCF)"
"OG0003076"	"YALI1_C23359g"	-2.20487545	4.884835089	1.11945e-10	9.68645e-08	"some similarities with uniprot|P25558 Saccharomycescerevisiae YCL014W Bud site selection protein BUD3"
"OG0001439"	"YALI1_D02063g"	1.073436743	6.972411988	0.00182936	0.018653924	"weakly similar to uniprot|P53275 Saccharomycescerevisiae YGR127w"
"OG0000754"	"YALI1_E05599g"	0.751512344	5.114816212	0.003651094	0.028908071	"weakly similar to uniprot|P29340 Saccharomycescerevisiae YGR133w PAS2 E2 ubiquitin-conjugating enzyme -peroxin and uniprot|P15731 Saccharomyces cerevisiaeYBR082c UBC4 E2 ubiquitin-conjugating enzyme"
"OG0002632"	"YALI1_B07094g"	-1.24279226	8.191326446	0.00012592	0.002889	"similar to uniprot|P10614 Saccharomyces cerevisiaeYHR007C Cytochrome P450 51 (EC 1.14.14.-) (CYPL1)(P450-L1A1) (Sterol 14- alpha demethylase)"
"OG0000841"	"YALI1_B07843g"	1.754285024	8.127654123	0.005484591	0.036717325	"similar to uniprot|Q8X0S2 Neurospora crassa Relatedto syntaxin family member TLG1"
"OG0002694"	"YALI1_D28003g"	-1.341091681	3.724385906	3.77302e-05	0.001222094	"weakly similar to DEHA0G05324g Debaryomyceshansenii"
"OG0001635"	"YALI1_C20953g"	-1.096936559	3.14032014	0.000671776	0.009247611	"weakly similar to uniprot|Q04149 Saccharomycescerevisiae YDR386w MUS81 involved in the repair of UV andmethylation induced DNA damage"
"OG0001681"	"YALI1_C05372g"	-0.683619423	5.484191942	0.008662941	0.049925244	"some similarities with uniprot|P50875 Saccharomycescerevisiae YOL148c SPT20 member of the TBP class of SPTproteins that alter transcription site selection"
"OG0001388"	"YALI1_E03762g"	-0.949747656	7.600313299	0.006793109	0.04255001	"similar to uniprot|P43123 Saccharomyces cerevisiaeYDL103c QRI1 UDP-N-acetylglucosamine pyrophosphorylase"
"OG0000960"	"YALI1_A08175g"	-1.946861804	4.939446175	1.12131e-11	1.35835e-08	"similar to uniprot|P15436 Saccharomyces cerevisiaeYDL102w CDC2 DNA-directed DNA polymerase delta catalytic125 KD subunit"
"OG0002992"	"YALI1_D16656g"	-1.287232524	6.672927865	0.000724331	0.00972788	"similar to uniprot|Q04500 Saccharomyces cerevisiaeYML093w"
"OG0002357"	"YALI1_B13586g"	-1.07420072	6.872570176	0.002757045	0.024307749	"similar to uniprot|P47083 Saccharomyces cerevisiaeYJR002w MPP10 component of the U3 small nucleolarribonucleoprotein singleton"
"OG0003522"	"YALI1_D13126g"	-1.034339788	6.126216091	0.003120285	0.026598581	"similar to uniprot|Q07896 Saccharomyces cerevisiaeChromosome XII reading frame ORF YLR002C"
"OG0000725"	"YALI1_C07979g"	0.726814786	7.474961423	0.004090582	0.03055075	"similar to uniprot|P14682 Saccharomyces cerevisiaeYDR054C Ubiquitin-conjugating enzyme E2-34 kDa (EC 6.3.2.19) (Ubiquitin-protein ligase) (Cell division controlprotein 34)"
"OG0001068"	"YALI1_D20840g"	-1.121945608	4.430428923	0.003257311	0.027288431	"weakly similar to uniprot|P53886 Saccharomycescerevisiae YNL172w APC1 subunit of anaphase-promotingcomplex (cyclosome)"
"OG0002505"	"YALI1_D20118g"	-1.053946247	6.001668011	0.002770571	0.024391495	"similar to uniprot|P53893 Saccharomyces cerevisiaeYNL163c translation elongation factor eEF4"
"OG0001853"	"YALI1_E32180g"	1.343042064	0.458159639	0.000689252	0.009445248	"similar to uniprot|P41948 Saccharomyces cerevisiaeYNL142w MEP2"
"OG0002910"	"YALI1_E18843g"	-0.987836979	6.656807781	0.000700071	0.009527233	"similar to uniprot|P32908 Saccharomyces cerevisiaeYFL008w SMC1 chromosome segregation protein"
"OG0003576"	"YALI1_F14290g"	-1.428662161	4.794618041	0.000348803	0.005912969	"weakly similar to DEHA0G25322g Debaryomyceshansenii"
"OG0003110"	"YALI1_B22020g"	-0.857060872	6.201658262	0.000886462	0.011351592	"weakly similar to uniprot|P38630 Saccharomycescerevisiae YOR217w RFC1 DNA replication factor C 95 KDsubunit"
"OG0002050"	"YALI1_D14004g"	-0.860203312	7.126683277	0.006822177	0.042687938	"similar to uniprot|P36037 Saccharomyces cerevisiaeYKL213c DOA1 involved in ubiquitin-dependent proteolysisP29.1.f3.1"
"OG0003640"	"YALI1_E13637g"	-0.953123868	4.941704152	0.003487992	0.027964959	"similar to uniprot|P40348 Saccharomyces cerevisiaeYJR068w RFC2 DNA replication factor C 41 KD subunit"
"OG0000966"	"YALI1_D31568g"	-1.19961953	5.148436444	4.7521e-05	0.001476074	"weakly similar to uniprot|P49956 Saccharomycescerevisiae YMR078C CHL12 protein"
"OG0003132"	"YALI1_D12342g"	0.791297805	7.29016188	0.004663162	0.0329561	"weakly similar to uniprot|P38749 Saccharomycescerevisiae YHL009c YAP3 transcription factor of afungal-specific family of bzip proteins singleton"
"OG0002175"	"YALI1_E06119g"	1.880747925	6.453891174	0.001090033	0.012721256	"similar to uniprot|P43682 Saccharomyces cerevisiaeYKL006ca SFT1 SNARE-like protein"
"OG0003569"	"YALI1_E00760g"	-1.851831289	7.912692066	3.00342e-06	0.000209758	"highly similar to uniprot|Q9C2Y6 Saccharomycespastorianus MET14-CA Adenosine-5 -phosphosulfate kinase"
"OG0003452"	"YALI1_F33189g"	-2.186266175	7.567763783	1.18533e-05	0.000548059	"similar to uniprot|P50276 Saccharomyces cerevisiaeYGR055w MUP1 high affinity methionine permease"
"OG0001661"	"YALI1_E01885g"	1.211629354	4.90105179	0.003562182	0.028352345	"weakly similar to uniprot|P53237 Saccharomycescerevisiae YGR057c LST7 required for amino acid permeasetransport from the Golgi to the cell surface"
"OG0003027"	"YALI1_E27556g"	0.898501092	6.556114393	0.008279785	0.048454743	"similar to uniprot|P12868 Saccharomyces cerevisiaeYMR231w PEP5 vacuolar biogenesis protein"
"OG0001208"	"YALI1_D22083g"	-0.975911231	5.526499415	0.006017318	0.039359496	"weakly similar to uniprot|P53264 Saccharomycescerevisiae YGR110w"
"OG0001566"	"YALI1_A01298g"	0.82109211	6.386348867	0.006601691	0.041914508	"weakly similar to uniprot|P32341 Saccharomycescerevisiae YKL119c VPH2 H+-ATPase assembly protein"
"OG0003314"	"YALI1_E04823g"	-1.126049728	4.904047487	0.006220934	0.040170789	"similar to uniprot|P32332 Saccharomyces cerevisiaeYKL120w Mitochondrial oxaloacetate transport protein"
"OG0002400"	"YALI1_C32049g"	-0.751852711	6.356416446	0.005951834	0.039084545	"weakly similar to uniprot|Q12102 Saccharomycescerevisiae YLR115w CFT2 cleavage and polyadenylationspecificity factor part of CF II"
"OG0002383"	"YALI1_E08114g"	-1.197360729	6.928512728	0.004332553	0.031561326	"similar to uniprot|P38205 Saccharomyces cerevisiaeYBL024w NCL1 tRNA (cytosine-5-)-methyltransferase"
"OG0000712"	"YALI1_D21702g"	-1.578805943	7.647884842	0.000323105	0.005604579	"similar to uniprot|P33892 Saccharomyces cerevisiaeYGL195w GCN1 translational activator"
"OG0001837"	"YALI1_D06665g"	-1.531640569	4.111163119	0.00043666	0.006851943	"similar to uniprot|P46957 Saccharomyces cerevisiaeYJR006w HUS2 DNA-directed DNA polymerase delta 55 KDsubunit"
"OG0001461"	"YALI1_B14924g"	0.915702426	7.422811293	0.003938973	0.030048309	"weakly similar to uniprot|Q09910Schizosaccharomyces pombe Hypothetical protein C30D11.11in chromosome I"
"OG0002715"	"YALI1_A01602g"	-1.615232862	5.197785403	0.000102708	0.002508471	"similar to uniprot|P36150 Saccharomyces cerevisiaeYKR069w MET1 siroheme synthase"
"OG0001981"	"YALI1_F21224g"	-0.934361538	5.387513582	0.000173655	0.003650598	"weakly similar to uniprot|P50275 Saccharomycescerevisiae YOR058c ASE1 microtubule-associated protein(nonmotor)"
"OG0000806"	"YALI1_F27663g"	-1.280278509	6.115544414	0.000444917	0.006892228	"highly similar to uniprot|P06839 Saccharomycescerevisiae YER171w RAD3 DNA helicase/ATPase"
"OG0000700"	"YALI1_F33925g"	-1.365183339	5.919300569	1.56622e-05	0.000671104	"similar to uniprot|Q03834 Saccharomyces cerevisiaeYDR097c MSH6 DNA mismatch repair protein"
"OG0001523"	"YALI1_D04186g"	-0.919956299	6.840604017	0.003008711	0.025922847	"similar to uniprot|P21269 Saccharomyces cerevisiaeYER168c CCA1 tRNA nucleotidyltransferase"
"OG0001213"	"YALI1_A18166g"	-1.481175548	7.523921775	0.000381386	0.00621921	"highly similar to uniprot|Q03195 Saccharomycescerevisiae YDR091c RLI1"
"OG0002157"	"YALI1_F22241g"	-1.962878665	6.62385297	3.3161e-08	7.17343e-06	"some similarities with uniprot|P23201 Saccharomycescerevisiae YLL021w SPA2 involved in cell polarity"
"OG0003198"	"YALI1_C33193g"	1.406297858	5.931196167	0.008010649	0.047383304	"weakly similar to uniprot|Q06675 Saccharomycescerevisiae YDR318W Chromosome IV"
"OG0001235"	"YALI1_F18550g"	-1.315021755	5.639546293	5.35152e-06	0.000311696	"no similarity"
