"orthoList$OG_IDs[converted]"	"genes"	"logFC"	"logCPM"	"PValue"	"FDR"	"Portein_names"
"OG0001000"	"KMXK_0B02650"	-0.565591904	5.293302753	3.23438e-08	1.05882e-06	"uncharacterized protein KLMA_20249"
"OG0002620"	"KMXK_0B02720"	0.543391649	9.774760353	1.14041e-08	3.97502e-07	"glycogen phosphorylase"
"OG0003253"	"KMXK_0B03740"	-0.506299097	6.007429899	6.3582e-05	0.000694335	"nucleolar protein 12"
"OG0002316"	"KMXK_0B04120"	-0.60064978	5.829893242	3.68663e-06	6.40205e-05	"ATP-dependent RNA helicase DBP6"
"OG0001420"	"KMXK_0B04240"	-0.55379959	6.146283071	4.84378e-07	1.11223e-05	"large subunit GTPase 1"
"OG0000807"	"KMXK_0B04260"	-0.648171735	5.665103046	1.99349e-07	5.26245e-06	"essential nuclear protein 1"
"OG0002514"	"KMXK_0B04860"	0.749683855	7.996297335	1.94748e-10	9.78679e-09	"protein ROD1"
"OG0001565"	"KMXK_0B05210"	-0.748459999	5.494981869	2.98832e-05	0.000361057	"U3 small nucleolar RNA-associated protein 8"
"OG0001745"	"KMXK_0B06440"	-0.685939539	5.347611842	0.001015582	0.006833771	"60S ribosome subunit biogenesis protein NOP8"
"OG0000918"	"KMXK_0B06770"	-0.841210402	6.355181233	1.51917e-09	6.08296e-08	"U3 small nucleolar RNA-associated protein 14"
"OG0001897"	"KMXK_0B06840"	-0.538610477	4.128497538	0.000625204	0.004584187	"arginine metabolism regulation protein II"
"OG0003027"	"KMXK_0B06980"	-0.790392146	5.860257676	0.000127166	0.001247202	"U3 small nucleolar RNA-associated protein MPP10"
"OG0003064"	"KMXK_0B06990"	-0.96204866	5.604278305	4.67992e-07	1.09011e-05	"nucleolar complex-associated protein 3"
"OG0001599"	"KMXK_0B07090"	-1.038949701	5.095597574	1.938e-05	0.000253456	"ATP-dependent RNA helicase DBP4"
"OG0003512"	"KMXK_0B07230"	0.652397306	7.193394332	5.17813e-14	5.22668e-12	"mitochondrial distribution and morphology protein 36"
"OG0000930"	"KMXK_0B07420"	0.839000534	6.612256237	1.84307e-10	9.49968e-09	"probable glutamine amidotransferase DUG3"
"OG0001556"	"KMXK_0B07500"	-0.700344739	6.329073255	1.75642e-10	9.24982e-09	"ubiquitin carboxyl-terminal hydrolase 10"
"OG0001209"	"KMXK_0B07540"	-0.658461261	5.632887143	4.77285e-06	7.89231e-05	"pre-rRNA-processing protein IPI3"
"OG0001866"	"KMXK_0B07610"	-0.741922239	6.099384784	4.76265e-08	1.49838e-06	"nucleolar protein 13"
"OG0001490"	"KMXK_0B07790"	0.844450166	6.695311461	8.88421e-23	2.69025e-20	"ammonium transporter MEP2"
"OG0002554"	"KMXK_0B08210"	-0.721938382	5.659386896	7.71872e-08	2.28032e-06	"protein TBF1"
"OG0002924"	"KMXK_0C00260"	0.787005596	5.967914751	1.1102e-09	4.55842e-08	"flavohemoprotein"
"OG0003617"	"KMXK_0C00640"	-0.641555763	5.736541013	0.000640425	0.004659776	"mRNA turnover protein 4"
"OG0003619"	"KMXK_0C00760"	0.672472077	8.80640794	5.31864e-08	1.64133e-06	"adenylyl-sulfate kinase"
"OG0001559"	"KMXK_0C00790"	0.617037067	6.469459175	4.87107e-07	1.11322e-05	"high-affinity methionine permease"
"OG0002362"	"KMXK_0C00890"	-0.566545662	5.613766534	9.1907e-05	0.000937451	"regulator of ribosome biosynthesis"
"OG0002697"	"KMXK_0C01790"	-0.882516308	4.893036777	2.08802e-06	3.89095e-05	"pseudouridylate synthase 6"
"OG0001354"	"KMXK_0C02060"	0.579260938	6.699142726	9.89976e-10	4.13486e-08	"squalene monooxygenase"
"OG0001904"	"KMXK_0C02180"	-0.51973802	6.687801283	8.52331e-07	1.76476e-05	"ADIPOR-like receptor IZH3"
"OG0001216"	"KMXK_0C02290"	-0.734479124	6.056971414	7.68538e-06	0.000117093	"ATP-dependent RNA helicase DRS1"
"OG0001639"	"KMXK_0C02510"	1.356493978	9.000234061	1.35799e-12	1.14952e-10	"uroporphyrinogen-III C-methyltransferase"
"OG0001943"	"KMXK_0C02560"	-0.579767041	6.480977908	0.000223795	0.001989513	"20S-pre-rRNA D-site endonuclease NOB1"
"OG0003657"	"KMXK_0C03020"	-0.601338956	5.923268696	1.13448e-06	2.2713e-05	"ATP-dependent RNA helicase ROK1"
"OG0003032"	"KMXK_0C03190"	0.790185734	9.195307209	3.82066e-09	1.40236e-07	"cystathionine beta-lyase"
"OG0002578"	"KMXK_0C03890"	-0.60479227	4.513297002	1.37354e-05	0.000189595	"uncharacterized protein KLMA_30392"
"OG0002414"	"KMXK_0C03900"	-0.879433503	5.985128301	4.27336e-08	1.36213e-06	"ATP-dependent RNA helicase MAK5"
"OG0002659"	"KMXK_0C04290"	-0.691962107	4.993247693	0.00140334	0.008922813	"protein BFR2"
"OG0000669"	"KMXK_0C04510"	-0.58203197	4.776956612	0.000170062	0.001581482	"translation machinery-associated protein 16"
"OG0003222"	"KMXK_0C04770"	-0.726072865	5.265289466	9.78786e-06	0.000143115	"U3 small nucleolar RNA-associated protein 7"
"OG0002298"	"KMXK_0C04900"	-0.645640651	5.860441127	2.25828e-07	5.91426e-06	"periodic tryptophan protein 2"
"OG0002243"	"KMXK_0C05030"	-0.548832892	3.709091131	0.008004871	0.034782207	"ribosome biogenesis protein SLX9"
"OG0001839"	"KMXK_0C05440"	-0.634436269	5.53001518	7.14488e-05	0.000760812	"ATP-dependent rRNA helicase RRP3"
"OG0003427"	"KMXK_0C06430"	0.612861082	8.762145614	3.38099e-07	8.27319e-06	"protein PNS1"
"OG0003236"	"KMXK_0D00860"	-0.540465288	5.664956511	2.19813e-05	0.000283243	"probable ATP-dependent RNA helicase DHR1"
"OG0003378"	"KMXK_0D00880"	-0.542962965	5.572660161	9.39442e-11	5.21804e-09	"DNA repair protein RAD5"
"OG0001792"	"KMXK_0D01260"	0.557074754	8.273293746	2.44041e-07	6.32289e-06	"phosphatidylethanolamine N-methyltransferase"
"OG0001345"	"KMXK_0D01380"	0.553867175	9.404900407	1.02663e-14	1.13046e-12	"coproporphyrinogen-III oxidase"
"OG0003017"	"KMXK_0D03230"	-0.606741691	6.683058938	7.0683e-08	2.15383e-06	"ribosome biogenesis protein ERB1"
"OG0003006"	"KMXK_0D03490"	-0.7741437	6.018231942	3.18513e-10	1.50771e-08	"ribosomal RNA-processing protein 12"
"OG0001223"	"KMXK_0D03610"	0.759735285	7.661570747	1.0743e-11	6.94001e-10	"F-box protein MET30"
"OG0001880"	"KMXK_0D04110"	0.587638988	12.54003336	1.59351e-17	2.85947e-15	"fructose-bisphosphate aldolase"
"OG0001762"	"KMXK_0D04190"	-0.609844442	6.61697682	3.15729e-05	0.000379579	"protein KRI1"
"OG0002464"	"KMXK_0D04520"	-0.758154808	4.308263675	0.001633728	0.010044938	"ATP-dependent RNA helicase DBP8"
"OG0000905"	"KMXK_0D05180"	1.124622087	9.984571473	3.29722e-13	2.95834e-11	"sulfite reductase"
"OG0001656"	"KMXK_0D05240"	-0.658167232	5.840281145	6.50185e-08	1.99376e-06	"pre-rRNA-processing protein RIX1"
"OG0001246"	"KMXK_0D05730"	-0.78310642	5.151421643	3.17258e-06	5.63046e-05	"60S ribosome subunit biogenesis protein NIP7"
"OG0003224"	"KMXK_0D05820"	-0.564574614	6.765227141	1.97403e-09	7.83949e-08	"ribosome biogenesis protein BMS1"
"OG0002400"	"KMXK_0D06080"	-0.617188839	4.935329406	0.000679929	0.004895101	"U3 small nucleolar RNA-associated protein 6"
"OG0000972"	"KMXK_0D06230"	0.522990159	7.258934624	1.04769e-11	6.85951e-10	"uncharacterized protein KLMA_40593"
"OG0003079"	"KMXK_0E00510"	-0.781173956	6.102395147	7.26332e-06	0.000111363	"nucleolar complex protein 2"
"OG0003535"	"KMXK_0E00630"	-0.574972501	5.974368351	3.22214e-07	7.9245e-06	"ATP-dependent RNA helicase DOB1"
"OG0001352"	"KMXK_0E00750"	1.007425059	7.894572835	1.34813e-09	5.44307e-08	"probable kynurenine--oxoglutarate transaminase BNA3"
"OG0003575"	"KMXK_0E00930"	0.634397425	6.928962542	2.95977e-08	9.88972e-07	"probable di- and tripeptidase DUG2"
"OG0001198"	"KMXK_0E00940"	-0.532145058	5.255802502	5.27937e-05	0.000590728	"U3 small nucleolar RNA-associated protein 18"
"OG0001105"	"KMXK_0E01270"	-0.7767917	5.840567763	1.27621e-05	0.00017768	"protein MAK16"
"OG0001913"	"KMXK_0E01470"	-0.743988493	5.318474524	0.000179858	0.001659833	"ribosome biogenesis protein ENP2"
"OG0001174"	"KMXK_0E01840"	0.600645526	6.083819797	1.34881e-07	3.67134e-06	"ornithine aminotransferase"
"OG0002106"	"KMXK_0E02120"	-0.929774172	5.931919452	1.8355e-10	9.49968e-09	"MIF4G domain family protein"
"OG0002104"	"KMXK_0E02160"	-0.684042491	4.026842248	5.09894e-07	1.15497e-05	"tRNA(His) guanylyltransferase"
"OG0003571"	"KMXK_0E02180"	-0.512245919	7.439452406	2.70743e-10	1.325e-08	"DNA-directed RNA polymerase I subunit RPA2"
"OG0001515"	"KMXK_0E02470"	-0.62123003	5.597510699	3.35219e-05	0.00039905	"HNRNP arginine N-methyltransferase"
"OG0000953"	"KMXK_0E02880"	0.550379398	8.780075047	1.55851e-17	2.85947e-15	"c-4 methylsterol oxidase"
"OG0003220"	"KMXK_0E02960"	-0.514915951	6.775766225	3.97684e-10	1.81771e-08	"rRNA biogenesis protein RRP5"
"OG0002483"	"KMXK_0E03250"	-0.769576294	6.701140794	9.63278e-09	3.38194e-07	"heme-binding protein HMX1"
"OG0003677"	"KMXK_0E03360"	0.589079868	8.805767252	7.02133e-06	0.000108339	"probable transporter SEO1"
"OG0000927"	"KMXK_0E03610"	-0.779182301	5.9663808	8.57566e-09	3.03278e-07	"U3 small nucleolar RNA-associated protein 4"
"OG0003232"	"KMXK_0E03900"	-0.61563152	6.089255013	2.36225e-06	4.36836e-05	"nucleolar protein 16"
"OG0000753"	"KMXK_0E04310"	-0.508455214	6.515545922	0.000236595	0.002086842	"multiple RNA-binding domain-containing protein 1"
"OG0003430"	"KMXK_0E04460"	-0.65811279	6.988634569	3.40033e-08	1.10568e-06	"uncharacterized protein KLMA_50445"
"OG0003254"	"KMXK_0E04730"	0.901008338	9.828803232	4.66943e-11	2.69326e-09	"sulfite reductase"
"OG0001234"	"KMXK_0E04910"	-0.845799672	5.690841929	4.97086e-08	1.5538e-06	"U3 small nucleolar RNA-associated protein 12"
"OG0001737"	"KMXK_0E05580"	-0.506759342	6.133191129	8.42989e-06	0.000126058	"protein MSF1"
"OG0003569"	"KMXK_0F01200"	0.6465067	6.354268477	1.56746e-11	9.8628e-10	"protein SST2"
"OG0002599"	"KMXK_0F01770"	-0.773926556	6.147285756	7.67654e-08	2.28032e-06	"nucleolar protein 4"
"OG0003298"	"KMXK_0F02030"	-0.683876816	4.972166427	2.77048e-05	0.000338964	"ribosome assembly 1 protein"
"OG0002555"	"KMXK_0F02960"	0.553027208	8.266367001	2.61249e-07	6.66527e-06	"3\'(2\')5\'-bisphosphate nucleotidase"
"OG0002687"	"KMXK_0F02980"	-0.867567635	5.638731163	1.74742e-12	1.36552e-10	"ATP-dependent RNA helicase DBP10"
"OG0002768"	"KMXK_0F03280"	-0.595509791	4.760018354	0.000201149	0.001818221	"cytoplasmic tRNA 2-thiolation protein 2"
"OG0001321"	"KMXK_0F03420"	-0.596166425	6.537956055	0.001196147	0.007810423	"ribosome biogenesis protein 15"
"OG0000834"	"KMXK_0F03550"	0.617368529	11.82068987	2.51345e-12	1.90276e-10	"pyruvate kinase"
"OG0003140"	"KMXK_0F03560"	1.218517209	6.483256365	5.87934e-26	2.58958e-23	"DNA repair protein REV1"
"OG0001048"	"KMXK_0F03670"	-0.726053768	5.864216214	7.0458e-05	0.000753573	"ribosomal RNA-processing protein 8"
"OG0002421"	"KMXK_0F03730"	-0.624627816	4.938299012	0.00048997	0.003750248	"ribosomal RNA-processing protein 1"
"OG0001250"	"KMXK_0F03900"	-0.835537613	4.060197235	6.55792e-05	0.00071373	"probable ATP-dependent RNA helicase DHR2"
"OG0003564"	"KMXK_0F03960"	-0.807266371	6.403153055	5.69766e-07	1.26629e-05	"ribosomal RNA-processing protein 14"
"OG0002595"	"KMXK_0F04220"	-0.724614569	4.185754439	0.000296596	0.002481875	"tyrosine-protein phosphatase YVH1"
"OG0002983"	"KMXK_0F04280"	-1.032034722	4.90061043	3.59654e-07	8.66927e-06	"RNA exonuclease 4"
"OG0002135"	"KMXK_0F04500"	-0.560384412	5.950576637	1.05261e-06	2.13385e-05	"U3 small nucleolar RNA-associated protein 20"
"OG0002127"	"KMXK_0F05010"	0.855821742	7.465118786	2.86422e-28	1.73464e-25	"dicarboxylic amino acid permease"
"OG0001726"	"KMXK_0F05490"	-0.500770841	5.2148466	0.003291472	0.017524377	"tRNA (adenine-N(1)-)-methyltransferase catalytic subunit TRM61"
"OG0002292"	"KMXK_0G00710"	0.961328135	10.665586	1.06585e-14	1.14756e-12	"sulfate adenylyltransferase"
"OG0002625"	"KMXK_0G00850"	-0.848680555	5.14222788	8.97911e-08	2.60502e-06	"protein CMS1"
"OG0002537"	"KMXK_0G01340"	-0.822690246	5.297693443	2.59472e-07	6.66527e-06	"uncharacterized protein KLMA_80126"
"OG0002004"	"KMXK_0G01380"	-0.534593843	4.832490943	1.08436e-05	0.000155897	"FKBP12-associated protein 1"
"OG0001649"	"KMXK_0G01400"	-0.610013737	5.486673342	3.19245e-06	5.64504e-05	"uncharacterized protein KLMA_80131"
"OG0003022"	"KMXK_0G01430"	-0.565306809	5.122827399	0.000341691	0.002777673	"uncharacterized protein KLMA_80134"
"OG0001124"	"KMXK_0G01510"	-0.528293064	6.933920622	1.6087e-07	4.35429e-06	"carbonic anhydrase"
"OG0002482"	"KMXK_0G01550"	-0.602816792	4.824241819	6.73021e-05	0.000726233	"protein SHQ1"
"OG0002875"	"KMXK_0G01790"	-0.765499301	6.493403899	9.31346e-07	1.91562e-05	"putative ribosomal RNA methyltransferase Nop2"
"OG0001539"	"KMXK_0G01800"	-0.525801335	5.122618605	0.003556006	0.018525647	"tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit TRM6"
"OG0000868"	"KMXK_0G02040"	-0.786594158	5.305449324	8.2364e-06	0.00012393	"protein PXR1"
"OG0001647"	"KMXK_0G02580"	-0.514244915	5.840479809	0.001542337	0.009592584	"tRNA guanosine-2\'-O-methyltransferase TRM11"
"OG0000842"	"KMXK_0G02830"	-0.787332554	5.725351309	4.4537e-07	1.04748e-05	"uncharacterized protein KLMA_80272"
"OG0003354"	"KMXK_0G03550"	0.695026802	12.20805997	1.08489e-15	1.38323e-13	"5-methyltetrahydropteroyltriglutamate homocysteine methyltransferase"
"OG0003596"	"KMXK_0G04010"	-0.602052085	5.004963567	0.000487798	0.003740309	"serine/threonine-protein kinase RIO1"
"OG0001396"	"KMXK_0H00620"	-0.604250898	5.247425852	7.19342e-06	0.000110642	"uncharacterized protein KLMA_70065"
"OG0002266"	"KMXK_0H00660"	-0.527836235	7.141352316	8.81239e-08	2.57205e-06	"ribosome biogenesis protein TSR1"
"OG0003563"	"KMXK_0H01980"	-0.714354168	5.110887638	2.58431e-11	1.5458e-09	"uncharacterized protein KLMA_70197"
"OG0001613"	"KMXK_0H02260"	-0.555005178	7.203192342	2.24225e-09	8.622e-08	"[NU+] prion formation protein 1 [Kluyveromyces marxianus DMKU3-1042]"
"OG0001799"	"KMXK_0H02360"	-0.957690549	5.502332562	1.12607e-07	3.16476e-06	"probable nucleolar complex protein 14"
"OG0001550"	"KMXK_0H02390"	-0.819816044	6.333311861	2.95248e-06	5.29806e-05	"something about silencing protein 10"
"OG0001577"	"KMXK_0H02710"	0.762690481	8.407876518	5.12526e-07	1.15497e-05	"phosphoadenosine phosphosulfate reductase"
"OG0003111"	"KMXK_0H02720"	0.547794591	4.045599222	0.000467859	0.003641744	"mediator of RNA polymerase II transcription subunit 10"
"OG0002712"	"KMXK_0H02800"	-0.518386984	5.436818419	0.000856715	0.00592123	"nucleolar complex protein 4"
"OG0003177"	"KMXK_0H02820"	-0.53999318	5.933845012	0.000639591	0.004659776	"ribosomal RNA-processing protein 15"
"OG0001077"	"KMXK_0H02890"	-0.552519772	6.316756825	2.74103e-05	0.000337064	"ribosomal RNA-processing protein 9"
"OG0002470"	"KMXK_0H03250"	0.738838575	8.163431413	1.85056e-11	1.13493e-09	"transcriptional activator of sulfur metabolism"
"OG0002360"	"KMXK_0H03530"	-0.665478822	4.630681031	0.001739235	0.010493889	"uncharacterized protein KLMA_70357"
"OG0003023"	"KMXK_0H03580"	-0.660196942	6.651017268	4.47204e-05	0.000508616	"ribosome biogenesis protein MAK21"
"OG0000732"	"KMXK_0H04130"	-0.625522619	4.291037241	0.000722333	0.005177055	"U3 small nucleolar ribonucleoprotein protein LCP5"
"OG0001758"	"KMXK_0H04440"	-0.531987327	6.206317796	2.2125e-05	0.000283328	"60S ribosomal subunit assembly/export protein LOC1"
