"orthoList$OG_IDs[converted]"	"genes"	"logFC"	"logCPM"	"PValue"	"FDR"	"Portein_names"	"gene_names"	"Funcition"
"OG0001768"	"YPL083C"	-0.769474396	5.521541785	0.000699134	0.001941895	"tRNA-splicing endonuclease subunit SEN54 (Splicing endonuclease of 54 kDa) (tRNA-intron endonuclease SEN54)"	"PUF4 YGL014W YGL023"	"FUNCTION: Is not essential for haploid growth, but may affect diploid formation."
"OG0001997"	"YBR187W"	-2.502714885	6.259805181	3.01243e-21	8.93193e-20	"GCR1-dependent translation factor 1"	"SUL1 SFP2 YBR294W YBR2110"	"FUNCTION: High affinity uptake of sulfate into the cell."
"OG0002756"	"YPL082C"	-1.464621457	7.010171053	1.79539e-25	7.83076e-24	"TATA-binding protein-associated factor MOT1 (TBP-associated factor MOT1) (EC 3.6.4.-) (Modifier of transcription 1)"	"RPL17B RPL20B YJL177W J0493"	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}."
"OG0001013"	"YBR192W"	-1.200845396	6.959063692	6.67601e-22	2.13739e-20	"Mitochondrial carrier protein RIM2"	"YOR314W 06123"	""
"OG0003524"	"YPL078C"	-0.523674142	8.66501588	0.000182584	0.000585493	"ATP synthase subunit 4, mitochondrial"	"IMD1 YAR073W FUN63"	""
"OG0001848"	"YBR196C"	-0.685209293	9.672429476	2.41275e-05	9.36927e-05	"Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)"	"QCR9 UCR9 YGR183C"	"FUNCTION: Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain that generates an electrochemical potential coupled to ATP synthesis. The complex couples electron transfer from ubiquinol to cytochrome c. QCR9 is required for formation of a fully functional complex."
"OG0002887"	"YPL069C"	0.720612237	5.773757087	1.78679e-06	8.80809e-06	"Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (BET2 suppressor protein 1) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)"	"FAL1 YDR021W PZC399 YD9335.07"	"FUNCTION: ATP-dependent RNA helicase involved in 40S ribosomal subunit biogenesis. Required for the processing and cleavage of 35S pre-rRNA at sites A0, A1, and A2, leading to mature 18S rRNA. {ECO:0000269|PubMed:9372960}."
"OG0003498"	"YPL067C"	-1.388396702	3.703378109	3.64905e-11	3.8331e-10	"Uncharacterized protein YPL067C"	"PTK1 POT1 STK1 YKL198C YKL199C"	"FUNCTION: Essential determinant for low-affinity spermidine transport."
"OG0001256"	"YPL065W"	0.934776907	6.464554967	1.20103e-10	1.18314e-09	"Vacuolar protein sorting-associated protein 28 (ESCRT-I complex subunit VPS28)"	"FMP41 YNL168C N1696"	""
"OG0002685"	"YPL063W"	-1.487838419	7.934719883	1.47447e-11	1.64045e-10	"Mitochondrial import inner membrane translocase subunit TIM50"	"STE23 YLR389C L8084.12"	"FUNCTION: Involved in the N-terminal endoproteolytic cleavage of the P2 precursor of the a-factor mating pheromone. Capable of proteolysing the established mammalian insulin-degrading enzymes (IDEs) substrates amyloid-beta peptide and insulin B-chain. {ECO:0000269|PubMed:15944156, ECO:0000269|PubMed:19750477, ECO:0000269|PubMed:7569998}."
"OG0001407"	"YBR203W"	0.887577665	6.326131155	8.21615e-05	0.00028286	"F-box protein COS111 (Ciclopirox olamine sensitivity protein 111)"	"RBD2 YPL246C"	"FUNCTION: Probable serine protease. {ECO:0000250}."
"OG0001974"	"YGR263C"	-0.759684303	5.217659095	1.4322e-07	8.56901e-07	"Steryl acetyl hydrolase 1 (EC 3.1.1.-)"	"RML2 YEL050C SYGP-ORF37"	"FUNCTION: Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:24675956, ECO:0000305|PubMed:25609543}."
"OG0002978"	"YHR128W"	-1.130469839	7.482932212	3.43712e-11	3.64101e-10	"Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9) (UMP pyrophosphorylase)"	"DUS4 YLR405W L8084.2"	"FUNCTION: Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs. Specifically modifies U20a and U20b in cytoplasmic tRNAs. {ECO:0000269|PubMed:14970222}."
"OG0001706"	"YNL148C"	-0.819596568	4.928457569	0.000567689	0.001613883	"Tubulin-specific chaperone B (Alpha-tubulin formation protein 1) (Tubulin-folding cofactor B)"	"ORT1 ARG11 YOR130C O3299 YOR3299C"	"FUNCTION: Required for arginine biosynthesis. Transports ornithine synthesized from glutamate in the mitochondrial matrix to the cytosol, where it is converted to arginine. {ECO:0000269|PubMed:9237680}."
"OG0003370"	"YEL020W-A"	-0.57218002	4.51266286	0.001198214	0.003153499	"Mitochondrial import inner membrane translocase subunit TIM9"	"ATP15 YPL271W P0345"	"FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and of the central stalk which is part of the complex rotary element. Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits."
"OG0003242"	"YEL021W"	0.7560982	6.817274183	0.000146578	0.000479487	"Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)"	"SWI1 ADR6 GAM3 YPL016W LPA1"	"FUNCTION: Involved in transcriptional activation. Component of the SWI/SNF complex, an ATP-dependent chromatin remodeling complex, which is required for the positive and negative regulation of gene expression of a large number of genes. It changes chromatin structure by altering DNA-histone contacts within a nucleosome, leading eventually to a change in nucleosome position, thus facilitating or repressing binding of gene-specific transcription factors."
"OG0003293"	"YEL024W"	-0.634058836	8.697194906	3.35627e-05	0.000126417	"Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 1.10.2.2) (Complex III subunit 5) (Rieske iron-sulfur protein) (RISP) (Ubiquinol-cytochrome c reductase iron-sulfur subunit)"	"SKS1 SHA3 YPL026C LPB5"	"FUNCTION: May have a role in glucose regulation."
"OG0001685"	"YEL029C"	-0.6315738	6.503212737	3.74963e-06	1.74144e-05	"Putative pyridoxal kinase BUD16 (EC 2.7.1.35) (Bud site selection protein 16)"	"CWC25 YNL245C N0901"	"FUNCTION: Involved in pre-mRNA splicing. {ECO:0000269|PubMed:14690591}."
"OG0000720"	"YJR044C"	-0.577367477	7.080318094	0.002797333	0.006718733	"Vacuolar protein sorting-associated protein 55"	"AXL2 BUD10 SRO4 YIL140W"	"FUNCTION: Required for haploid cells axial budding pattern. Acts as an anchor to help direct new growth components and/or polarity establishment components like the BUD5 GTP/GDP exchange factor to localize at the cortical axial budding site. Regulates septin organization in late G1 independently of its role in polarity-axis determination. {ECO:0000269|PubMed:11065362, ECO:0000269|PubMed:11134078, ECO:0000269|PubMed:11313501, ECO:0000269|PubMed:12221111, ECO:0000269|PubMed:1448099, ECO:0000269|PubMed:17460121, ECO:0000269|PubMed:8805277, ECO:0000269|PubMed:8846915}."
"OG0002124"	"YEL031W"	-0.699219349	8.844257026	2.98071e-05	0.000113622	"Manganese-transporting ATPase 1 (EC 3.6.3.-)"	"SNU13 YEL026W"	"FUNCTION: Common component of the spliceosome and rRNA processing machinery. In association with the spliceosomal U4/U6.U5 tri-snRNP particle, required for splicing of pre-mRNA. In association with box C/D snoRNPs, required for processing of pre-ribosomal RNA (rRNA) and site-specific 2'-O-methylation of substrate RNAs. Essential for the accumulation and stability of U4 snRNA, U6 snRNA, and box C/D snoRNAs. {ECO:0000269|PubMed:11081632, ECO:0000269|PubMed:12215523, ECO:0000269|PubMed:14730029}."
"OG0001945"	"YEL038W"	2.13924796	5.414615991	3.20026e-27	1.75112e-25	"Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase) (Unknown transcript 4 protein)"	"GDT1 YBR187W YBR1310"	"FUNCTION: May be involved in ribosome biogenesis. Has also been proposed to play a role in calcium homeostasis (PubMed:23569283). {ECO:0000269|PubMed:23569283}."
"OG0001396"	"YMR140W"	1.100252068	6.471975377	4.8898e-10	4.43917e-09	"Protein SIP5 (SNF1-interacting protein 5)"	"AVT1 YJR001W J1409 YJR83.4"	"FUNCTION: Required for the vacuolar uptake of large neutral amino acids including tyrosine, glutamine, asparagine, isoleucine and leucine. Requires ATP for function. {ECO:0000269|PubMed:11274162}."
"OG0002336"	"YDR268W"	-0.515985708	5.434504599	0.000630704	0.001776419	"Tryptophan--tRNA ligase, mitochondrial (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)"	"MRD1 YPR112C"	"FUNCTION: Involved in pre-rRNA processing. Required for maintaining steady-state levels of 40S ribosomal subunit. Required for the initial processing of pre-rRNA at the A0 to A2 sites, leading to the processing of the 23S pre-rRNA intermediate to the 18S rRNA. {ECO:0000269|PubMed:11884397}."
"OG0002816"	"YOR037W"	0.690153328	7.022580972	1.20083e-05	4.98126e-05	"Cytochrome c mitochondrial import factor CYC2 (EC 1.-.-.-) (Cytochrome c assembly flavoprotein CYC2)"	"MAK5 YBR142W YBR1119"	"FUNCTION: ATP-binding RNA helicase involved in the biogenesis of 60S ribosomal subunits and is required for the normal formation of 25S and 5.8S rRNAs. Required for the maintenance of dsRNA killer plasmid. {ECO:0000269|PubMed:13680366, ECO:0000269|PubMed:787537}."
"OG0003444"	"YOR036W"	0.899545299	6.76049837	5.29351e-05	0.000190446	"Syntaxin PEP12 (Carboxypeptidase Y-deficient protein 12) (Vacuolar protein sorting-associated protein 6) (Vacuolar protein-targeting protein 13)"	"YDL144C"	""
"OG0002010"	"YHR102W"	-0.654304955	6.9329977	2.07439e-06	1.01099e-05	"Serine/threonine-protein kinase KIC1 (EC 2.7.11.1) (Kinase that interacts with CDC31) (N-rich kinase 1)"	"DRS1 YLL008W L1345"	"FUNCTION: ATP-binding RNA helicase involved in ribosome assembly. {ECO:0000269|PubMed:11911362, ECO:0000269|PubMed:1454790, ECO:0000269|PubMed:8247005}."
"OG0001086"	"YHR104W"	1.723236021	9.037646382	9.30299e-21	2.6044e-19	"NADPH-dependent aldose reductase GRE3 (AR) (EC 1.1.1.21) (Genes de respuesta a estres protein 3) (NADPH-dependent aldo-keto reductase GRE3) (Xylose reductase) (EC 1.1.1.-)"	"HIS4 YCL030C YCL183 YCL30C"	""
"OG0003110"	"YLR303W"	-0.953922472	11.04488434	1.47232e-05	5.98374e-05	"Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase) (OAS-OAH SHLase) (OAS-OAH sulfhydrylase)"	"YOR378W"	"FUNCTION: Probable ATP-dependent export permease involved in drug resistance through pumping them out of the cell. {ECO:0000250}."
"OG0000680"	"YLL018C-A"	-0.878328456	4.502547465	8.9636e-06	3.83999e-05	"Cytochrome c oxidase assembly protein COX19"	"YPR053C"	""
"OG0003147"	"YHL029C"	0.526590687	7.940834385	0.000673904	0.001879624	"Oxidant-induced cell-cycle arrest protein 5"	"SFB2 ISS1 YNL049C N2505 YNL2505C"	"FUNCTION: Component of the COPII coat, that covers ER-derived vesicles involved in transport from the endoplasmic reticulum to the Golgi apparatus. COPII acts in the cytoplasm to promote the transport of secretory, plasma membrane, and vacuolar proteins from the endoplasmic reticulum to the Golgi complex. {ECO:0000269|PubMed:10712514, ECO:0000269|PubMed:10749860, ECO:0000269|PubMed:10753972, ECO:0000269|PubMed:16269340}."
"OG0003344"	"YGR076C"	0.504694404	7.105148326	7.05235e-05	0.000247079	"54S ribosomal protein L25, mitochondrial (Mitochondrial large ribosomal subunit protein mL59) (YmL25)"	"WHI3 YNL197C N1382"	"FUNCTION: Involved in size control and cell cycle. {ECO:0000269|PubMed:11290704}."
"OG0002594"	"YBR023C"	-0.740765914	7.409614415	3.20703e-07	1.8125e-06	"Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)"	"PNO1 DIM2 RRP20 YOR145C O3513 YOR3513C"	"FUNCTION: Required for small ribosomal subunit (SSU) synthesis. Has a role in the processing of early nucleolar and late cytoplasmic pre-RNA species. Recruits DIM1 to nucleolar pre-RNAs. Indirectly required for cleavage at the A2 site of the 20S pre-rRNA, forming 18S rRNA, and at A1 and A2 sites of other pre-rRNAs. {ECO:0000269|PubMed:12502737, ECO:0000269|PubMed:12736301, ECO:0000269|PubMed:15037774}."
"OG0001059"	"YGL073W"	0.651442128	8.111014932	1.65363e-06	8.21766e-06	"Heat shock factor protein (HSF) (Heat shock transcription factor) (HSTF)"	"HHO1 YPL127C LPI17C"	"FUNCTION: Could act as an H1-type linker histone. Has been shown to bind DNA. {ECO:0000269|PubMed:9046096}."
"OG0002047"	"YLR419W"	-0.610126727	7.289241053	0.000242612	0.000753887	"Putative ATP-dependent RNA helicase YLR419W (EC 3.6.4.13)"	"PHO11 YAR071W"	""
"OG0001677"	"YLR421C"	0.6820106	7.712979031	2.0933e-06	1.01774e-05	"26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)"	"NRM1 YNR009W N2044"	"FUNCTION: Negative regulatory component of the MBF complex involved in cell-cycle-dependent transcription. {ECO:0000269|PubMed:16916637}."
"OG0003668"	"YKL193C"	1.157227432	6.905355054	1.41305e-05	5.76998e-05	"Protein phosphatase 1 regulatory subunit SDS22"	"YBT1 BAT1 YLL048C"	"FUNCTION: Vacuolar class C ABC transporter which regulates the translocation of phosphatidylcholine to the vacuole lumen, the release of lumenal calcium stores, and acts as a negative regulator of vacuole fusion. Exhibits ATP-dependent bile acid transport. {ECO:0000269|PubMed:21649806, ECO:0000269|PubMed:22970809}."
"OG0001605"	"YLR423C"	0.735926241	5.807156579	0.002078716	0.005159501	"Autophagy-related protein 17"	"BTT1 YDR252W YD9320A.02"	"FUNCTION: Acts as component of the nascent polypeptide-associated complex (NAC), which promotes mitochondrial protein import by enhancing productive ribosome interactions with the outer mitochondrial membrane. Also blocks the inappropriate interaction of ribosomes translating non-secretory nascent polypeptides with translocation sites in the membrane of the endoplasmic reticulum. BTT1 may act as a transcription factor that exert a negative effect on the expression of several genes that are transcribed by RNA polymerase II. {ECO:0000269|PubMed:10219998}."
"OG0002112"	"YLR424W"	0.704252235	6.359437413	4.55389e-07	2.49635e-06	"Pre-mRNA-splicing factor SPP382 (CLF1 complex factor 8) (Nineteen complex-related protein 1) (NTC-related protein 1) (Suppressor of PRP38 protein 2)"	"TEF4 EFC1 YKL081W"	"FUNCTION: Subunit of the eukaryotic elongation factor 1 complex (eEF1). Probably plays a role in anchoring the complex to other cellular components (By similarity). {ECO:0000250}."
"OG0002607"	"YOR289W"	-0.784683557	5.416552318	0.016308271	0.031756545	"Uncharacterized protein YOR289W"	"COX6 YHR051W"	"FUNCTION: This is the heme A-containing chain of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport."
"OG0001218"	"YJL080C"	-0.796849529	8.103937511	0.001054712	0.00281023	"Protein SCP160 (Protein HX)"	"VTC3 PHM2 YPL019C"	"FUNCTION: Component of the vacuolar transporter chaperone (VTC) complex, which plays a role in vacuolar membrane fusion. Required for LMA1 release prior to membrane fusion (PubMed:11823419). Binds inositol hexakisphosphate (Ins6P) and similar inositol polyphosphates, such as 5-diphospho-inositol pentakisphosphate (5-InsP7); these are important intracellular signaling molecules (PubMed:27080106). Inositol polyphosphate binding promotes vacuolar polyphosphate synthesis (PubMed:27080106). {ECO:0000269|PubMed:11823419, ECO:0000269|PubMed:27080106}."
"OG0003328"	"YKR016W"	0.512701469	8.643812856	0.000372375	0.001103559	"MICOS complex subunit MIC60 (Altered inheritance of mitochondria protein 28) (Formation of crista junctions protein 1) (Found in mitochondrial proteome protein 13) (Mitofilin)"	"GDE1 YPL110C"	"FUNCTION: Glycerophosphocholine glycerophosphodiesterase responsible for the hydrolysis of intracellular glycerophosphocholine into glycerol-phosphate and choline (PubMed:16141200, PubMed:16172116). The choline is used for phosphatidyl-choline synthesis (PubMed:16141200). Required for utilization of glycerophosphocholine as phosphate source (PubMed:16141200). {ECO:0000269|PubMed:16141200, ECO:0000269|PubMed:16172116}."
"OG0003627"	"YKR020W"	0.883663133	6.41046402	6.08885e-12	7.02085e-11	"Vacuolar protein sorting-associated protein 51 (Apical bud growth protein 3)"	"OAC1 PMT PMT1 YKL120W YKL522"	"FUNCTION: Transports oxaloacetate and sulfate."
"OG0001366"	"YDR062W"	-0.628746286	7.862680072	9.40216e-06	4.00224e-05	"Serine palmitoyltransferase 2 (SPT 2) (EC 2.3.1.50) (Long chain base biosynthesis protein 2)"	"SRB4 MED17 YER022W"	"FUNCTION: Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. The Mediator complex, having a compact conformation in its free form, is recruited to promoters by direct interactions with regulatory proteins and serves for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. The Mediator complex unfolds to an extended conformation and partially surrounds RNA polymerase II, specifically interacting with the unphosphorylated form of the C-terminal domain (CTD) of RNA polymerase II. The Mediator complex dissociates from the RNA polymerase II holoenzyme and stays at the promoter when transcriptional elongation begins. {ECO:0000269|PubMed:11555651, ECO:0000269|PubMed:16076843, ECO:0000269|PubMed:16263706, ECO:0000269|PubMed:16885025, ECO:0000269|PubMed:9845373}."
"OG0000681"	"YGR009C"	0.549643705	7.684507066	3.3949e-05	0.000127632	"Protein transport protein SEC9"	"PTH1 YHR189W"	""
"OG0000880"	"YML104C"	-1.047180512	6.450298345	1.69605e-16	3.23054e-15	"Structural protein MDM1 (Mitochondrial distribution and morphology protein 1)"	"RPA190 RPA1 RRN1 YOR341W O6276"	"FUNCTION: DNA-dependent RNA polymerases catalyze the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Component of RNA polymerase I (Pol I) which synthesizes ribosomal RNA precursors. Besides, RNA polymerase I has intrinsic RNA cleavage activity. RPA190 and RPA135 both contribute to the polymerase catalytic activity and together form the Pol I active center. In addition, subunit RPA12 contributes a catalytic zinc ribbon that is required for RNA cleavage by Pol I. A single stranded DNA template strand of the promoter is positioned within the central active site cleft of Pol I. A bridging helix emanates from RPA190 and crosses the cleft near the catalytic site and is thought to promote translocation of Pol I by acting as a ratchet that moves the RNA-DNA hybrid through the active site by switching from straight to bent conformations at each step of nucleotide addition. {ECO:0000269|PubMed:18160037, ECO:0000269|PubMed:24153182, ECO:0000269|PubMed:24153184}."
"OG0003371"	"YMR276W"	0.501308104	9.266461859	0.001825327	0.004591158	"Ubiquitin domain-containing protein DSK2"	"VBA2 YBR293W YBR2109"	"FUNCTION: Transporter required for vacuolar uptake of histidine, arginine and lysine and to a lesser extent tyrosine. {ECO:0000269|PubMed:15572352}."
"OG0002767"	"YNL136W"	0.588087681	7.671053403	1.16867e-05	4.86798e-05	"Chromatin modification-related protein EAF7 (ESA1-associated factor 7)"	"YOL106W O0751"	""
"OG0002119"	"YNL137C"	-0.554962137	8.311936692	0.00836868	0.017680268	"37S ribosomal protein NAM9, mitochondrial (Mitochondrial small ribosomal subunit protein uS4m) (Nuclear accommodation of mitochondria protein 9)"	"THI20 YOL055C O1239"	"FUNCTION: Catalyzes the phosphorylation of hydroxymethylpyrimidine phosphate (HMP-P) to HMP-PP, and also probably that of HMP to HMP-P. {ECO:0000269|PubMed:10383756}."
"OG0001853"	"YNL139C"	-0.953864536	6.225829218	2.47316e-05	9.56681e-05	"THO complex subunit 2 (Low dye-binding protein 5) (THO complex subunit RLR1) (Zinc-regulated gene 13 protein)"	"YJR015W J1448"	""
"OG0001699"	"YNL152W"	0.503875713	6.868689319	0.000224524	0.000701668	"Ingression protein 1"	"FPR2 FKB2 YDR519W D9719.24"	"FUNCTION: PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. FKBP-13 may play a role in protein trafficking in the ER."
"OG0000679"	"YCR024C"	-1.249731526	6.576437086	4.14884e-20	1.0681e-18	"Asparagine--tRNA ligase, mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)"	"YJR071W J1818"	""
"OG0002620"	"YCR019W"	0.640823865	6.290902526	1.29521e-06	6.56771e-06	"Protein MAK32 (Maintenance of killer protein 32)"	"MIC19 AIM13 MCS19 YFR011C"	"FUNCTION: Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. {ECO:0000269|PubMed:21944719, ECO:0000269|PubMed:21987634}."
