W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D	Protein_name	ec_number	Coverage	MW
YALI1_A21203g	Q6CGD8	YALI0A20152g1_1	2.334718625	2.923804919	2.770491323	4.00422857	0.963160843	1.561771937	0.896245376	3.840885597	2.018828858	1.351915907	1.41509211	highly similar to uniprot|P32324 Saccharomyces cerevisiae YOR133W (ohnolog of YDR385W) EFT1 translation elongation factor eEF2		20	"933,000,030,517,578"
YALI1_F04433g	Q6C326	YALI0F03179g1_1	91.93636161	104.8471534	80.94003026	70.40099345	85.1610344	63.18647454	68.54882421	61.60371438	66.16484438	82.37552427	82.05972976	"highly similar to uniprot|P07251 Saccharomyces cerevisiae YBL099w ATP1 F1F0-ATPase complex, F1 alpha subunit"		56	"579,000,015,258,789"
YALI1_C10555g	Q6CCN4	YALI0C07953g1_1	61.53143127	80.49599313	49.39436908	47.30788017	50.03329389	39.35474238	41.23728916	35.76666659	33.35342585	38.83705925	48.06294356	"highly similar to uniprot|P46598 Candida albicans CaHSC82, Heat shock protein 90 homolog"		59	"801,999,969,482,422"
YALI1_E39693g	Q6C3M8	YALI0E33517g1_1	28.53173979	32.25408947	31.72427704	27.74168714	33.05384987	27.01379031	29.94935964	22.74391657	18.05701076	20.81432425	22.16375475	uniprot|Q6C3M8 Yarrowia lipolytica YALI0E33517g KGD1 2-oxoglutarate dehydrogenase complex E1 component		58	"113,599,998,474,121"
YALI1_E01589g	F2Z650	YALI0E01056g1_1	21.62260785	30.57165947	33.96402391	25.46509796	16.60434967	17.10094598	16.80443414	16.0645061	16.40045239	19.42592938	27.40709681	"uniprot|Q9HFV0 Yarrowia lipolytica YALI0E01056g C1- THFS C1-tetrahydrofolate synthase precursor, mitochondrial"		56	100
YALI1_F38386g	Q6BZU8	YALI0F30745g1_1	1.294331403	0.116228206	1.608420626	0.793113536	1.661103129	1.167010468	2.681545684	1.477638475	1.508539342	1.010198722	4.433787566	similar to uniprot|Q9HFV0 Yarrowia lipolytica C1- THFS protein		28	"108,5"
YALI1_C33152g	Q6CAV2	YALI0C24101g1_1	21.57118316	40.09356073	30.67615514	20.00165662	16.99962538	18.49362099	16.35058557	15.63064126	17.40727807	19.26673423	17.62261384	uniprot|Q6CAV2 Yarrowia lipolytica YALI0C24101g PYC1 Pyruvate carboxylase		47	"130,199,996,948,242"
YALI1_E16255g	Q6C617	YALI0E13277g1_1	23.71176362	29.69461518	26.6667285	20.93764594	18.00661506	16.53730474	17.99209842	22.91449931	21.79885448	29.05610621	30.61744371	uniprot|Q6C617 Yarrowia lipolytica YALI0E13277g YEF3 Elongation factor 3 (EF-3)		57	"116,800,003,051,758"
YALI1_F00654g	Q6C3E1	YALI0F00484g1_1	71.60105503	79.76637216	77.55801209	74.28185055	99.8001453	107.0723947	87.93347612	64.10661215	73.41968205	73.09144151	79.58605464	uniprot|Q6C3E1 Yarrowia lipolytica YALI0F00484g GUT1 Glycerol kinase		68	"54,5"
YALI1_D34353g		YALI0D25960g1_1	95.05901875	113.3650452	100.6534812	79.93358944	83.64161851	85.70824268	77.83062855	55.20111193	48.21282716	55.04380621	59.85233579	"similar to uniprot|P46367 Saccharomyces cerevisiae YOR374w ALD4 aldehyde dehydrogenase, frameshift"		83	"532,000,007,629,395"
YALI1_C04093g	Q6CD79	YALI0C03025g1_1	1.785077222	2.235480331	2.635915466	3.637991204	1.699659477	1.194098287	1.581575868	0.655077787	1.320530048	0.532171756	0.750815188	"similar to uniprot|P46367 Saccharomyces cerevisiae YOR374W ALD4 Mitochondrial aldehyde dehydrogenase, required for growth on ethanol and conversion of acetaldehyde to acetate"		11	"532,000,007,629,395"
YALI1_A17177g	Q6CGR2	YALI0A17127g1_1	11.49843563	12.18923403	12.33195771	8.0977817	10.37593652	10.36735625	10.95169369	10.46947184	11.16384031	10.10657598	14.84717507	similar to uniprot|P22137 Saccharomyces cerevisiae YGL206c CHC1 Clathrin heavy chain		51	"184,800,003,051,758"
YALI1_E11768g	Q6C6H5	YALI0E09493g1_1	2.693935068	2.748522427	3.788205998	2.612135081	2.816673766	2.789612698	2.91311117	3.377181021	2.188380904	4.621267263	5.276691921	"uniprot|Q6C6H5 Yarrowia lipolytica YALI0E09493g URA2 Multifunctional pyrimidine biosynthesis protein, putative"		28	"239,600,006,103,516"
YALI1_C33005g	Q6CAV8	YALI0C23969g1_1	5.092804177	4.851556595	5.3010515	3.944607277	4.607216936	2.747571047	4.975714747	5.099909622	3.579521946	5.024296083	5.845244151	"highly similar to uniprot|P03965 Saccharomyces cerevisiae YJR109c CPA2 arginine-specific carbamoylphosphate synthase, large chain"		31	"124,900,001,525,879"
YALI1_F19345g	Q6C1P6	YALI0F14509g1_1	22.74041168	24.79617218	19.14217852	13.47492051	11.54499847	10.43965946	11.59315636	7.619373756	10.41043676	11.46531336	14.64731002	some similarities with uniprot|Q05050 Saccharomyces cerevisiae YMR031C (ohnolog of YKL050C) EIS1 Component of the eisosome required for proper eisosome assembly		52	"135,399,993,896,484"
YALI1_C24707g	Q6CBM2	YALI0C17347g1_1	50.11944074	56.06092218	32.06564975	49.18839035	49.29382139	45.18928605	45.86913992	37.03320319	34.67924	33.92306024	45.5087571	uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein		58	"699,000,015,258,789"
YALI1_E03300g	Q6C793	YALI0E02684g1_1	33.96244036	51.02742561	34.38360043	29.98906209	39.46759962	41.6055767	55.10633152	29.88223041	40.62817267	29.99525329	30.4677063	"uniprot|Q6C793 Yarrowia lipolytica YALI0E02684g CIT2 Mitochondrial citrate synthase, putative"		67	"515,999,984,741,211"
YALI1_E01019g	Q6C7I2	YALI0E00638g1_1	34.69236395	31.61449375	35.12257563	27.73885978	17.17074304	14.21134328	17.37765262	12.73121225	12.21037621	18.19029494	20.62380271	uniprot|Q6C7I2 Yarrowia lipolytica YALI0E00638g CIT1 Mitochondrial 2-methyl citrate synthase		34	"509,000,015,258,789"
YALI1_B18499g	Q6CEQ0	YALI0B13970g1_1	38.09591484	54.38879693	65.14405292	48.47485545	40.83283045	33.18462384	25.86703146	40.56370259	41.94934329	48.84623061	44.84859957	uniprot|Q6CEQ0 Yarrowia lipolytica YALI0B13970g GUT2 Glycerol-3-phosphate dehydrogenase mitochondrial		70	"674,000,015,258,789"
YALI1_B10813g	Q6CFD2	YALI0B08184g1_1	48.51323215	68.59163443	56.53600015	60.18295736	37.25409423	45.12678221	39.25858003	50.24904202	39.57463929	54.56267547	58.55812545	"highly similar to uniprot|P08536 Saccharomyces cerevisiae YJR010w MET3, ATP sulfurylase"		60	"639,000,015,258,789"
YALI1_E07676g	Q6C6T5	YALI0E06457g1_1	10.56653684	14.07612492	12.99313363	13.78565049	7.767532322	8.643841778	8.55080591	8.837270401	8.314967325	10.42439643	14.04430484	similar to uniprot|P07702 Saccharomyces cerevisiae LYS2 YBR115C Alpha aminoadipate reductase		47	"158,5"
YALI1_C08262g	Q6CCU7	YALI0C06369g1_1	87.33083407	117.6225125	112.5905326	77.11371085	77.05357904	81.69152271	61.91544922	107.2258037	148.6638821	175.255366	138.5748074	uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase		74	"357,000,007,629,395"
YALI1_D22124g	Q6C8Q3	YALI0D17864g1_1	50.01655763	41.81085478	43.7769713	25.71862534	30.96069817	21.75148443	20.19237743	34.44286018	26.00547095	28.9620253	29.08444873	"uniprot|Q6C8Q3 Yarrowia lipolytica YALI0D17864g FAA1 Long chain fatty acyl-CoA synthetase, putative"		61	"764,000,015,258,789"
YALI1_B20462g	Q6CEH4	YALI0B15598g1_1	79.26812972	73.6488991	65.27497846	55.37397316	70.59526926	51.29981847	54.86352131	37.441115	40.69263097	45.90011162	51.23161535	highly similar to uniprot|P38720 Saccharomyces cerevisiae YHR183W (ohnolog of YGR256W) GND1 6- phosphogluconate dehydrogenase		66	"53,5"
YALI1_E41315g	Q6C3H5	YALI0E34793g1_1	34.5177569	34.7379501	34.02345704	17.32987884	23.98582351	25.99272423	23.43747111	46.347612	34.4175571	48.03490031	45.16535674	uniprot|Q6C3H5 Yarrowia lipolytica YALI0E34793g ACL1 ATP citrate lyase		67	"713,000,030,517,578"
YALI1_D10600g	Q9UVF3	YALI0D08272g1_1	84.95178012	92.26007616	106.7696097	65.05249512	68.07020701	59.17170821	66.24730135	77.93687055	62.84399175	108.9243889	79.11995702	uniprot|Q9UVF3 Yarrowia lipolytica YALI0D08272g ACT1 Actin		64	"417,000,007,629,395"
YALI1_A10708g	F2Z5Z3	YALI0A10659g1_1	68.8510762	112.5095571	69.70488188	55.05102943	60.58147375	50.57528206	52.99456696	38.53763973	59.01506502	70.11919111	73.39592175	uniprot|Q8J0M2 Yarrowia lipolytica YALI0A10659g AAC2 ADP/ATP carrier protein		49	"327,000,007,629,395"
YALI1_D10535g	F2Z694	YALI0D08228g1_1	38.30063912	69.11844938	68.58581247	38.55557784	33.53026766	34.53307762	28.55740354	43.72488984	52.06078585	55.44415464	60.77468225	uniprot|F2Z694 Yarrowia lipolytica YALI0D08228g AAC1 ADP/ATP carrier protein		53	"330,999,984,741,211"
YALI1_B25427g	Q6CE16	YALI0B19382g1_1	7.196043956	6.032601694	7.604894632	8.768708236	4.586651244	5.809871958	4.743689217	7.356309628	7.957137774	7.525238278	9.082968478	"uniprot|Q6CE16 Yarrowia lipolytica YALI0B19382g FAS2 Fatty acid synthase subunit alpha, putative"		44	"177,199,996,948,242"
YALI1_B28292g	Q6CDS1	YALI0B21662g1_1	13.92348059	15.29482308	12.03833671	12.29452653	9.34508598	8.169842423	7.128751533	10.3444432	8.667997328	10.75316298	21.17355105	weakly similar to uniprot|P06105 Saccharomyces cerevisiae YJL080c SCP160 required for maintenance of exact ploidy		49	"131,699,996,948,242"
YALI1_F03803g	Q6C354	YALI0F02497g1_1	60.32127093	62.29174989	69.72927034	50.07233935	49.31512685	46.38825376	57.38853428	22.13636708	30.96618056	26.86385264	30.14857907	uniprot|Q6C354 Yarrowia lipolytica YALI0F02497g PDH1 2-methylcitrate dehydratase	4.2.1.79	69	"575,999,984,741,211"
YALI1_D14058g	Q6C9H5	YALI0D11176g1_1	10.18364682	12.75314137	7.615717655	10.19983618	8.701160774	7.172732565	8.096648824	8.738680973	6.760262515	6.287930544	10.01580962	similar to uniprot|P47169 Saccharomyces cerevisiae YJR137c ECM17 involved in cell wall biogenesis and architecture		39	"157,600,006,103,516"
YALI1_F23664g	Q6C1A9	YALI0F17820g1_1	28.3650208	24.65033525	35.248225	33.75928948	20.30055309	20.2327749	25.1313679	74.73885683	80.89720328	102.8807856	106.1595114	highly similar to uniprot|P39708 Saccharomyces cerevisiae YAL062W (ohnolog of YOR375C) GDH3 NADP- glutamate dehydrogenase		84	"497,999,992,370,606"
YALI1_F08845g	Q6C2Q5	YALI0F05962g1_1	29.41393608	34.13400794	29.16554476	20.43005564	33.62707805	23.62475357	30.05098318	33.57962542	28.24509953	33.08175888	25.84392678	"uniprot|Q6C2Q5 Yarrowia lipolytica YALI0F05962g ACS2 Acetyl-coA synthetase, putative"	6.2.1.1	66	"721,999,969,482,422"
YALI1_D20222g	P59680	YALI0D16357g1_1	17.20630125	23.1028143	19.38992782	14.1267584	15.46032577	14.96538543	13.75509962	11.97464677	9.959773872	11.42073612	13.06997875	uniprot|P59680 Yarrowia lipolytica YALI0D16357g PFK1 6-phosphofructokinase	2.7.1.11	50	"103,599,998,474,121"
YALI1_F16035g	Q6C1Z3	YALI0F12155g1_1	12.221392	18.56044206	11.26752742	9.709397228	12.60432403	12.16912134	11.05063332	12.55309968	12.81561427	13.7453601	14.38769271	highly similar to uniprot|P25694 Saccharomyces cerevisiae YDL126c		46	"894,000,015,258,789"
YALI1_D32002g	Q6C7Y7	YALI0D24299g1_1	8.498014118	15.3357639	11.29014496	14.57477169	13.22581225	9.29181402	10.14837873	7.796288969	6.809303642	12.3017584	10.00432813	"similar to uniprot|P78954 Schizosaccharomyces pombe Eukaryotic translation initiation factor 4E-1, CDC33 homologue"		50	"287,000,007,629,395"
YALI1_A20408g	Q6CGG9	YALI0A19470g1_1	31.35591508	31.85171935	27.03955279	24.15416506	24.57871385	18.82224833	20.8820126	19.03720665	23.50048406	18.15660351	27.31524589	"similar to uniprot|Q06440 Saccharomyces cerevisiae YLR429w CRN1 a coronin, that promotes actin polymerization and crosslinking to microtubules"		59	"790,999,984,741,211"
YALI1_D32209g	Q6C7Y2	YALI0D24409g1_1	33.48414937	27.49252323	28.60668383	21.28674532	28.1742176	30.19037686	30.10977416	30.06868143	33.38694999	28.77671515	29.42013277	'highly similar to uniprot|P38009 Saccharomyces cerevisiae YMR120C ADE17 (ohnolog of YLR028C) Enzyme of ''''de novo'''' purine biosynthesis'''		76	"664,000,015,258,789"
YALI1_F12842g	P30614	YALI0F09185g1_1	37.49220074	32.58221893	23.98693521	25.37114637	31.69873167	38.05365388	35.98056083	39.35407637	38.92574792	51.75806892	50.06535332	uniprot|P30614 Yarrowia lipolytica YALI0F09185g PYK1 Pyruvate kinase	2.7.1.40	76	"56,5"
YALI1_E16202g	Q6C618	YALI0E13255g1_1	31.6773354	29.4317639	29.20495841	22.4781422	24.23825395	21.19003676	20.48277625	18.61877178	15.43795482	25.00523818	22.44256449	"uniprot|Q6C618 Yarrowia lipolytica YALI0E13255g SSE1 HSP70 protein, ATPase component of heat shock protein Hsp90 chaperone complex"		54	"755,999,984,741,211"
YALI1_F04045g	Q6C342	YALI0F02805g1_1	31.39170011	33.08326452	36.38358274	30.02429405	29.40174466	31.86179705	27.35906249	24.86929185	20.62064076	35.3061437	27.77826832	"highly similar to uniprot|P19882 Saccharomyces cerevisiae YLR259c HSP60 heat shock protein - chaperone, mitochondrial"		61	"604,000,015,258,789"
YALI1_C09094g	Q6CCT0	YALI0C06820g1_1	61.1194083	70.05619963	94.17256512	44.98339307	65.37915823	50.43848035	55.08814533	49.99488804	58.33822565	83.09614977	99.78444158	highly similar to uniprot|P49626 Saccharomyces cerevisiae YDR012W RPL4B (ohnolog of YBR031W) Protein component of the large (60S) ribosomal subunit		65	"39,5"
YALI1_F15517g	Q6C211	YALI0F11759g1_1	54.85746259	54.03833641	66.48648678	34.87431686	39.67920758	32.42847044	31.25466962	41.06009067	29.21682328	49.9333367	62.66981177	highly similar to uniprot|P39954 Saccharomyces cerevisiae YER043c SAH1 S-adenosyl-L-homocysteine hydrolase	3.3.1.1	60	"489,000,015,258,789"
YALI1_F37463g	Q6BZY5	YALI0F29909g1_1	37.87458227	62.35214757	34.91851779	43.9644421	31.86841363	26.86145452	32.56364927	14.94833133	8.739860245	6.03118245	7.160830115	weakly similar to uniprot|Q03104 Saccharomyces cerevisiae YML128c GIN3 unknown function		61	"637,000,007,629,395"
YALI1_B12993g	Q6CF74	YALI0B09647g1_1	21.9090069	33.27287538	29.10749034	21.36465923	29.57025554	27.31007879	26.16386564	28.96458381	22.97425542	24.64098928	30.14857907	"similar to uniprot|P07275 Saccharomyces cerevisiae YHR037W PUT2 Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial precursor"		57	"627,999,992,370,606"
YALI1_D15424g	P29407	YALI0D12400g1_1	51.15091738	53.90722146	47.15865131	41.52823841	43.24683994	38.81167326	40.24227167	44.75188082	35.3929516	45.51263231	35.16652548	uniprot|P29407 Yarrowia lipolytica YALI0D12400g PGK1 Phosphoglycerate kinase	2.7.2.3	70	"457,000,007,629,395"
YALI1_B19079g	Q6CEM5	YALI0B14509g1_1	70.26540114	57.69216807	69.67203221	53.08011408	59.12268158	45.61175601	47.29300549	50.08385069	43.74339488	56.89616264	49.10935286	highly similar to uniprot|Q9P842 Candida albicans CaSAM2 S-adenosylmethionine synthetase 2	2.5.1.6	78	"420,999,984,741,211"
YALI1_E30886g	Q6C4K5	YALI0E26004g1_1	71.67881342	69.74135076	66.08437037	78.76023901	71.47063133	54.85954296	46.6769675	47.16860326	60.66810048	44.79047224	54.06213498	similar to uniprot|P14540 Saccharomyces cerevisiae YKL060c FBA1 fructose-bisphosphate aldolase		78	"397,999,992,370,605"
YALI1_E33056g	Q6C4C2	YALI0E27962g1_1	17.99339302	19.27761194	20.45132541	19.58743213	17.38814223	13.87933482	19.1415527	8.140468023	12.33458783	7.501259593	8.726932697	highly similar to uniprot|P31539 Saccharomyces cerevisiae YLL026w HSP104 heat shock protein		45	99
YALI1_B18572g	Q6CEP8	YALI0B14014g1_1	35.81864652	32.80699306	33.02304529	27.25112669	11.75413745	6.949420582	9.204464999	29.90716764	25.00498838	43.19247982	47.70452048	uniprot|Q6CEP8 Yarrowia lipolytica YALI0B14014g FAO1 Fatty alkohol oxidase		52	"674,000,015,258,789"
YALI1_B03198g	Q6CFZ7	YALI0B02178g1_1	45.79203808	62.37028527	45.91682337	30.51783775	35.6441818	41.28756181	37.13441471	37.4572968	29.33107245	38.87095517	44.07113318	uniprot|Q6CFZ7 Yarrowia lipolytica YALI0B02178g AAT2 Aspartate aminotransferase	2.6.1.1	64	"47,5"
YALI1_E11943g	Q6C6H1	YALI0E09603g1_1	11.71479505	11.24303861	7.494946259	12.09128246	9.38683713	7.708521976	8.734687909	7.458148968	8.524704372	8.52771154	12.89962989	similar to uniprot|P33327 Saccharomyces cerevisiae YDL215c GDH2 NAD-specific glutamate dehydrogenase (NAD)	1.4.1.2	46	"118,400,001,525,879"
YALI1_E07744g	Q6C6T4	YALI0E06479g1_1	19.35977197	26.48869079	26.6631335	14.09647208	21.54660383	17.45538778	21.0540157	12.97238483	18.43341558	15.57074416	18.79390036	uniprot|Q6C6T4 Yarrowia lipolytica YALI0E06479g TKL1 Transketolase 1	2.2.1.1	48	"760,999,984,741,211"
YALI1_E07302g	Q6C6V1	YALI0E06017g1_1	9.460650867	13.01006223	7.898046413	10.02249701	9.357579868	11.13051135	10.75900793	10.80049645	8.109109643	10.98409754	14.53303543	similar to uniprot|P22515 Saccharomyces cerevisiae YKL210w UBA1 E1-like (ubiquitin-activating) enzyme		52	"112,699,996,948,242"
YALI1_E21128g	F2Z678	YALI0E17787g1_1	18.99985001	19.62050677	28.05592826	23.30280325	36.42539595	20.35634301	20.66259566	12.73121225	15.62189994	15.28126489	15.52195896	uniprot|Q9UW07 Yarrowia lipolytica YALI0E17787g ADH2 Alcohol dehydrogenase II	1.1.1.1	62	"372,000,007,629,395"
YALI1_A16292g	Q6CGT5	YALI0A16379g1_1	15.81465536	15.91553908	21.01076193	27.12339472	50.73941494	33.58637323	27.21529655	11.27238762	9.845339285	7.359064999	8.06658231	uniprot|Q6CGT5 Yarrowia lipolytica YALI0A16379g ADH3 Alcohol dehydrogenase II		81	"369,000,015,258,789"
YALI1_E09329g	Q6C6P0	YALI0E07766g1_1	3.410711734	6.841091209	9.782273538	4.82364714	1.407049206	1.583266277	0.674088748	7.562894388	15.24556241	3.163200104	6.431051912	uniprot|Q6C6P0 Yarrowia lipolytica YALI0E07766g ADH5 Alcohol dehydrogenase I		62	"352,999,992,370,605"
YALI1_A15227g	Q6CGX5	YALI0A15147g1_1	0.527763846	0.66092698	1.513681222	1.449741159	2.107063299	0.475848714	0.630258707	2.700992001	1.637057561	0.950695864	2.605212481	uniprot|Q6CGX5 Yarrowia lipolytica YALI0A15147g ADH4 Alcohol dehydrogenase III		17	"369,000,015,258,789"
YALI1_C00739g	Q6CDH3	YALI0C00539g1_1	30.31524486	29.86258063	23.91086858	24.80535069	11.58899157	17.06568886	13.41918005	19.50562856	16.14575501	13.80793141	21.1876974	weakly similar to uniprot|P04147 Saccharomyces cerevisiae YER165w PAB1 mRNA polyadenylate-binding protein		53	"706,999,969,482,422"
