Orthogroup	A_s288c	B_s288c
OG0001525	P40580 BZRD_YEAST Benzil reductase __S_-benzoin forming_ IRC24 GN=IRC24 PE=1 SV=1	P40580 BZRD_YEAST Benzil reductase __S_-benzoin forming_ IRC24 GN=IRC24 PE=1 SV=1
OG0001526	P38822 BZZ1_YEAST Protein BZZ1 GN=BZZ1 PE=1 SV=1	P38822 BZZ1_YEAST Protein BZZ1 GN=BZZ1 PE=1 SV=1
OG0001527	P17555 CAP_YEAST Adenylyl cyclase-associated protein GN=SRV2 PE=1 SV=1	P17555 CAP_YEAST Adenylyl cyclase-associated protein GN=SRV2 PE=1 SV=1
OG0001528	P19073 CDC42_YEAST Cell division control protein 42 GN=CDC42 PE=1 SV=2	P19073 CDC42_YEAST Cell division control protein 42 GN=CDC42 PE=1 SV=2
OG0001529	P06243 CDC7_YEAST Cell division control protein 7 GN=CDC7 PE=1 SV=2	P06243 CDC7_YEAST Cell division control protein 7 GN=CDC7 PE=1 SV=2
OG0001530	Q03654 CEF1_YEAST Pre-mRNA-splicing factor CEF1 GN=CEF1 PE=1 SV=1	Q03654 CEF1_YEAST Pre-mRNA-splicing factor CEF1 GN=CEF1 PE=1 SV=1
OG0001531	Q12748 CENPI_YEAST Inner kinetochore subunit CTF3 GN=CTF3 PE=1 SV=1	Q12748 CENPI_YEAST Inner kinetochore subunit CTF3 GN=CTF3 PE=1 SV=1
OG0001532	P25337 BUD31_YEAST Pre-mRNA-splicing factor BUD31 GN=BUD31 PE=1 SV=1	P25337 BUD31_YEAST Pre-mRNA-splicing factor BUD31 GN=BUD31 PE=1 SV=1
OG0001533	Q08492 BUD21_YEAST Bud site selection protein 21 GN=BUD21 PE=1 SV=1	Q08492 BUD21_YEAST Bud site selection protein 21 GN=BUD21 PE=1 SV=1
OG0001534	Q04347 BUD22_YEAST Bud site selection protein 22 GN=BUD22 PE=1 SV=1	Q04347 BUD22_YEAST Bud site selection protein 22 GN=BUD22 PE=1 SV=1
OG0001535	P36106 BYE1_YEAST Transcription factor BYE1 GN=BYE1 PE=1 SV=1	P36106 BYE1_YEAST Transcription factor BYE1 GN=BYE1 PE=1 SV=1
OG0001536	P80235 CACM_YEAST Putative mitochondrial carnitine O-acetyltransferase GN=YAT1 PE=1 SV=2	P80235 CACM_YEAST Putative mitochondrial carnitine O-acetyltransferase GN=YAT1 PE=1 SV=2
OG0001537	P53934 CARME_YEAST Carnosine N-methyltransferase GN=YNL092W PE=1 SV=1	P53934 CARME_YEAST Carnosine N-methyltransferase GN=YNL092W PE=1 SV=1
OG0001538	P33322 CBF5_YEAST H/ACA ribonucleoprotein complex subunit CBF5 GN=CBF5 PE=1 SV=1	P33322 CBF5_YEAST H/ACA ribonucleoprotein complex subunit CBF5 GN=CBF5 PE=1 SV=1
OG0001539	P47136 BUD4_YEAST Bud site selection protein 4 GN=BUD4 PE=1 SV=2	P47136 BUD4_YEAST Bud site selection protein 4 GN=BUD4 PE=1 SV=2
OG0001540	Q08754 BUD7_YEAST Bud site selection protein 7 GN=BUD7 PE=1 SV=1	Q08754 BUD7_YEAST Bud site selection protein 7 GN=BUD7 PE=1 SV=1
OG0001541	Q12191 BUG1_YEAST Binder of USO1 and GRH1 protein 1 GN=BUG1 PE=1 SV=1	Q12191 BUG1_YEAST Binder of USO1 and GRH1 protein 1 GN=BUG1 PE=1 SV=1
OG0001542	P25627 BUD23_YEAST 18S rRNA _guanine_1575_-N_7__-methyltransferase GN=BUD23 PE=1 SV=1	P25627 BUD23_YEAST 18S rRNA _guanine_1575_-N_7__-methyltransferase GN=BUD23 PE=1 SV=1
OG0001543	Q06604 BSP1_YEAST Protein BSP1 GN=BSP1 PE=1 SV=1	Q06604 BSP1_YEAST Protein BSP1 GN=BSP1 PE=1 SV=1
OG0001544	Q03941 CAB5_YEAST Dephospho-CoA kinase CAB5 GN=CAB5 PE=1 SV=1	Q03941 CAB5_YEAST Dephospho-CoA kinase CAB5 GN=CAB5 PE=1 SV=1
OG0001545	P12962 CAF20_YEAST Cap-associated protein CAF20 GN=CAF20 PE=1 SV=2	P12962 CAF20_YEAST Cap-associated protein CAF20 GN=CAF20 PE=1 SV=2
OG0001546	P27825 CALX_YEAST Calnexin homolog GN=CNE1 PE=1 SV=1	P27825 CALX_YEAST Calnexin homolog GN=CNE1 PE=1 SV=1
OG0001547	P15202 CATA_YEAST Peroxisomal catalase A GN=CTA1 PE=1 SV=1	P15202 CATA_YEAST Peroxisomal catalase A GN=CTA1 PE=1 SV=1
OG0001548	P13517 CAPZB_YEAST F-actin-capping protein subunit beta GN=CAP2 PE=1 SV=3	P13517 CAPZB_YEAST F-actin-capping protein subunit beta GN=CAP2 PE=1 SV=3
OG0001549	P07252 CBP1_YEAST Cytochrome B pre-mRNA-processing protein 1 GN=CBP1 PE=1 SV=1	P07252 CBP1_YEAST Cytochrome B pre-mRNA-processing protein 1 GN=CBP1 PE=1 SV=1
OG0001550	P37267 CBP4_YEAST Assembly factor CBP4 GN=CBP4 PE=1 SV=3	P37267 CBP4_YEAST Assembly factor CBP4 GN=CBP4 PE=1 SV=3
OG0001551	P07253 CBP6_YEAST Cytochrome B pre-mRNA-processing protein 6 GN=CBP6 PE=1 SV=1	P07253 CBP6_YEAST Cytochrome B pre-mRNA-processing protein 6 GN=CBP6 PE=1 SV=1
OG0001552	Q08235 BRX1_YEAST Ribosome biogenesis protein BRX1 GN=BRX1 PE=1 SV=2	Q08235 BRX1_YEAST Ribosome biogenesis protein BRX1 GN=BRX1 PE=1 SV=2
OG0001553	P53894 CBK1_YEAST Serine/threonine-protein kinase CBK1 GN=CBK1 PE=1 SV=1	P53894 CBK1_YEAST Serine/threonine-protein kinase CBK1 GN=CBK1 PE=1 SV=1
OG0001554	P40969 CBF3B_YEAST Centromere DNA-binding protein complex CBF3 subunit B GN=CEP3 PE=1 SV=1	P40969 CBF3B_YEAST Centromere DNA-binding protein complex CBF3 subunit B GN=CEP3 PE=1 SV=1
OG0001555	P35203 CBF3C_YEAST Centromere DNA-binding protein complex CBF3 subunit C GN=CTF13 PE=1 SV=3	P35203 CBF3C_YEAST Centromere DNA-binding protein complex CBF3 subunit C GN=CTF13 PE=1 SV=3
OG0001556	P27614 CBPS_YEAST Carboxypeptidase S GN=CPS1 PE=1 SV=2	P27614 CBPS_YEAST Carboxypeptidase S GN=CPS1 PE=1 SV=2
OG0001557	P47818 CCC1_YEAST Protein CCC1 GN=CCC1 PE=1 SV=1	P47818 CCC1_YEAST Protein CCC1 GN=CCC1 PE=1 SV=1
OG0001558	P06101 CDC37_YEAST Hsp90 co-chaperone Cdc37 GN=CDC37 PE=1 SV=2	P06101 CDC37_YEAST Hsp90 co-chaperone Cdc37 GN=CDC37 PE=1 SV=2
OG0001559	Q08032 CDC45_YEAST Cell division control protein 45 GN=CDC45 PE=1 SV=1	Q08032 CDC45_YEAST Cell division control protein 45 GN=CDC45 PE=1 SV=1
OG0001560	Q12018 CDC53_YEAST Cell division control protein 53 GN=CDC53 PE=1 SV=1	Q12018 CDC53_YEAST Cell division control protein 53 GN=CDC53 PE=1 SV=1
OG0001561	P53197 CDH1_YEAST APC/C activator protein CDH1 GN=CDH1 PE=1 SV=1	P53197 CDH1_YEAST APC/C activator protein CDH1 GN=CDH1 PE=1 SV=1
OG0001562	Q06549 CDD_YEAST Cytidine deaminase GN=CDD1 PE=1 SV=1	Q06549 CDD_YEAST Cytidine deaminase GN=CDD1 PE=1 SV=1
OG0001563	P50277 BIOA_YEAST Adenosylmethionine-8-amino-7-oxononanoate aminotransferase GN=BIO3 PE=3 SV=1	P50277 BIOA_YEAST Adenosylmethionine-8-amino-7-oxononanoate aminotransferase GN=BIO3 PE=3 SV=1
OG0001564	P14772 BPT1_YEAST Bile pigment transporter 1 GN=BPT1 PE=1 SV=2	P14772 BPT1_YEAST Bile pigment transporter 1 GN=BPT1 PE=1 SV=2
OG0001565	P32639 BRR2_YEAST Pre-mRNA-splicing helicase BRR2 GN=BRR2 PE=1 SV=2	P32639 BRR2_YEAST Pre-mRNA-splicing helicase BRR2 GN=BRR2 PE=1 SV=2
OG0001566	Q05949 BUR2_YEAST Protein BUR2 GN=BUR2 PE=1 SV=1	Q05949 BUR2_YEAST Protein BUR2 GN=BUR2 PE=1 SV=1
OG0001567	P53836 CA120_YEAST CCR4-NOT transcriptional complex subunit CAF120 GN=CAF120 PE=1 SV=1	P53836 CA120_YEAST CCR4-NOT transcriptional complex subunit CAF120 GN=CAF120 PE=1 SV=1
OG0001568	P53829 CAF40_YEAST Protein CAF40 GN=CAF40 PE=1 SV=1	P53829 CAF40_YEAST Protein CAF40 GN=CAF40 PE=1 SV=1
OG0001569	P47158 CAF17_YEAST Putative transferase CAF17_ mitochondrial GN=IBA57 PE=1 SV=1	P47158 CAF17_YEAST Putative transferase CAF17_ mitochondrial GN=IBA57 PE=1 SV=1
OG0001570	P00546 CDK1_YEAST Cyclin-dependent kinase 1 GN=CDC28 PE=1 SV=1	P00546 CDK1_YEAST Cyclin-dependent kinase 1 GN=CDC28 PE=1 SV=1
OG0001571	P39113 CAT8_YEAST Regulatory protein CAT8 GN=CAT8 PE=1 SV=2	P39113 CAT8_YEAST Regulatory protein CAT8 GN=CAT8 PE=1 SV=2
OG0001572	P03965 CARB_YEAST Carbamoyl-phosphate synthase arginine-specific large chain GN=CPA2 PE=1 SV=1	P03965 CARB_YEAST Carbamoyl-phosphate synthase arginine-specific large chain GN=CPA2 PE=1 SV=1
OG0001573	P21560 CBP3_YEAST Protein CBP3_ mitochondrial GN=CBP3 PE=1 SV=1	P21560 CBP3_YEAST Protein CBP3_ mitochondrial GN=CBP3 PE=1 SV=1
OG0001574	P00729 CBPY_YEAST Carboxypeptidase Y GN=PRC1 PE=1 SV=1	P00729 CBPY_YEAST Carboxypeptidase Y GN=PRC1 PE=1 SV=1
OG0001575	P11927 KAR1_YEAST Cell division control protein KAR1 GN=KAR1 PE=1 SV=2	P11927 KAR1_YEAST Cell division control protein KAR1 GN=KAR1 PE=1 SV=2
OG0001576	P25583 KAR4_YEAST Karyogamy protein KAR4 GN=KAR4 PE=1 SV=1	P25583 KAR4_YEAST Karyogamy protein KAR4 GN=KAR4 PE=1 SV=1
OG0001577	P32526 KAR9_YEAST Karyogamy protein KAR9 GN=KAR9 PE=1 SV=2	P32526 KAR9_YEAST Karyogamy protein KAR9 GN=KAR9 PE=1 SV=2
OG0001578	P50090 KEL2_YEAST Kelch repeat-containing protein 2 GN=KEL2 PE=1 SV=1	P50090 KEL2_YEAST Kelch repeat-containing protein 2 GN=KEL2 PE=1 SV=1
OG0001579	Q08979 KEL3_YEAST Kelch repeat-containing protein 3 GN=KEL3 PE=1 SV=1	Q08979 KEL3_YEAST Kelch repeat-containing protein 3 GN=KEL3 PE=1 SV=1
OG0001580	P34166 MFA2_YEAST Mating hormone A-factor 2 GN=MFA2 PE=1 SV=1	P34166 MFA2_YEAST Mating hormone A-factor 2 GN=MFA2 PE=1 SV=1
OG0001581	O13555 JIP3_YEAST Uncharacterized protein JIP3 GN=JIP3 PE=4 SV=1	O13555 JIP3_YEAST Uncharacterized protein JIP3 GN=JIP3 PE=4 SV=1
OG0001582	P40206 JLP2_YEAST Protein JLP2 GN=JLP2 PE=1 SV=2	P40206 JLP2_YEAST Protein JLP2 GN=JLP2 PE=1 SV=2
OG0001583	P06245 KAPB_YEAST cAMP-dependent protein kinase type 2 GN=TPK2 PE=1 SV=2	P06245 KAPB_YEAST cAMP-dependent protein kinase type 2 GN=TPK2 PE=1 SV=2
OG0001584	Q07551 KAR_YEAST NADPH-dependent alpha-keto amide reductase GN=YDL124W PE=1 SV=1	Q07551 KAR_YEAST NADPH-dependent alpha-keto amide reductase GN=YDL124W PE=1 SV=1
OG0001585	P07278 KAPR_YEAST cAMP-dependent protein kinase regulatory subunit GN=BCY1 PE=1 SV=4	P07278 KAPR_YEAST cAMP-dependent protein kinase regulatory subunit GN=BCY1 PE=1 SV=4
OG0001586	P40309 KHA1_YEAST K_+_/H_+_ antiporter 1 GN=KHA1 PE=1 SV=1	P40309 KHA1_YEAST K_+_/H_+_ antiporter 1 GN=KHA1 PE=1 SV=1
OG0001587	P01149 MFAL1_YEAST Mating factor alpha-1 GN=MF_ALPHA_1 PE=1 SV=1	P01149 MFAL1_YEAST Mating factor alpha-1 GN=MF_ALPHA_1 PE=1 SV=1
OG0001588	P28743 KIP2_YEAST Kinesin-like protein KIP2 GN=KIP2 PE=1 SV=1	P28743 KIP2_YEAST Kinesin-like protein KIP2 GN=KIP2 PE=1 SV=1
OG0001589	P06242 KIN28_YEAST Serine/threonine-protein kinase KIN28 GN=KIN28 PE=1 SV=1	P06242 KIN28_YEAST Serine/threonine-protein kinase KIN28 GN=KIN28 PE=1 SV=1
OG0001590	P47170 IML1_YEAST Vacuolar membrane-associated protein IML1 GN=IML1 PE=1 SV=1	P47170 IML1_YEAST Vacuolar membrane-associated protein IML1 GN=IML1 PE=1 SV=1
OG0001591	P01094 IPA3_YEAST Protease A inhibitor 3 GN=PAI3 PE=1 SV=1	P01094 IPA3_YEAST Protease A inhibitor 3 GN=PAI3 PE=1 SV=1
OG0001592	P40358 JEM1_YEAST DnaJ-like chaperone JEM1 GN=JEM1 PE=1 SV=3	P40358 JEM1_YEAST DnaJ-like chaperone JEM1 GN=JEM1 PE=1 SV=3
OG0001593	P32767 KA122_YEAST Importin beta-like protein KAP122 GN=KAP122 PE=1 SV=1	P32767 KA122_YEAST Importin beta-like protein KAP122 GN=KAP122 PE=1 SV=1
OG0001594	P36005 KDX1_YEAST Serine/threonine-protein kinase KDX1 GN=KDX1 PE=1 SV=1	P36005 KDX1_YEAST Serine/threonine-protein kinase KDX1 GN=KDX1 PE=1 SV=1
OG0001595	Q06346 KEI1_YEAST Inositol phosphorylceramide synthase regulatory subunit KEI1 GN=KEI1 PE=1 SV=2	Q06346 KEI1_YEAST Inositol phosphorylceramide synthase regulatory subunit KEI1 GN=KEI1 PE=1 SV=2
OG0001596	P20485 KICH_YEAST Choline kinase GN=CKI1 PE=1 SV=1	P20485 KICH_YEAST Choline kinase GN=CKI1 PE=1 SV=1
OG0001597	P46997 JJJ2_YEAST J protein JJJ2 GN=JJJ2 PE=1 SV=2	P46997 JJJ2_YEAST J protein JJJ2 GN=JJJ2 PE=1 SV=2
OG0001598	P25389 KCC4_YEAST Probable serine/threonine-protein kinase KCC4 GN=KCC4 PE=1 SV=3	P25389 KCC4_YEAST Probable serine/threonine-protein kinase KCC4 GN=KCC4 PE=1 SV=3
OG0001599	P13134 KEX2_YEAST Kexin GN=KEX2 PE=1 SV=1	P13134 KEX2_YEAST Kexin GN=KEX2 PE=1 SV=1
OG0001600	Q04066 KFA_YEAST Kynurenine formamidase GN=BNA7 PE=1 SV=1	Q04066 KFA_YEAST Kynurenine formamidase GN=BNA7 PE=1 SV=1
OG0001601	P17423 KHSE_YEAST Homoserine kinase GN=THR1 PE=1 SV=4	P17423 KHSE_YEAST Homoserine kinase GN=THR1 PE=1 SV=4
OG0001602	P28742 KIP1_YEAST Kinesin-like protein KIP1 GN=KIP1 PE=1 SV=1	P28742 KIP1_YEAST Kinesin-like protein KIP1 GN=KIP1 PE=1 SV=1
OG0001603	P39005 KRE9_YEAST Cell wall synthesis protein KRE9 GN=KRE9 PE=3 SV=1	P39005 KRE9_YEAST Cell wall synthesis protein KRE9 GN=KRE9 PE=3 SV=1
OG0001604	Q06683 IRC3_YEAST Putative ATP-dependent helicase IRC3 GN=IRC3 PE=1 SV=1	Q06683 IRC3_YEAST Putative ATP-dependent helicase IRC3 GN=IRC3 PE=1 SV=1
OG0001605	Q03036 IRC4_YEAST Uncharacterized protein IRC4 GN=IRC4 PE=1 SV=1	Q03036 IRC4_YEAST Uncharacterized protein IRC4 GN=IRC4 PE=1 SV=1
OG0001606	P40015 ISC1_YEAST Inositol phosphosphingolipids phospholipase C GN=ISC1 PE=1 SV=1	P40015 ISC1_YEAST Inositol phosphosphingolipids phospholipase C GN=ISC1 PE=1 SV=1
OG0001607	Q12280 IQG1_YEAST Ras GTPase-activating-like protein IQG1 GN=IQG1 PE=1 SV=1	Q12280 IQG1_YEAST Ras GTPase-activating-like protein IQG1 GN=IQG1 PE=1 SV=1
OG0001608	Q08773 ISW2_YEAST ISWI chromatin-remodeling complex ATPase ISW2 GN=ISW2 PE=1 SV=1	Q08773 ISW2_YEAST ISWI chromatin-remodeling complex ATPase ISW2 GN=ISW2 PE=1 SV=1
OG0001609	P30605 ITR1_YEAST Myo-inositol transporter 1 GN=ITR1 PE=1 SV=2	P30605 ITR1_YEAST Myo-inositol transporter 1 GN=ITR1 PE=1 SV=2
OG0001610	Q07959 IZH3_YEAST ADIPOR-like receptor IZH3 GN=IZH3 PE=1 SV=1	Q07959 IZH3_YEAST ADIPOR-like receptor IZH3 GN=IZH3 PE=1 SV=1
OG0001611	P06244 KAPA_YEAST cAMP-dependent protein kinase type 1 GN=TPK1 PE=1 SV=3	P06244 KAPA_YEAST cAMP-dependent protein kinase type 1 GN=TPK1 PE=1 SV=3
OG0001612	P39962 KC13_YEAST Casein kinase I homolog 3 GN=YCK3 PE=1 SV=2	P39962 KC13_YEAST Casein kinase I homolog 3 GN=YCK3 PE=1 SV=2
OG0001613	Q12425 ISA2_YEAST Iron-sulfur assembly protein 2 GN=ISA2 PE=1 SV=1	Q12425 ISA2_YEAST Iron-sulfur assembly protein 2 GN=ISA2 PE=1 SV=1
OG0001614	Q6Q560 ISD11_YEAST Protein ISD11 GN=ISD11 PE=1 SV=1	Q6Q560 ISD11_YEAST Protein ISD11 GN=ISD11 PE=1 SV=1
OG0001615	P47822 MED21_YEAST Mediator of RNA polymerase II transcription subunit 21 GN=SRB7 PE=1 SV=1	P47822 MED21_YEAST Mediator of RNA polymerase II transcription subunit 21 GN=SRB7 PE=1 SV=1
OG0001616	Q12056 ISU2_YEAST Iron sulfur cluster assembly protein 2_ mitochondrial GN=ISU2 PE=1 SV=1	Q12056 ISU2_YEAST Iron sulfur cluster assembly protein 2_ mitochondrial GN=ISU2 PE=1 SV=1
OG0001617	P05986 KAPC_YEAST cAMP-dependent protein kinase type 3 GN=TPK3 PE=1 SV=2	P05986 KAPC_YEAST cAMP-dependent protein kinase type 3 GN=TPK3 PE=1 SV=2
OG0001618	P22517 KCC2_YEAST Calcium/calmodulin-dependent protein kinase II GN=CMK2 PE=1 SV=2	P22517 KCC2_YEAST Calcium/calmodulin-dependent protein kinase II GN=CMK2 PE=1 SV=2
OG0001619	Q12494 KCS1_YEAST Inositol hexakisphosphate kinase 1 GN=KCS1 PE=1 SV=1	Q12494 KCS1_YEAST Inositol hexakisphosphate kinase 1 GN=KCS1 PE=1 SV=1
OG0001620	Q02733 IRC15_YEAST Increased recombination centers protein 15 GN=IRC15 PE=1 SV=1	Q02733 IRC15_YEAST Increased recombination centers protein 15 GN=IRC15 PE=1 SV=1
OG0001621	P36115 IRS4_YEAST Increased rDNA silencing protein 4 GN=IRS4 PE=1 SV=1	P36115 IRS4_YEAST Increased rDNA silencing protein 4 GN=IRS4 PE=1 SV=1
OG0001622	P38991 IPL1_YEAST Spindle assembly checkpoint kinase GN=IPL1 PE=1 SV=1	P38991 IPL1_YEAST Spindle assembly checkpoint kinase GN=IPL1 PE=1 SV=1
OG0001623	Q06554 IRC20_YEAST Uncharacterized ATP-dependent helicase IRC20 GN=IRC20 PE=1 SV=1	Q06554 IRC20_YEAST Uncharacterized ATP-dependent helicase IRC20 GN=IRC20 PE=1 SV=1
OG0001624	P32570 MED22_YEAST Mediator of RNA polymerase II transcription subunit 22 GN=SRB6 PE=1 SV=1	P32570 MED22_YEAST Mediator of RNA polymerase II transcription subunit 22 GN=SRB6 PE=1 SV=1
OG0001625	P36035 JEN1_YEAST Carboxylic acid transporter protein homolog GN=JEN1 PE=1 SV=1	P36035 JEN1_YEAST Carboxylic acid transporter protein homolog GN=JEN1 PE=1 SV=1
OG0001626	Q03361 JIP4_YEAST Uncharacterized protein JIP4 GN=JIP4 PE=1 SV=2	Q03361 JIP4_YEAST Uncharacterized protein JIP4 GN=JIP4 PE=1 SV=2
OG0001627	Q12350 JID1_YEAST J domain-containing protein 1 GN=JID1 PE=1 SV=1	Q12350 JID1_YEAST J domain-containing protein 1 GN=JID1 PE=1 SV=1
OG0001628	P15700 KCY_YEAST Uridylate kinase GN=URA6 PE=1 SV=1	P15700 KCY_YEAST Uridylate kinase GN=URA6 PE=1 SV=1
OG0001629	P38144 ISW1_YEAST ISWI chromatin-remodeling complex ATPase ISW1 GN=ISW1 PE=1 SV=2	P38144 ISW1_YEAST ISWI chromatin-remodeling complex ATPase ISW1 GN=ISW1 PE=1 SV=2
OG0001630	P05694 METE_YEAST 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase GN=MET6 PE=1 SV=4	P05694 METE_YEAST 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase GN=MET6 PE=1 SV=4
OG0001631	P36132 KAE1_YEAST tRNA N6-adenosine threonylcarbamoyltransferase GN=KAE1 PE=1 SV=2	P36132 KAE1_YEAST tRNA N6-adenosine threonylcarbamoyltransferase GN=KAE1 PE=1 SV=2
OG0001632	Q02196 KAPS_YEAST Adenylyl-sulfate kinase GN=MET14 PE=1 SV=1	Q02196 KAPS_YEAST Adenylyl-sulfate kinase GN=MET14 PE=1 SV=1
OG0001633	Q04746 KAR5_YEAST Nuclear fusion protein KAR5 GN=KAR5 PE=1 SV=1	Q04746 KAR5_YEAST Nuclear fusion protein KAR5 GN=KAR5 PE=1 SV=1
OG0001634	P27466 KCC1_YEAST Calcium/calmodulin-dependent protein kinase I GN=CMK1 PE=1 SV=2	P27466 KCC1_YEAST Calcium/calmodulin-dependent protein kinase I GN=CMK1 PE=1 SV=2
OG0001635	P07250 IPMK_YEAST Inositol polyphosphate multikinase GN=ARG82 PE=1 SV=1	P07250 IPMK_YEAST Inositol polyphosphate multikinase GN=ARG82 PE=1 SV=1
OG0001636	Q03419 IZH1_YEAST ADIPOR-like receptor IZH1 GN=IZH1 PE=1 SV=1	Q03419 IZH1_YEAST ADIPOR-like receptor IZH1 GN=IZH1 PE=1 SV=1
OG0001637	P40034 JHD1_YEAST JmjC domain-containing histone demethylation protein 1 GN=JHD1 PE=1 SV=1	P40034 JHD1_YEAST JmjC domain-containing histone demethylation protein 1 GN=JHD1 PE=1 SV=1
OG0001638	P47156 JHD2_YEAST Histone demethylase JHD2 GN=JHD2 PE=1 SV=1	P47156 JHD2_YEAST Histone demethylase JHD2 GN=JHD2 PE=1 SV=1
OG0001639	P22209 KIN3_YEAST Serine/threonine-protein kinase KIN3 GN=KIN3 PE=3 SV=2	P22209 KIN3_YEAST Serine/threonine-protein kinase KIN3 GN=KIN3 PE=3 SV=2
OG0001640	P38169 KMO_YEAST Kynurenine 3-monooxygenase GN=BNA4 PE=1 SV=1	P38169 KMO_YEAST Kynurenine 3-monooxygenase GN=BNA4 PE=1 SV=1
OG0001641	P52489 KPYK2_YEAST Pyruvate kinase 2 GN=PYK2 PE=1 SV=1	P52489 KPYK2_YEAST Pyruvate kinase 2 GN=PYK2 PE=1 SV=1
OG0001642	Q04431 KRE28_YEAST Spindle pole body component KRE28 GN=KRE28 PE=1 SV=1	Q04431 KRE28_YEAST Spindle pole body component KRE28 GN=KRE28 PE=1 SV=1
OG0001643	P53050 MGA1_YEAST Protein MGA1 GN=MGA1 PE=3 SV=1	P53050 MGA1_YEAST Protein MGA1 GN=MGA1 PE=3 SV=1
OG0001644	P36066 MGR3L_YEAST Protein MRG3-like GN=YKL133C PE=3 SV=2	P36066 MGR3L_YEAST Protein MRG3-like GN=YKL133C PE=3 SV=2
OG0001645	P33550 KTR2_YEAST Probable mannosyltransferase KTR2 GN=KTR2 PE=3 SV=1	P33550 KTR2_YEAST Probable mannosyltransferase KTR2 GN=KTR2 PE=3 SV=1
OG0001646	P38131 KTR4_YEAST Probable mannosyltransferase KTR4 GN=KTR4 PE=1 SV=1	P38131 KTR4_YEAST Probable mannosyltransferase KTR4 GN=KTR4 PE=1 SV=1
OG0001647	P54070 KTR6_YEAST Mannosyltransferase KTR6 GN=KTR6 PE=1 SV=1	P54070 KTR6_YEAST Mannosyltransferase KTR6 GN=KTR6 PE=1 SV=1
OG0001648	P32807 KU70_YEAST ATP-dependent DNA helicase II subunit 1 GN=YKU70 PE=1 SV=2	P32807 KU70_YEAST ATP-dependent DNA helicase II subunit 1 GN=YKU70 PE=1 SV=2
OG0001649	Q04437 KU80_YEAST ATP-dependent DNA helicase II subunit 2 GN=YKU80 PE=1 SV=1	Q04437 KU80_YEAST ATP-dependent DNA helicase II subunit 2 GN=YKU80 PE=1 SV=1
OG0001650	P13186 KIN2_YEAST Serine/threonine-protein kinase KIN2 GN=KIN2 PE=1 SV=3	P13186 KIN2_YEAST Serine/threonine-protein kinase KIN2 GN=KIN2 PE=1 SV=3
OG0001651	P25341 KIN82_YEAST Serine/threonine-protein kinase KIN82 GN=KIN82 PE=1 SV=3	P25341 KIN82_YEAST Serine/threonine-protein kinase KIN82 GN=KIN82 PE=1 SV=3
OG0001652	P32895 KPR1_YEAST Ribose-phosphate pyrophosphokinase 1 GN=PRS1 PE=1 SV=1	P32895 KPR1_YEAST Ribose-phosphate pyrophosphokinase 1 GN=PRS1 PE=1 SV=1
OG0001653	P32486 KRE6_YEAST Beta-glucan synthesis-associated protein KRE6 GN=KRE6 PE=1 SV=2	P32486 KRE6_YEAST Beta-glucan synthesis-associated protein KRE6 GN=KRE6 PE=1 SV=2
OG0001654	P42846 KRI1_YEAST Protein KRI1 GN=KRI1 PE=1 SV=1	P42846 KRI1_YEAST Protein KRI1 GN=KRI1 PE=1 SV=1
OG0001655	P25586 KRR1_YEAST KRR1 small subunit processome component GN=KRR1 PE=1 SV=1	P25586 KRR1_YEAST KRR1 small subunit processome component GN=KRR1 PE=1 SV=1
OG0001656	P32787 MG101_YEAST Mitochondrial genome maintenance protein MGM101 GN=MGM101 PE=1 SV=1	P32787 MG101_YEAST Mitochondrial genome maintenance protein MGM101 GN=MGM101 PE=1 SV=1
OG0001657	P26188 MGMT_YEAST Methylated-DNA--protein-cysteine methyltransferase GN=MGT1 PE=1 SV=3	P26188 MGMT_YEAST Methylated-DNA--protein-cysteine methyltransferase GN=MGT1 PE=1 SV=3
OG0001658	Q04472 MGR3_YEAST Mitochondrial inner membrane i-AAA protease supercomplex subunit MGR3 GN=MGR3 PE=1 SV=1	Q04472 MGR3_YEAST Mitochondrial inner membrane i-AAA protease supercomplex subunit MGR3 GN=MGR3 PE=1 SV=1
OG0001659	P53966 KTR5_YEAST Probable mannosyltransferase KTR5 GN=KTR5 PE=1 SV=1	P53966 KTR5_YEAST Probable mannosyltransferase KTR5 GN=KTR5 PE=1 SV=1
OG0001660	P38853 KEL1_YEAST Kelch repeat-containing protein 1 GN=KEL1 PE=1 SV=1	P38853 KEL1_YEAST Kelch repeat-containing protein 1 GN=KEL1 PE=1 SV=1
OG0001661	P15454 KGUA_YEAST Guanylate kinase GN=GUK1 PE=1 SV=2	P15454 KGUA_YEAST Guanylate kinase GN=GUK1 PE=1 SV=2
OG0001662	P38692 KIC1_YEAST Serine/threonine-protein kinase KIC1 GN=KIC1 PE=1 SV=1	P38692 KIC1_YEAST Serine/threonine-protein kinase KIC1 GN=KIC1 PE=1 SV=1
OG0001663	P34165 MFA1_YEAST Mating hormone A-factor 1 GN=MFA1 PE=1 SV=1	P34165 MFA1_YEAST Mating hormone A-factor 1 GN=MFA1 PE=1 SV=1
OG0001664	Q01919 KIN4_YEAST Serine/threonine-protein kinase KIN4 GN=KIN4 PE=1 SV=1	Q01919 KIN4_YEAST Serine/threonine-protein kinase KIN4 GN=KIN4 PE=1 SV=1
