W29_NCBI	CLIB122_NCBI	CLIB122_UNIPROT	standard_A	standard_B	standard_C	standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D	Protein_name	ec_number
YALI1_C33152g	YALI0C24101g1_1	Q6CAV2	275.3701619	220.4728	287.7931486	275.4199173	225.2992378	238.4382683	241.6046793	202.5229626	234.4351048	234.3113611	252.0250582	uniprot|Q6CAV2 Yarrowia lipolytica YALI0C24101g PYC1 Pyruvate carboxylase	6.4.1.1
YALI1_D15424g	YALI0D12400g1_1	P29407	595.839856	527.1840769	610.5576183	712.2354949	658.790521	569.0133123	512.5680661	705.6051831	603.7487406	728.2897818	694.4388691	uniprot|P29407 Yarrowia lipolytica YALI0D12400g PGK1 Phosphoglycerate kinase	2.7.2.3
YALI1_E17214g			959.5373994	1722.036528	1123.567294	1068.809366	972.4124308	1041.299479	996.4975341	924.2676946	1145.477436	1399.683606	1042.62838	No description in CLIB122	
YALI1_F04045g	YALI0F02805g1_1	Q6C342	337.1598806	374.7688863	354.7254262	363.2525785	603.5464354	513.8611635	550.0819911	479.9800882	499.7681127	422.722586	408.9243186	"highly similar to uniprot|P19882 Saccharomyces cerevisiae YLR259c HSP60 heat shock protein - chaperone, mitochondrial"	
YALI1_E39693g	YALI0E33517g1_1	Q6C3M8	288.4367254	320.6108334	278.3629636	235.1543669	283.5472313	317.7606472	295.4902735	213.7291458	204.9367272	213.5007941	182.0253792	uniprot|Q6C3M8 Yarrowia lipolytica YALI0E33517g KGD1 2-oxoglutarate dehydrogenase complex E1 component	
YALI1_F14495g	YALI0F10857g1_1	O74935	258.8156576	246.6010474	283.4195266	260.7746676	224.5099244	223.9765479	262.9766624	141.4144066	233.1685637	226.817082	178.2377493	uniprot|O74935 Yarrowia lipolytica YALI0F10857g POX2 Fatty-acyl coenzyme A oxidase	1.3.3.6
YALI1_C32886g	YALI0C23859g1_1	F2Z630	153.1531368	128.0442591	153.3409315	105.3368081	180.3458826	132.4227497	147.518609	31.93275104	47.96350781	60.13446577	49.9991401	uniprot|O74938 Yarrowia lipolytica YALI0C23859g POX5 (=ACO5) Fatty-acyl coenzyme A oxidase	
YALI1_E07899g	YALI0E06567g1_1	Q6C6T0	104.8133154	22.99597254	103.0719113	70.80474877	32.38902699	26.1999962	22.35841652	82.19080518	129.7245176	135.9300564	102.5906115	uniprot|Q6C6T0 Yarrowia lipolytica YALI0E06567g POX6 Fatty-acyl coenzyme A oxidase	
YALI1_E32603g	YALI0E27654g1_1	F2Z627	37.3498631	11.17496683	37.3956611	34.40779544	15.73955186	5.019560114	5.373376736	48.06738737	72.19799218	78.27217364	68.89549954	uniprot|O74937 Yarrowia lipolytica YALI0E27654g POX4 Fatty-acyl coenzyme A oxidase	
YALI1_E38912g	YALI0E32835g1_1	O74934	38.01074133	34.71573938	44.50855778	35.01661595	32.38902699	26.1999962	16.69273378	21.46439081	30.19405289	42.47466047	31.4755269	uniprot|O74934 Yarrowia lipolytica YALI0E32835g POX1 Fatty-acyl coenzyme A oxidase	1.3.3.6
YALI1_D10600g	YALI0D08272g1_1	Q9UVF3	720.6574866	645.268888	707.3801151	628.0693832	718.1670002	822.8074565	693.3583095	760.8190214	616.3076502	829.0063997	679.4214909	uniprot|Q9UVF3 Yarrowia lipolytica YALI0D08272g ACT1 Actin	
YALI1_C15832g	YALI0C11341g1_1	Q6CC94	797.2089363	865.256261	738.163034	1220.017836	781.64581	686.1890546	1001.722256	858.9277661	805.1416617	647.2232768	704.87253	"highly similar to uniprot|Q12230 Saccharomyces cerevisiae YPL004C LSP1 Primary component of eisosomes, which are large immobile patch structures at the cell cortex associated with endocytosis"	
YALI1_D33380g	YALI0D25168g1_1	Q6C7U9	587.9312419	588.1388132	546.6322512	593.236132	706.9737047	797.3204534	620.2698534	474.6968848	480.3722742	563.2387062	446.6926848	similar to uniprot|P06106 Saccharomyces cerevisiae YLR303w MET25 O-acetylhomoserine sulfhydrylase	
YALI1_D16029g	YALI0D12903g1_1	O59950	1045.444457	1198.916386	990.2481798	993.8219244	827.4740538	820.4262762	798.6588659	950.2979218	1082.850094	996.4434775	932.0113859	uniprot|O59950 Yarrowia lipolytica YALI0D12903g RPS4/RPS7 Ribosomal 40S subunit protein S4 (S7)	
YALI1_F27211g	YALI0F20504g1_1	Q6C0Z6	643.9612895	887.8804199	754.0444426	895.5755582	793.3236438	806.4215199	1144.031033	758.6394109	524.5274303	420.5125067	573.8935599	uniprot|Q6C0Z6 Yarrowia lipolytica YALI0F20504g CCP1 Mitochondrial cytochrome-c peroxidase	1.11.1.5
YALI1_E07744g	YALI0E06479g1_1	Q6C6T4	391.3117704	417.9727533	318.9405086	336.0886985	384.3011916	352.0968931	294.6018983	288.45597	298.2146585	316.9894406	337.2035643	uniprot|Q6C6T4 Yarrowia lipolytica YALI0E06479g TKL1 Transketolase 1	2.2.1.1
YALI1_D30618g	YALI0D23683g1_1	Q6C812	580.6825743	463.0738734	469.47269	484.6653267	497.1277944	579.2403295	526.5559457	587.1048796	521.1981516	539.1747537	533.8041405	uniprot|Q6C812 Yarrowia lipolytica YALI0D23683g LAT1 Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex	2.3.1.12
YALI1_E16255g	YALI0E13277g1_1	Q6C617	214.7421423	170.2665259	238.4691708	223.3964174	243.5059019	190.4074038	211.4995176	203.0424783	252.4935561	248.2261458	233.0507486	uniprot|Q6C617 Yarrowia lipolytica YALI0E13277g YEF3 Elongation factor 3 (EF-3)	
YALI1_B18499g	YALI0B13970g1_1	Q6CEQ0	425.2753319	530.1009614	437.6346564	437.3546125	359.6310454	362.5828139	328.0731126	359.792809	374.7270571	417.6361664	405.6091517	uniprot|Q6CEQ0 Yarrowia lipolytica YALI0B13970g GUT2 Glycerol-3-phosphate dehydrogenase mitochondrial	1.1.5.3
YALI1_F27556g	YALI0F20702g1_1	Q6C0Y7	614.7986931	656.6863609	613.8717221	564.8241538	502.4203681	547.6102779	596.6583846	532.6948494	518.7887604	563.3707188	564.1913805	uniprot|Q6C0Y7 Yarrowia lipolytica YALI0F20702g PDA1 Pyruvate Dehydrogenase Alpha subunit	1.2.4.1
YALI1_F20914g	YALI0F15587g1_1	Q6C1K2	698.6278755	746.2270209	660.7076737	831.8527607	671.8334086	654.0301125	712.8328504	477.5502733	658.1264316	508.0685614	529.9113447	highly similar to uniprot|P15019 Saccharomyces cerevisiae YLR354C (ohnolog of YGR043C) TAL1 transaldolase	2.2.1.2
YALI1_E41315g	YALI0E34793g1_1	Q6C3H5	327.3616584	304.5067472	298.5252986	313.6469443	230.0733938	253.1737567	246.0103394	362.5747659	393.0537428	406.3771733	445.0306329	uniprot|Q6C3H5 Yarrowia lipolytica YALI0E34793g ACL1 ATP citrate lyase	
YALI1_F07847g	YALI0F05214g1_1	Q6C2T9	923.2434445	744.8513198	722.3797678	820.7354824	984.542084	848.6312857	740.9227984	1001.12495	797.648422	869.2613264	1000.681634	uniprot|Q6C2T9 Yarrowia lipolytica YALI0F05214g TPI1 Triose-phosphate isomerase	5.3.1.1
YALI1_F11049g	YALI0F07711g1_1	Q6C2I1	363.0683988	433.2990892	408.5291552	330.1139127	284.2064771	359.1074589	318.2037808	354.9063993	342.5657088	334.4818479	340.6220473	highly similar to uniprot|P12709 Saccharomyces cerevisiae YBR196c PGI1 glucose-6-phosphate isomerase	5.3.1.9
YALI1_F32090g	YALI0F24739g1_1	Q6C0H1	771.8106881	1059.352336	775.373715	730.2788832	737.9014015	794.4184838	638.9741563	957.4166718	775.3234289	827.41877	789.9878275	highly similar to uniprot|P0CX46 Saccharomyces cerevisiae YIL018W (ohnolog of YFR031C-A) RPL5A 60S large subunit ribosomal protein L8.e	
YALI1_F19345g	YALI0F14509g1_1	Q6C1P6	189.8799516	151.4225647	180.058775	165.6723084	168.2191333	190.0583705	156.5759173	114.4604319	118.3327168	124.9475621	130.319283	some similarities with uniprot|Q05050 Saccharomyces cerevisiae YMR031C (ohnolog of YKL050C) EIS1 Component of the eisosome required for proper eisosome assembly	
YALI1_F12013g	YALI0F08613g1_1	Q6C2E3	421.3826453	589.5478848	482.5225694	464.0204474	457.0437207	499.2175904	447.279121	550.2827148	429.5329527	439.6913116	458.5944336	uniprot|Q6C2E3 Yarrowia lipolytica YALI0F08613g QCR2 Ubiquinol-cytochrome-c reductase chain II	
YALI1_B19844g	YALI0B15059g1_1	P34229	94.59715593	97.09582677	102.1183266	95.94795192	75.88474098	79.23689335	69.52717149	96.15529644	109.8956352	120.1758733	108.0976082	"uniprot|P34229 Yarrowia lipolytica YALI0B15059g FAS1 Fatty acid synthase subunit beta, putative"	2.3.1.86; 4.2.1.59; 1.3.1.9; 2.3.1.38; 2.3.1.39; 3.1.2.14
YALI1_E01589g	YALI0E01056g1_1	F2Z650	196.6233745	201.1336075	186.4534073	207.3576469	166.9522355	174.6151703	152.4529708	196.0320094	182.6649398	177.9330889	166.2639911	"uniprot|Q9HFV0 Yarrowia lipolytica YALI0E01056g C1- THFS C1-tetrahydrofolate synthase precursor, mitochondrial"	
YALI1_F38386g	YALI0F30745g1_1	Q6BZU8	18.38618109	0	12.81366375	15.79146895	14.60650323	25.10510406	22.97939952	29.54811467	20.55627443	12.22812071	21.42870886	similar to uniprot|Q9HFV0 Yarrowia lipolytica C1- THFS protein	
YALI1_E24201g	YALI0E20405g1_1	Q6C577	297.1535037	275.3903119	271.2564196	270.7242936	302.6669895	352.0416842	301.7859255	355.225568	332.2260855	332.050724	376.9379683	"uniprot|Q6C577 Yarrowia lipolytica YALI0E20405g AAL7 Acyl/aryl-CoA ligase, putative"	
YALI1_C09094g	YALI0C06820g1_1	Q6CCT0	526.1070456	643.5877552	463.1147845	519.8508841	469.9897749	489.240631	455.8821663	546.2792232	527.2841788	575.7067309	511.6143919	highly similar to uniprot|P49626 Saccharomyces cerevisiae YDR012W RPL4B (ohnolog of YBR031W) Protein component of the large (60S) ribosomal subunit	
YALI1_C09033g	YALI0C06776g1_1	Q6CCT2	420.3010904	550.4441855	335.204908	410.2689553	450.3828392	400.0801478	354.5095277	387.5255099	372.8416555	416.6995489	342.8014094	uniprot|Q6CCT2 Yarrowia lipolytica YALI0C06776g FUM1 Fumarate hydratase mitochondrial precursor (Fumarase)	
YALI1_B03198g	YALI0B02178g1_1	Q6CFZ7	439.827488	577.1023711	355.2987105	405.1820536	465.5797639	400.168693	333.9540598	384.0165373	461.1723829	450.7521416	395.9397693	uniprot|Q6CFZ7 Yarrowia lipolytica YALI0B02178g AAT2 Aspartate aminotransferase	2.6.1.1
YALI1_D03952g	YALI0D03135g1_1	Q6CAF8	509.4986784	821.566572	457.9878709	548.928622	496.9946351	389.8651595	495.547883	475.7328595	545.5321784	545.2442259	455.849272	uniprot|Q6CAF8 Yarrowia lipolytica YALI0D03135g ILV5 Acetohydroxyacid reductoisomerase	1.1.1.86
YALI1_F08431g	YALI0F05676g1_1	Q6C2R9	675.122359	687.835873	717.5839505	626.7290758	703.8649435	609.6233553	620.2698534	688.6339716	737.3833533	736.9941345	677.9715975	highly similar to uniprot|P23248 Saccharomyces cerevisiae YML063W (ohnolog of YLR441C) Ribosomal protein of the small (40S) subunit	
YALI1_B18572g	YALI0B14014g1_1	Q6CEP8	311.0366537	325.3420843	266.2801487	293.4675579	105.753313	109.1053599	90.48113932	471.3776381	340.5399419	470.3569156	528.3529475	uniprot|Q6CEP8 Yarrowia lipolytica YALI0B14014g FAO1 Fatty alkohol oxidase	
YALI1_F03803g	YALI0F02497g1_1	Q6C354	350.0465265	592.9262567	365.630372	385.2888941	341.2987174	457.3118032	402.846477	318.8435401	239.6426837	231.1287766	302.3964806	uniprot|Q6C354 Yarrowia lipolytica YALI0F02497g PDH1 2-methylcitrate dehydratase	4.2.1.79
YALI1_D22124g	YALI0D17864g1_1	Q6C8Q3	324.6931397	395.4586773	293.8006138	288.6423751	238.7568924	232.4299375	272.3414171	182.5490941	305.8697554	312.0468818	246.2807229	"uniprot|Q6C8Q3 Yarrowia lipolytica YALI0D17864g FAA1 Long chain fatty acyl-CoA synthetase, putative"	
YALI1_D32268g	YALI0D24431g1_1	Q6C7Y1	342.7561972	450.7723856	327.3367656	301.1829752	294.3109335	263.5496571	208.5973854	436.5841929	392.0597831	409.5499264	556.6850018	uniprot|Q6C7Y1 Yarrowia lipolytica YALI0D24431g ACL2 ATP citrate lyase	
YALI1_B19079g	YALI0B14509g1_1	Q6CEM5	504.5268926	320.740638	399.2849809	466.3588669	512.9995367	499.4052699	513.3174557	441.7548298	404.0309388	506.5556247	421.1785258	highly similar to uniprot|Q9P842 Candida albicans CaSAM2 S-adenosylmethionine synthetase 2	2.5.1.6
YALI1_D26360g	YALI0D20768g1_1	Q6C8C6	388.6945489	432.0520666	335.204908	359.28937	355.8938096	392.4132985	313.6257931	403.2764603	328.8448171	390.2575124	379.4856266	uniprot|Q6C8C6 Yarrowia lipolytica YALI0D20768g LPD1 Dihydrolipoamide dehydrogenase	1.8.1.4
YALI1_D08082g	YALI0D06303g1_1	Q6CA33	495.9724441	701.9042297	505.5256366	442.0956716	515.6302427	481.1608004	470.578275	462.4357851	422.9458328	422.722586	490.7011798	"uniprot|Q6CA33 Yarrowia lipolytica YALI0D06303g IDH2 Isocitrate dehydrogenase (NAD+) subunit 2 mitochondrial, putative"	
YALI1_C14450g	YALI0C10230g1_1	Q6CCD9	990.0417469	1136.140793	1389.397542	1145.987571	1059.994558	1438.00209	1232.26373	816.1223501	724.133568	560.6860177	641.4069365	highly similar to uniprot|P14832 Saccharomyces cerevisiae YDR155C CPR1 Cytoplasmic peptidyl-prolyl cis- trans isomerase (cyclophilin)	5.2.1.8
YALI1_A14736g	YALI0A14806g1_1	Q6CGY9	343.0566947	562.0994094	353.1713031	351.7341097	325.3405637	365.032574	347.655709	350.2986303	327.9546488	374.0749443	361.1749636	similar to uniprot|P11913 Neurospora crassa Mitochondrial processing peptidase beta subunit	
YALI1_F08845g	YALI0F05962g1_1	Q6C2Q5	258.1430581	365.0540852	274.378878	258.8687817	263.1910393	210.0161718	255.7125495	168.5139216	235.3887015	241.9043195	190.0936256	"uniprot|Q6C2Q5 Yarrowia lipolytica YALI0F05962g ACS2 Acetyl-coA synthetase, putative"	6.2.1.1
YALI1_B12993g	YALI0B09647g1_1	Q6CF74	256.03857	186.00094	283.7855816	187.6129847	350.8931048	381.6675593	273.0103036	303.1006079	263.3165632	263.1775748	306.3861909	"similar to uniprot|P07275 Saccharomyces cerevisiae YHR037W PUT2 Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial precursor"	
YALI1_E28033g	YALI0E23694g1_1	Q6C4U1	684.0568396	920.8867261	687.5922998	684.7942155	681.6928396	554.0375563	626.575032	681.9994681	638.4977749	818.5931442	646.8195618	some similarities with uniprot|P05750 Saccharomyces cerevisiae YNL178w RPS3 ribosomal protein S3	
YALI1_F15517g	YALI0F11759g1_1	Q6C211	344.9416451	275.0787965	383.4019407	343.3404707	317.5767694	411.2515321	312.7889181	475.2545138	307.4373918	385.4510264	442.8912073	highly similar to uniprot|P39954 Saccharomyces cerevisiae YER043c SAH1 S-adenosyl-L-homocysteine hydrolase catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S- adenosyl-L-methionine (AdoMet) to an acceptor regulates cellular lipid homoeostasis by regulating phosphatidylcholine synthesis and triacylglycerol levels	3.3.1.1
YALI1_E16202g	YALI0E13255g1_1	Q6C618	253.1412144	227.7185195	196.3475124	248.123548	263.6593981	273.3230788	197.7513274	252.379866	231.9857047	244.5998522	208.6721309	"uniprot|Q6C618 Yarrowia lipolytica YALI0E13255g SSE1 HSP70 protein, ATPase component of heat shock protein Hsp90 chaperone complex"	
YALI1_A16292g	YALI0A16379g1_1	Q6CGT5	242.7475442	307.2397066	284.2444719	261.5337008	297.8504868	377.4159046	392.2958483	152.9147304	121.8351349	134.1498551	127.005973	uniprot|Q6CGT5 Yarrowia lipolytica YALI0A16379g ADH3 Alcohol dehydrogenase II	
YALI1_E21128g	YALI0E17787g1_1	F2Z678	185.7335078	257.7857992	243.4981402	212.0699001	273.8579365	309.9833169	331.8332893	229.5107568	145.775471	207.5457464	177.7219345	uniprot|Q9UW07 Yarrowia lipolytica YALI0E17787g ADH2 Alcohol dehydrogenase II	1.1.1.1
YALI1_E09329g	YALI0E07766g1_1	Q6C6P0	148.7457613	72.43857099	133.4250542	122.7645624	0	43.5815695	58.5229641	79.07544436	114.4648979	114.404479	132.8020188	uniprot|Q6C6P0 Yarrowia lipolytica YALI0E07766g ADH5 Alcohol dehydrogenase I	
YALI1_C00739g	YALI0C00539g1_1	Q6CDH3	269.0956964	177.5089844	251.1898679	218.0829901	250.0152266	255.1674874	222.7815684	250.1276845	226.309014	232.9489041	242.9637974	weakly similar to uniprot|P04147 Saccharomyces cerevisiae YER165w PAB1 mRNA polyadenylate-binding protein	
YALI1_F16035g	YALI0F12155g1_1	Q6C1Z3	187.7848796	231.1761032	136.4116323	186.9132065	168.1420772	126.8069041	170.281061	144.5121695	167.3677111	209.8380279	202.1955739	highly similar to uniprot|P25694 Saccharomyces cerevisiae YDL126c	
YALI1_D32002g	YALI0D24299g1_1	Q6C7Y7	134.6723238	63.11813223	122.1647412	128.7330639	179.7581012	101.2141863	76.98129574	104.0160946	133.5888358	116.5822072	103.9700343	"similar to uniprot|P78954 Schizosaccharomyces pombe Eukaryotic translation initiation factor 4E-1, CDC33 homologue"	
