NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	OsmoticStress_A	OsmoticStress_B	OsmoticStress_C	Protein_name	ec_number
KMXK_0H00490	W0TIE1	KLMA_70051	7898.573788	13874.08136	19413.69761	23569.23352	16666.29644	4839.794584	27124.17065	22596.68578	9420.811533	17277.96296	23279.297	13385.47927	 Actin - ACT	
KMXK_0A03010	W0T3H5	KLMA_10540	59487.00135	62362.12462	64365.54438	83114.82071	68463.14717	44477.15294	72532.64929	59440.72209	58384.86913	68860.36144	45194.45805	58989.20787	 Phosphoglycerate kinase - PGK	2.7.2.3
KMXK_0B05960	W0T6K4	KLMA_20582	23671.76294	30321.49933	23977.21616	15552.42848	17517.18245	6541.231275	18313.77414	24454.85424	12287.73237	26546.89977	20440.13664	15256.58029	 Elongation factor 2 - EFT1	
KMXK_0D06570	W0TC93	KLMA_40624	23635.76822	78402.15245	58628.10755	89408.78448	63964.06326	62948.08131	68539.6824	70311.19908	58444.06999	63724.80775	89909.88628	79601.02172	 Alcohol dehydrogenase - adh	
KMXK_0G03550	W0TKF9	KLMA_80348	35621.31891	55571.62517	41019.04825	10969.70018	10067.15781	1955.699762	37962.39656	47646.41658	32117.73177	37492.97873	19669.35732	20703.75298	 5-methyltetrahydropteroyltriglutamate homocysteine methyltransferase - MET6	
KMXK_0F01580	W0TF55	KLMA_60412	14824.79252	70856.4038	6205.281559	9036.931841	19390.25721	3494.796731	77990.73294	122859.9164	65142.85608	3927.091759	3140.340027	10383.98394	 Phosphotransferase - RAG5	2.7.1.-
KMXK_0H01380	W0TG03	KLMA_70140	68860.21193	58977.30547	90848.35424	61093.43536	54497.49615	39524.6529	72586.68149	69202.34358	50131.60206	117555.9804	100935.2909	94079.29386	 ATP synthase subunit alpha - ATP1	
KMXK_0F03550	W0TDT2	KLMA_60219	21443.42513	24763.77294	22041.99476	7469.980787	10339.83651	10223.27817	28597.94731	32440.49338	13600.53439	24450.99785	43769.8635	32312.79774	 Pyruvate kinase - PYK1	2.7.1.40
KMXK_0A03800	W0T7K4	KLMA_10457	24033.95135	23862.163	19966.21812	12188.54011	7073.841127	4942.072914	42627.99897	18636.37795	15965.54878	22422.49519	31008.69066	17890.78302	 Plasma membrane ATPase - PMA1	3.6.3.6
KMXK_0C06020	W0T8F1	KLMA_30602	1300.553162	13489.00404	18634.87287	2525.438735	5220.70501	3578.400715	6076.866355	6199.089552	3287.596467	4553.809184	7886.018995	4485.189372	 Acetyl-coenzyme A synthetase - ACS1	6.2.1.1
KMXK_0E05360	W0TC09	KLMA_50533	159.5469262	168.445207	190.736562	57.82176485	111.2414083	48.94026808	97.59547203	115.5164656	75.3224582	132.6869505	161.4412826	75.29402948	 Acetyl-coenzyme A synthetase - ACS2	6.2.1.1
KMXK_0E04230	W0TDD2	KLMA_50419	673.7327026	3028.17156	4417.097522	5361.185876	29911.31694	38424.03714	6248.473008	19867.17797	1622.255625	8588.754653	13133.75904	9803.087268	 Catalase - CTT1	1.11.1.6
KMXK_0D05520	W0TAW0	KLMA_40526	1613.401082	2342.634026	4485.595911	782.8579051	1157.372797	789.9779836	2459.407232	2581.200799	1338.174111	1937.570056	3507.545132	2248.034513	 Fatty acid synthase subunit beta - FAS1	
KMXK_0B05900	W0T7K3	KLMA_20575	362.861928	315.0739988	655.1349172	477.0276031	524.9260815	469.6270149	473.3189535	517.0948239	618.912227	450.1256338	693.547047	626.2065341	" Isocitrate dehydrogenase [NAD] subunit, mitochondrial - IDH2"	
KMXK_0C01510	W0TBI1	KLMA_30149	20111.24851	19203.26983	24943.75582	7425.028551	2931.217099	813.6597822	12366.59642	7776.61777	16557.98063	9372.608174	8369.30876	10781.70667	 Isocitrate dehydrogenase [NADP] - IDP2	1.1.1.42
KMXK_0D04930	W0TEG4	KLMA_40470	379.7386006	183.0883811	150.3689977	126.6574839	32.90323134	18.85558074	57.51926465	69.31551313	21.83969324	140.6580645	348.0374096	232.4898651	 Isocitrate dehydrogenase [NADP] - IDP1	1.1.1.42
KMXK_0G03120	W0THR5	KLMA_80302	18995.59609	29644.15026	42332.84297	29530.94719	35987.58058	19083.49873	33827.48571	43524.62008	20512.31436	56703.26558	56465.58903	64866.15257	 Transketolase - TKL1	2.2.1.1
KMXK_0D04110	W0T9W3	KLMA_40388	59459.34517	54879.5168	27393.96944	48382.31183	25764.46145	20464.49599	39322.68559	59780.1988	24657.34581	45019.28976	62528.80388	59483.88616	 Fructose-bisphosphate aldolase - FBA1	
KMXK_0A01280	W0T8D4	KLMA_10712	24874.16731	23112.31592	30978.42779	40145.53484	36288.34487	20298.9676	15212.03911	20965.31252	8603.399495	35264.82618	29953.66799	19839.56083	 Heat shock protein SSC1 - SSC1	
KMXK_0F00380	W0TER0	KLMA_60529	10120.92403	15867.73819	9085.729094	5830.645618	6060.955463	4362.052578	13101.17838	18722.00746	7577.334108	21438.79753	31032.31983	22212.68135	 Acetyltransferase component of pyruvate dehydrogenase complex - LAT1	2.3.1.12
KMXK_0B02970	W0T5P3	KLMA_20282	7154.013493	9649.078148	8693.398788	29601.39361	25406.34875	15219.81772	4292.887162	6711.328795	2653.48629	11469.46406	9462.798888	10542.87284	 Heat shock protein 60 - HSP60	
KMXK_0E02480	W0TFM8	KLMA_50245	43051.25314	39519.2989	33908.96079	20207.45654	24465.02375	18337.52297	22212.99307	30401.06792	27619.40718	59880.34634	42900.56928	29148.59135	 60S ribosomal protein L4-B - RPL4B	
KMXK_0C02640	W0TBT2	KLMA_30264	17089.80223	17750.99671	12843.93976	4620.186214	5582.596401	1809.628402	9384.948582	15935.44474	10660.92899	13060.75609	17813.71639	14809.94943	 60S ribosomal protein L3 - RPL3	
KMXK_0F01480	W0TFW6	KLMA_60420	2843.469717	2739.949872	2951.692067	1851.80909	3005.556267	1529.258386	2668.938882	2674.998691	2769.391972	4494.990175	8569.805633	5277.58999	 Dihydrolipoyl dehydrogenase - LPD1	1.8.1.4
KMXK_0B02340	W0T6J0	KLMA_20220	6239.112385	35123.96193	64611.86961	10763.19736	17332.22281	16722.05151	22793.7328	20490.86771	20040.60206	27330.16301	46310.96373	32315.84343	 3-ketoacyl-CoA thiolase - POT1	
KMXK_0E03200	W0TFU0	KLMA_50315	8557.094123	25100.66274	25818.04934	59366.53192	53464.34844	36533.63223	24404.06303	41540.21699	17176.48486	50510.00866	31405.66064	49652.99021	 S-(hydroxymethyl)glutathione dehydrogenase - SFA1	1.1.1.284
KMXK_0B02720	W0T9E2	KLMA_20256	5505.458698	3269.813061	4201.026095	1461.60949	2146.514215	1898.686342	6180.129783	2914.008534	4130.00978	717.1094885	1338.029138	518.5031926	" Alpha-1,4 glucan phosphorylase - GPH1"	2.4.1.1
KMXK_0A03690	W0T3V9	KLMA_10468	7733.740186	8944.874165	6493.573398	3930.382395	3023.92191	2685.619585	12990.74994	12392.27357	5488.055183	7108.453125	16126.64533	10370.28777	" 6-phosphogluconate dehydrogenase, decarboxylating - GND1"	1.1.1.44
KMXK_0B05840	W0T883	KLMA_20568	33332.8665	21811.99835	19204.27533	21966.72825	21435.66043	10984.47562	21218.96469	25076.79916	22002.16719	31764.04183	28780.84446	21818.51699	" Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial - LSC1"	6.2.1.5
KMXK_0H02200	W0TEK0	KLMA_70219	492.4109651	837.6270594	1221.758198	182.7724387	240.4768419	248.2367057	718.6370519	915.8957911	312.9885285	598.4118882	1032.437068	516.198671	 Fatty acid synthase subunit alpha - FAS2	
KMXK_0C06330	W0TCV6	KLMA_30634	347.6930779	1722.241002	1579.767679	2135.630708	770.0826732	176.8425036	2203.238255	1101.895231	1171.093491	958.6903166	426.6298035	1462.616318	 Transaldolase - TAL1	2.2.1.2
KMXK_0D05050	W0TCH3	KLMA_40482	25642.23985	36906.0757	22398.24183	17228.16448	11963.21978	6022.916053	24013.18508	36714.93461	20436.92479	30851.78479	38531.28115	27205.70333	 40S ribosomal protein S4 - RPS4B	
KMXK_0H00850	W0TF05	KLMA_70087	3764.284456	3635.855131	6770.980034	11485.38015	4079.211294	3578.471486	5090.936428	3854.093211	5728.790704	4071.211114	207.0326917	2118.501941	 Superoxide dismutase [Cu-Zn] - SOD1	1.15.1.1
KMXK_0E05050	W0TCK6	KLMA_50501	11471.95228	30673.41496	39523.3045	72820.73073	52654.44668	35155.53277	34085.04968	30161.3279	23684.62558	38780.37101	10473.94086	29745.48416	 Peptidyl-prolyl cis-trans isomerase - CPR1	5.2.1.8
KMXK_0H03120	W0TFK1	KLMA_70312	250.0848978	3949.487969	10340.37222	581.5314659	612.4182049	367.1731401	2239.408879	3634.129989	1473.91991	5620.254489	12353.8667	12600.88518	 Long-chain-fatty-acid--CoA ligase 2 - FAA2	
KMXK_0F03040	W0TD46	KLMA_60271	5808.150508	9342.461129	7912.456731	7764.63936	6107.750227	3946.41565	8801.779211	10888.60964	1972.185025	19887.27031	28065.01067	20892.91301	 Probable trans-2-enoyl-CoA reductase - ETR1	
KMXK_0E01760	W0TFG0	KLMA_50170	10925.15084	6047.536026	4765.80817	2969.31544	3090.130785	1434.128251	3577.816704	5824.019569	7458.936891	6183.070909	5088.132789	2599.596307	 40S ribosomal protein S1 - RPS1	
KMXK_0C06930	W0T8N1	KLMA_30687	77851.11331	85551.50778	76475.61564	20341.54112	24235.23897	14322.4775	57487.47437	55926.29551	33562.43398	81677.84188	33183.89837	44533.37909	 Adenosylhomocysteinase - SAH1	3.3.1.1
KMXK_0B03340	W0T7J2	KLMA_20318	35444.43281	61921.25187	19611.93341	13380.57039	23848.19374	12727.01146	24227.14283	55159.29384	15138.68257	28801.46391	46710.77733	36827.29633	 60S ribosomal protein L20 - RPL20B	
KMXK_0E04750	W0TBV5	KLMA_50473	42126.61649	35258.39502	24897.55139	25759.87464	29606.27967	17475.57734	20765.23223	31878.03882	24279.12684	31022.79913	37126.45304	27779.78772	 60S ribosomal protein L2 - RPL2	
KMXK_0F00260	W0TDY2	KLMA_60541	7348.955244	4659.040363	7212.169892	5757.13131	5160.958955	4862.840634	5276.079512	6701.720257	4228.902281	6832.121176	10445.34875	8152.783829	 2-oxoglutarate dehydrogenase E1 component - KGD1	
KMXK_0F00940	W0TEH6	KLMA_60469	207.2841373	108.3339602	212.2649482	50.83254619	74.9016836	51.21250644	130.7604048	118.0350652	48.1046247	171.9919921	152.1413212	75.76386488	 Acetyl-CoA carboxylase - ACC1	
KMXK_0F04010	W0TEG9	KLMA_60167	1713.465185	1126.777895	1094.655588	944.768761	144.1542198	65.65180989	1320.376649	1028.069187	737.3251249	563.7349042	475.8632838	311.497419	 Malate dehydrogenase - MDH1	1.1.1.37
KMXK_0H03500	W0TEY4	KLMA_70354	665.0017089	6660.881203	6406.40781	2544.580502	2149.840601	1089.934657	4184.588007	7919.239445	1661.473244	6363.392225	6889.382488	7603.407441	" ADP,ATP carrier protein - AAC"	
KMXK_0A00550	W0T5T9	KLMA_10786	19185.81477	23721.3898	15638.37333	14474.69587	11725.05186	7073.95764	9610.261402	19285.47884	10135.02181	20645.98668	17023.23505	15246.6668	 40S ribosomal protein S6 - RPS6	
KMXK_0C00130	W0T942	KLMA_30011	1.203971066	339.6460376	381.3823921	1177.821388	90.76725692	45.43840123	233.5884737	229.8588223	196.7125441	2253.467163	2059.190462	2803.770319	 Beta-glucosidase - KLMA_30011	3.2.1.21
KMXK_0C01560	W0T8S6	KLMA_30153	4640.292859	3874.053363	3820.150588	2136.48815	1385.408801	846.3114868	2942.245402	3517.256012	2279.460697	5517.133659	4778.867018	2893.982806	 Elongation factor 3 - TEF3	
KMXK_0A05810	W0T527	KLMA_10279	2555.378314	3269.969591	3804.478413	2272.210354	955.5557566	499.2592072	3039.567362	3419.228653	2476.528096	2599.112755	4175.460597	3675.787165	 Rotenone-insensitive NADH-ubiquinone oxidoreductase - NDI1	
KMXK_0F05000	W0TEZ4	KLMA_60075	3348.667043	1648.89556	1115.307146	1491.911844	2129.317403	1172.258416	2182.153762	1236.35978	860.6064423	1085.370068	1490.653419	561.0765835	 Pyruvate decarboxylase - PDC1	
KMXK_0A01630	W0T8A1	KLMA_10677	501.8815979	581.6560192	271.7246209	320.6269995	107.7690612	43.64082135	296.8264736	312.2028623	520.0820663	172.811036	132.3899025	101.6975941	 Protein MET17 - MET17	
KMXK_0F01710	W0TDG7	KLMA_60401	671.8590981	4400.908673	5727.44732	4137.353852	4490.059188	1197.367049	3805.020765	4239.623317	949.1111429	6099.503591	7418.151812	6781.902571	 Catalase - CTA1	1.11.1.6
KMXK_0B07940	W0TAW4	KLMA_20781	205.4431587	4601.078771	7911.170348	3507.983171	1242.70122	1161.204972	4273.824309	4764.319949	2754.948501	2372.633095	3973.128309	1851.485916	 TrkA - YUC8	
KMXK_0A00300	W0T4W1	KLMA_10813	5482.6888	5029.103537	6392.343084	4679.360487	6300.271702	2516.848303	5356.732701	7288.141054	3825.241655	8504.30314	9128.55447	7074.641803	 Heat shock protein homolog SSE1 - SSE1	
KMXK_0C01210			7882.613731	7784.672697	10080.34387	4662.370077	6062.712703	4410.971979	5963.538943	7048.804311	8571.662886	7148.436186	13034.596	12381.56805	No description in DMKU3-1042- NA	
KMXK_0B02780	W0T7C7	KLMA_20263	525.8929402	5491.383547	10401.86164	1584.78272	3458.466453	1912.69395	1964.435249	2671.25522	963.0342088	5739.796366	7933.514306	7979.2961	 Acyl-coenzyme A oxidase - POX1	
KMXK_0A06750	W0T2L5	KLMA_10180	7106.890633	5672.524983	6004.553424	4207.907785	2306.738621	1056.863372	4874.313252	3367.829683	3971.3182	6240.07073	6137.370239	5812.322652	 Argininosuccinate synthase - ARG1	
KMXK_0G01720	W0TJY9	KLMA_80163	3038.072581	1663.486447	2294.659527	628.3232851	847.0142554	274.8519941	626.7627162	975.739862	479.629498	920.9474064	1148.233846	776.5417309	 Mitochondrial outer membrane protein porin 1 - POR1	
KMXK_0C02840	W0T9T6	KLMA_30286	29.77412943	8.233719386	14.67785931	43.6072494	0.981423338	NA	57.56760763	8.210509882	10.4088206	18.78783266	4.130684847	0.151085664	 Monothiol glutaredoxin-3 - GRX3	
KMXK_0E03090	W0TD39	KLMA_50304	502.041188	685.7743871	945.7630888	514.9469335	159.5455591	103.1537671	666.7624017	548.8376156	683.5936421	373.3621931	306.2696523	73.74288276	 Glutamate synthase [NADH] - GLT1	
KMXK_0E04920	W0TBW7	KLMA_50488	1907.008041	2422.829055	65.4244278	31830.31003	56745.24986	47674.41816	1814.570938	2330.291676	67.12712072	1082.491232	105644.6156	113769.7759	 Inositol-3-phosphate synthase - INO1	
KMXK_0H01460	W0TEC9	KLMA_70149	10771.7725	6279.048349	6285.290558	1645.326534	2846.41832	1619.45371	1901.405754	6011.320195	7412.758515	9355.38273	9627.079757	2348.284529	 60S ribosomal protein L32 - RPL32	
KMXK_0E03480	W0TD70	KLMA_50344	520.2630716	593.6462138	456.9361311	1547.236923	711.150979	389.1740825	549.1870719	648.5585856	2065.091369	919.3345286	1919.126996	881.8924391	 ATP-dependent molecular chaperone HSC82 - HSP82	
KMXK_0B07570	W0T6Z2	KLMA_20742	8208.786696	8049.754167	10482.80408	4929.704643	3364.573082	3145.753245	8687.906913	9670.451445	6408.342804	10246.66081	11738.72917	8512.283445	 40S ribosomal protein S3 - RPS3	
KMXK_0H03540	W0THB0	KLMA_70358	1656.104766	2695.588711	1870.245693	1878.988442	1223.07626	1072.240334	1200.525024	2612.183267	1087.624509	5464.741287	3436.861379	2599.737881	 60S ribosomal protein L19 - RPL19B	
KMXK_0G00370	W0TJM6	KLMA_80028	3513.679356	3322.659692	3571.071413	4077.230937	1835.370598	1294.787814	2182.59371	2297.626798	677.5306597	1992.720246	1980.965626	1754.136997	 Fumarate hydratase - FUM1	
KMXK_0H00360	W0TEW1	KLMA_70037	30237.39407	38551.23929	31579.05239	18589.411	33354.13539	28458.64164	24119.64459	40712.91775	13003.00448	53646.5838	39175.72727	39941.73515	 60S ribosomal protein L10 - RPL10	
KMXK_0E05560	W0TDR9	KLMA_50559	4927.423395	5772.752462	1991.866587	647.5501956	653.0479297	812.0124057	1907.011915	5580.486871	2684.836659	2876.49921	4672.805607	3214.06775	 Ubiquitin-40S ribosomal protein S27a - ubi3	
KMXK_0H00920	W0TFW4	KLMA_70095	18757.8648	8109.684104	11697.06207	4031.791951	3226.367677	1923.424139	8919.950921	5776.418332	6932.001857	5491.240311	7079.092436	4638.191498	 Cytochrome b-c1 complex subunit 1 - COR1	
KMXK_0F01020	W0TDM8	KLMA_60461	314.9177107	395.4860256	391.6660139	396.0831446	372.9472215	421.1637261	283.9032985	413.2535303	101.1573077	228.6740743	505.5925234	249.20159	 ATP-dependent 6-phosphofructokinase - PFK2	
KMXK_0A05230	W0T4J4	KLMA_10341	57.81542683	39.17418553	10.58203773	48.49637553	14.52479107	2.488338257	45.80773761	26.19470745	0.846292965	35.91886733	31.05808431	3.634662631	 ATP-dependent 6-phosphofructokinase - PFK1	
KMXK_0A05140	W0T3J8	KLMA_10348	13552.55069	12207.96726	8228.093804	11835.67571	10393.67148	5415.489252	13412.08207	11547.64804	10654.00888	10945.98062	4482.398233	7098.892563	 ATP-dependent RNA helicase eIF4A - TIF1	
KMXK_0A05270	W0T4J0	KLMA_10336	598.5282883	597.0781624	200.846793	233.5509979	256.1454503	191.1587154	683.8197337	785.1791666	205.5862934	532.9191603	536.3739022	342.7837901	" Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial - LSC2"	6.2.1.5
KMXK_0D03970	W0T9U9	KLMA_40373	66.54939149	1857.215541	963.0946716	1086.589497	7353.983697	1312.069079	1759.225497	4390.606418	279.8328899	2431.618501	3523.604718	2259.695801	 Uncharacterized protein - OM45	
KMXK_0A00760	W0T4R5	KLMA_10763	3227.708021	3920.349781	2447.630873	6033.106606	1434.982556	811.1958927	5276.895213	2501.525686	2857.020785	2943.510374	1360.404074	1894.277976	 Glucose-6-phosphate isomerase - RAG2	5.3.1.9
KMXK_0H00420	W0TE32	KLMA_70044	2098.581341	11439.48367	22267.78684	8315.548662	1286.037185	802.1874557	11795.20406	8193.601689	16143.40283	4410.796691	5523.558999	5032.388048	 Sorbitol dehydrogenase 1 - SOR1	
KMXK_0C05990	W0TCS3	KLMA_30599	436.041314	305.4359805	335.9160164	74.7400637	44.73311566	66.74576925	1994.299245	2342.509409	1657.916609	283.1710147	507.4133219	696.5541935	 Protein AIM2 - AIM2	
KMXK_0B06330	W0T633	KLMA_20619	148.8128986	301.6690504	3.877260701	3785.487348	16.50536506	NA	2707.749749	2919.679479	1266.448569	123.7717276	5.567087759	0.247379143	 Putative reductase 1 - YPR1	
KMXK_0C00180	W0T947	KLMA_30016	61.34219616	559.3995532	121.7053607	284.6816517	121.3644774	13.60308447	1011.68449	983.8530422	645.845865	833.0375337	19.27408097	110.7093847	 Putative reductase 1 - YPR1	
KMXK_0F02600	W0THK0	KLMA_60313	102911.8441	116651.4863	69299.26625	28272.06636	44686.70109	24085.36988	44521.1394	87011.68108	51656.90207	104566.992	98193.26545	80122.91165	 40S ribosomal protein S20 - KLMA_60313	
KMXK_0D05020	W0TBV3	KLMA_40479	1273.025649	1728.193311	865.7879227	1484.097332	690.7283235	112.1180429	1046.558572	1451.681252	235.7353788	982.9090171	1215.852782	1113.106548	 Cytochrome b-c1 complex subunit 2 - QCR2	
KMXK_0E02060	W0TFI4	KLMA_50200	7699.97322	12389.87889	5445.700854	7735.604574	8986.997604	2233.344408	9220.991098	9732.929635	6981.199147	11131.88701	10424.9295	8149.414369	 60S acidic ribosomal protein P0 - RPP0	
KMXK_0B02830	W0T7D4	KLMA_20268	2905.766276	5004.282933	3881.531479	1448.596615	1460.155232	1694.684372	3012.250266	6010.043608	1837.099014	4875.588277	9325.780016	7884.806254	 40S ribosomal protein S2 - RPS2	
KMXK_0C06300	W0TAV6	KLMA_30631	3304.768631	3280.489675	1673.307188	471.4853483	291.4792651	70.25150007	1536.986751	2350.125743	2579.164425	2517.170018	3154.971385	1978.19958	" Ketol-acid reductoisomerase, mitochondrial - ILV5"	1.1.1.86
KMXK_0D01320	W0TDD4	KLMA_40110	117.8674558	457.2322784	470.0533571	180.3594445	289.9617229	153.1147012	531.2872401	578.8932976	355.3116866	1201.243714	1384.492232	603.27115	" 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial - EHD3"	3.1.2.4
KMXK_0B03470	W0T5V9	KLMA_20332	64.89386826	435.5328352	286.5882016	72619.96474	518.0705646	304.1287721	106.6059571	90.71269157	23.5278966	7638.34069	677.3788443	683.4624381	 Bifunctional protein GAL10 - GAL10	
KMXK_0D04270	W0TEA5	KLMA_40405	16189.21999	12739.8868	6454.673689	2052.914218	2621.431739	1692.314296	7327.437631	8936.207119	7945.033447	6822.683267	6527.293307	4936.930495	 40S ribosomal protein S24 - RPS24B	
KMXK_0B01850	W0T5D1	KLMA_20172	413.5742594	1773.383559	1198.606638	857.7304822	1214.847427	561.0581813	1449.252788	3080.536056	761.1823392	3060.941704	4133.471048	3838.705695	 Pyruvate dehydrogenase E1 component subunit alpha - PDA1	1.2.4.1
KMXK_0E01660	W0TBQ4	KLMA_50161	132.0902623	215.2196952	982.8273124	310.4752909	498.481438	150.8508163	842.4903717	1257.232442	114.9659128	1952.161666	3239.04712	2811.149422	 Dihydroxyacetone kinase 1 - DAK1	
KMXK_0F04890	W0TE99	KLMA_60087	540.6140384	671.6580723	353.4097972	411.4534193	284.9066796	163.2127534	359.1911967	375.8294598	378.7646355	931.3343501	639.0179969	499.4870324	 C-1-tetrahydrofolate synthase - ADE3	
KMXK_0F05420	W0TE50	KLMA_60037	350.9492513	246.4321973	301.0780641	231.7671811	203.522618	116.6965823	319.8359342	223.3408698	137.544597	205.8688173	198.7275445	87.97373679	 Protein URA1 - URA2	
KMXK_0G01880	W0TK04	KLMA_80178	1.534263752	3.403488927	0.177292613	0.057151662	0.078786356	NA	0.753520963	1.868881832	1.394841855	3.847933007	1.327695055	1.407952778	 Carbamoyl-phosphate synthase arginine-specific large chain - CPA2	
KMXK_0A01390	W0T5K9	KLMA_10701	3723.01883	7937.606921	5668.643223	2081.607797	2006.024764	590.9294844	3089.919716	3477.854186	4083.634103	6997.29497	6987.898873	4582.034995	 60S ribosomal protein L13 - RPL13A	
KMXK_0E00250	W0TCB9	KLMA_50019	1405.164269	719.2247655	785.0810127	15.90938205	0.951204917	NA	1420.936061	682.9960804	2601.89585	1053.304788	1161.36656	845.8787872	 Glutamate dehydrogenase - GDH3	
KMXK_0D01490	W0TDE9	KLMA_40125	18228.83411	13887.35565	12115.01742	13801.87257	9579.813449	4337.526971	16666.99753	12687.17192	16023.12676	7095.610906	2739.854269	6558.29756	 Triosephosphate isomerase - TPI1	5.3.1.1
KMXK_0B03540	W0T5C1	KLMA_20339	859.3499324	2046.7681	1364.296541	674.6956159	685.5428819	4.607002692	733.7903521	1229.053954	887.7801944	1283.817727	1326.2062	666.4365385	 60S ribosomal protein L11 - RPL11	
KMXK_0C03590	W0T8A2	KLMA_30365	284.8712575	1857.966355	2854.469043	5171.345183	4859.472422	1498.05194	4459.232738	11803.50932	2613.039552	6072.27362	848.6922313	7725.945246	 Putative pyridoxal reductase - KLMA_30365	
