W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	standard_A	standard_B	standard_C	standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D	Protein_name	ec_number
YALI1_D20676g	Q6C8V3	YALI0D16753g1_1	61437.03977	40134.71384	51408.79916	64015.62389	59567.11936	65068.81545	56916.70469	77871.54105	69584.19368	59665.64498	52854.37603	uniprot|Q6C8V3 Yarrowia lipolytica YALI0D16753g MDH1 Mitochondrial malate dehydrogenase	1.1.1.37
YALI1_E03300g	Q6C793	YALI0E02684g1_1	20769.14102	13695.42776	17035.96421	22794.86475	34183.44156	31501.65279	31487.00394	28987.9217	20568.88425	17296.95193	18466.06945	"uniprot|Q6C793 Yarrowia lipolytica YALI0E02684g CIT2 Mitochondrial citrate synthase, putative"	2.3.3.5; 2.3.3.16
YALI1_E01019g	Q6C7I2	YALI0E00638g1_1	7494.507465	3700.333017	7168.985613	5606.181094	8230.38734	8366.657621	6268.783922	4902.253339	4422.213215	4255.913562	3608.067621	uniprot|Q6C7I2 Yarrowia lipolytica YALI0E00638g CIT1 Mitochondrial 2-methyl citrate synthase	
YALI1_F23664g	Q6C1A9	YALI0F17820g1_1	20706.76979	3418.815624	16795.25587	15279.49256	12118.35487	14726.68806	15199.41526	53226.88951	64215.9062	70287.13449	65504.25493	highly similar to uniprot|P39708 Saccharomyces cerevisiae YAL062W (ohnolog of YOR375C) GDH3 NADP- glutamate dehydrogenase	
YALI1_F12842g	P30614	YALI0F09185g1_1	23129.00139	8274.480216	17473.06958	20788.4222	23643.62068	22726.21492	18681.5046	26188.2148	26075.71386	28611.70512	25402.08201	uniprot|P30614 Yarrowia lipolytica YALI0F09185g PYK1 Pyruvate kinase	2.7.1.40
YALI1_C10555g	Q6CCN4	YALI0C07953g1_1	29263.70031	8480.380943	24805.68338	24805.9972	46562.79453	48082.05043	38326.34454	24894.03393	23482.36873	22730.19269	20564.69823	"highly similar to uniprot|P46598 Candida albicans CaHSC82, Heat shock protein 90 homolog"	
YALI1_F13373g	Q6C290	YALI0F09790g1_1	3291.426943	1148.705783	1398.034539	2299.604602	3011.868868	2368.904142	2000.170145	2121.533246	1708.019405	2067.005073	1783.096551	highly similar to uniprot|P05759 Saccharomyces cerevisiae YLR167w UBI3 ubiquitin/40S small subunit ribosomal protein	
YALI1_E30886g	Q6C4K5	YALI0E26004g1_1	58169.72362	32776.70816	43633.07194	48682.8726	46209.86372	51019.71453	36344.2588	49404.91477	35121.74067	45079.17152	43804.72674	similar to uniprot|P14540 Saccharomyces cerevisiae YKL060c FBA1 fructose-bisphosphate aldolase	
YALI1_A00406g	Q6CI99	YALI0A00352g1_1	18374.6807	4815.371433	13062.12989	15550.19576	17189.61482	16253.50237	13050.15264	17945.15637	15224.28281	17468.62393	16733.00516	uniprot|Q6CI99 Yarrowia lipolytica YALI0A00352g EFT1 Translation elongation factor eEF2	
YALI1_B20462g	Q6CEH4	YALI0B15598g1_1	38785.12752	21378.22777	32176.77828	33279.25023	41937.97615	39294.85847	40483.63417	17597.86489	20946.12915	23795.12765	18008.04124	highly similar to uniprot|P38720 Saccharomyces cerevisiae YHR183W (ohnolog of YGR256W) GND1 6- phosphogluconate dehydrogenase	1.1.1.44
YALI1_B10813g	Q6CFD2	YALI0B08184g1_1	30069.07358	14310.60387	24630.85405	27743.69101	31018.97648	27423.05405	25015.37453	26333.24197	24449.54225	29613.40531	21492.80814	"highly similar to uniprot|P08536 Saccharomyces cerevisiae YJR010w MET3, ATP sulfurylase"	2.7.7.4
YALI1_C33152g	Q6CAV2	YALI0C24101g1_1	10341.22173	3152.768176	9492.836386	9896.036168	10086.00791	10304.82271	8588.565585	7515.31171	7677.643484	8327.458032	6705.313334	uniprot|Q6CAV2 Yarrowia lipolytica YALI0C24101g PYC1 Pyruvate carboxylase	6.4.1.1
YALI1_D15424g	P29407	YALI0D12400g1_1	24646.29049	13399.53636	19429.41178	22562.71795	25290.32583	24007.66291	18101.40215	29183.06381	21549.06969	24463.03679	20955.50074	uniprot|P29407 Yarrowia lipolytica YALI0D12400g PGK1 Phosphoglycerate kinase	2.7.2.3
YALI1_E17214g			40924.62618	35537.8855	32799.80631	38529.05153	38894.07023	38621.68752	30360.77794	44494.5318	36952.17247	41908.64224	35926.89151	No description in CLIB122	
YALI1_F04045g	Q6C342	YALI0F02805g1_1	13145.16502	5528.994992	9643.196889	11850.67466	25405.34018	22834.89977	18138.52185	17138.39876	17435.49032	18127.65831	15489.35191	"highly similar to uniprot|P19882 Saccharomyces cerevisiae YLR259c HSP60 heat shock protein - chaperone, mitochondrial"	
YALI1_E39693g	Q6C3M8	YALI0E33517g1_1	10291.91104	2980.37314	9007.449425	7935.773223	11916.24619	12637.11044	10191.96701	7558.765025	4965.633574	6007.18541	6313.619809	uniprot|Q6C3M8 Yarrowia lipolytica YALI0E33517g KGD1 2-oxoglutarate dehydrogenase complex E1 component	
YALI1_F14495g	O74935	YALI0F10857g1_1	4161.980916	1007.954715	2455.210098	2740.399191	3587.704954	2647.103533	2292.522313	1247.172097	1853.326617	2313.507597	1057.721486	uniprot|O74935 Yarrowia lipolytica YALI0F10857g POX2 Fatty-acyl coenzyme A oxidase	1.3.3.6
YALI1_C32886g	F2Z630	YALI0C23859g1_1	443.2858516	39.00823602	421.9332469	308.6413654	684.1224853	637.0875806	460.1322571	12.17250456	71.72163856	23.53849557	16.32011824	uniprot|O74938 Yarrowia lipolytica YALI0C23859g POX5 (=ACO5) Fatty-acyl coenzyme A oxidase	
YALI1_E07899g	Q6C6T0	YALI0E06567g1_1	238.26028	1.133192747	115.9789857	108.1671924	1.140988511	NA	NA	221.9076539	347.0190731	416.5994924	199.4241964	uniprot|Q6C6T0 Yarrowia lipolytica YALI0E06567g POX6 Fatty-acyl coenzyme A oxidase	
YALI1_E32603g	F2Z627	YALI0E27654g1_1	98.7349863	15.05337776	84.59392534	73.3845471	12.94010758	8.001296822	7.005498626	139.9880518	190.3301701	205.1700671	164.741509	uniprot|O74937 Yarrowia lipolytica YALI0E27654g POX4 Fatty-acyl coenzyme A oxidase	
YALI1_D10600g	Q9UVF3	YALI0D08272g1_1	53770.8221	16050.08223	46648.55631	41245.66322	49566.44633	51238.39889	41248.20772	44767.01809	45522.81673	41622.81053	41276.04342	uniprot|Q9UVF3 Yarrowia lipolytica YALI0D08272g ACT1 Actin	
YALI1_C15832g	Q6CC94	YALI0C11341g1_1	23924.90817	13930.89731	20375.91325	49916.89504	25203.84014	20780.08326	40939.39245	23991.42385	21735.14465	17562.59713	17837.07424	"highly similar to uniprot|Q12230 Saccharomyces cerevisiae YPL004C LSP1 Primary component of eisosomes, which are large immobile patch structures at the cell cortex associated with endocytosis"	
YALI1_D33380g	Q6C7U9	YALI0D25168g1_1	30134.20148	11540.51387	20310.9231	26605.03106	38820.32736	37594.0342	27603.82236	21263.21661	19170.02633	25983.19006	17794.64823	similar to uniprot|P06106 Saccharomyces cerevisiae YLR303w MET25 O-acetylhomoserine sulfhydrylase	
YALI1_D16029g	O59950	YALI0D12903g1_1	25677.6778	12934.87395	27554.24316	24122.95714	27383.41648	29824.34549	22615.92933	33723.3838	25100.60046	27308.19444	27125.28062	uniprot|O59950 Yarrowia lipolytica YALI0D12903g RPS4/RPS7 Ribosomal 40S subunit protein S4 (S7)	
YALI1_F27211g	Q6C0Z6	YALI0F20504g1_1	14451.96405	5813.560064	12115.88245	20459.00992	18288.34012	19329.62444	23078.13428	15844.69152	11701.55059	8544.869177	9543.276819	uniprot|Q6C0Z6 Yarrowia lipolytica YALI0F20504g CCP1 Mitochondrial cytochrome-c peroxidase	1.11.1.5
YALI1_E07744g	Q6C6T4	YALI0E06479g1_1	23749.73026	11870.8355	17108.09784	18877.47619	24105.83782	21933.18323	16894.42846	15337.60579	14269.65418	14293.5096	13344.57634	uniprot|Q6C6T4 Yarrowia lipolytica YALI0E06479g TKL1 Transketolase 1	2.2.1.1
YALI1_D30618g	Q6C812	YALI0D23683g1_1	11153.52355	3713.550127	5999.409002	9776.026897	12200.94355	9429.972892	7562.970504	10846.58304	8767.327284	11019.76564	7857.005495	uniprot|Q6C812 Yarrowia lipolytica YALI0D23683g LAT1 Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex	2.3.1.12
YALI1_E16255g	Q6C617	YALI0E13277g1_1	10542.63924	1982.155333	8794.722407	8993.446234	10484.03095	9273.782582	9165.055806	8487.360898	10829.77675	12002.69034	9968.284928	uniprot|Q6C617 Yarrowia lipolytica YALI0E13277g YEF3 Elongation factor 3 (EF-3)	
YALI1_B18499g	Q6CEQ0	YALI0B13970g1_1	11443.81014	4155.894881	8204.3153	9664.962959	10270.38523	8663.728618	7352.118107	7353.069639	7784.626082	9322.973844	7702.31084	uniprot|Q6CEQ0 Yarrowia lipolytica YALI0B13970g GUT2 Glycerol-3-phosphate dehydrogenase mitochondrial	1.1.5.3
YALI1_F27556g	Q6C0Y7	YALI0F20702g1_1	14289.96631	5670.353633	11594.1883	12768.04944	15655.89497	14338.12343	10916.42552	11499.12927	10241.8995	12292.36433	10634.08988	uniprot|Q6C0Y7 Yarrowia lipolytica YALI0F20702g PDA1 Pyruvate Dehydrogenase Alpha subunit	1.2.4.1
YALI1_F20914g	Q6C1K2	YALI0F15587g1_1	40973.36017	19557.0729	32825.25309	49305.15304	42705.60563	36734.02298	36626.05036	31216.85419	27597.55525	23008.58174	22528.96211	highly similar to uniprot|P15019 Saccharomyces cerevisiae YLR354C (ohnolog of YGR043C) TAL1 transaldolase	2.2.1.2
YALI1_E41315g	Q6C3H5	YALI0E34793g1_1	9009.561704	2459.592497	7347.125704	7303.874697	6982.364119	6702.136283	5451.216893	13275.50984	11468.85341	12093.16842	12288.54791	uniprot|Q6C3H5 Yarrowia lipolytica YALI0E34793g ACL1 ATP citrate lyase	
YALI1_F07847g	Q6C2T9	YALI0F05214g1_1	21847.76154	10007.19512	13356.39605	16736.23579	21683.33039	22251.72908	16007.13402	21807.90031	17553.21852	16925.25514	17430.00811	uniprot|Q6C2T9 Yarrowia lipolytica YALI0F05214g TPI1 Triose-phosphate isomerase	5.3.1.1
YALI1_F11049g	Q6C2I1	YALI0F07711g1_1	13681.94009	3923.59275	10302.64669	9596.366252	11235.76012	13922.8183	11092.58172	11351.69217	7593.359022	10165.63044	9509.997986	highly similar to uniprot|P12709 Saccharomyces cerevisiae YBR196c PGI1 glucose-6-phosphate isomerase	5.3.1.9
YALI1_F32090g	Q6C0H1	YALI0F24739g1_1	43957.34801	23092.54502	33728.75475	33404.38172	46739.34325	49991.67423	33416.30721	66691.34921	34948.81929	41185.2663	44587.97914	highly similar to uniprot|P0CX46 Saccharomyces cerevisiae YIL018W (ohnolog of YFR031C-A) RPL5A 60S large subunit ribosomal protein L8.e	
YALI1_F19345g	Q6C1P6	YALI0F14509g1_1	6073.548172	527.9287747	4770.36532	4774.738724	4861.778687	5648.22701	4411.082881	2440.509845	1740.408791	2008.608162	2568.429947	some similarities with uniprot|Q05050 Saccharomyces cerevisiae YMR031C (ohnolog of YKL050C) EIS1 Component of the eisosome required for proper eisosome assembly	
YALI1_F12013g	Q6C2E3	YALI0F08613g1_1	10564.12047	5884.180976	7925.139962	8838.328991	13191.75622	12804.20756	10045.13611	10201.24372	8834.990699	9165.203268	8926.891419	uniprot|Q6C2E3 Yarrowia lipolytica YALI0F08613g QCR2 Ubiquinol-cytochrome-c reductase chain II	
YALI1_B19844g	P34229	YALI0B15059g1_1	2762.294866	404.5764778	2207.820075	2124.896776	2066.671238	2327.875611	1645.970275	2502.052185	2432.902306	2933.143675	2601.800836	"uniprot|P34229 Yarrowia lipolytica YALI0B15059g FAS1 Fatty acid synthase subunit beta, putative"	2.3.1.86; 4.2.1.59; 1.3.1.9; 2.3.1.38; 2.3.1.39; 3.1.2.14
YALI1_E01589g	F2Z650	YALI0E01056g1_1	6266.831377	2127.412928	5440.800136	5046.999663	4929.848071	4991.151143	3721.991262	4677.035389	3862.766496	4388.298071	4645.132348	"uniprot|Q9HFV0 Yarrowia lipolytica YALI0E01056g C1- THFS C1-tetrahydrofolate synthase precursor, mitochondrial"	
YALI1_F38386g	Q6BZU8	YALI0F30745g1_1	11.49376151	0.97234033	10.70817203	1.303502654	11.50286236	29.56311102	20.05758838	27.64082545	4.983486353	5.032870746	20.38409236	similar to uniprot|Q9HFV0 Yarrowia lipolytica C1- THFS protein	
YALI1_E24201g	Q6C577	YALI0E20405g1_1	11078.86751	6896.478517	15428.14758	17877.85397	23385.2179	22689.30206	19566.70943	14049.68718	19422.08685	21078.06034	25438.24502	"uniprot|Q6C577 Yarrowia lipolytica YALI0E20405g AAL7 Acyl/aryl-CoA ligase, putative"	
YALI1_C09094g	Q6CCT0	YALI0C06820g1_1	21660.25242	10394.28718	15871.32035	15300.05502	20118.94043	18880.97252	14498.0838	19290.79103	15791.35778	19348.29489	17179.07989	highly similar to uniprot|P49626 Saccharomyces cerevisiae YDR012W RPL4B (ohnolog of YBR031W) Protein component of the large (60S) ribosomal subunit	
YALI1_C09033g	Q6CCT2	YALI0C06776g1_1	11238.61613	4467.373172	9603.960844	10516.69151	14569.00304	14355.92183	10753.00391	12212.92339	8103.556732	9469.725561	9663.859403	uniprot|Q6CCT2 Yarrowia lipolytica YALI0C06776g FUM1 Fumarate hydratase mitochondrial precursor (Fumarase)	
YALI1_B03198g	Q6CFZ7	YALI0B02178g1_1	17801.15298	9878.795411	13420.83178	16735.10591	19264.48792	18082.14537	13898.11862	18020.89105	16936.89189	15338.85464	11364.80291	uniprot|Q6CFZ7 Yarrowia lipolytica YALI0B02178g AAT2 Aspartate aminotransferase	2.6.1.1
YALI1_D03952g	Q6CAF8	YALI0D03135g1_1	15356.98661	10222.41037	13105.18188	13778.4179	13042.60416	12278.39221	11464.18645	15451.35551	12757.70643	13946.5341	13289.16607	uniprot|Q6CAF8 Yarrowia lipolytica YALI0D03135g ILV5 Acetohydroxyacid reductoisomerase	1.1.1.86
YALI1_F08431g	Q6C2R9	YALI0F05676g1_1	27984.60174	9186.92777	26390.26717	22817.35302	26782.38022	27097.35154	24001.21523	33652.04895	25198.58346	26544.11944	25175.23905	highly similar to uniprot|P23248 Saccharomyces cerevisiae YML063W (ohnolog of YLR441C) Ribosomal protein of the small (40S) subunit	
YALI1_B18572g	Q6CEP8	YALI0B14014g1_1	6706.229068	2526.331648	4019.317713	6047.527583	2344.429504	2108.045555	1393.839805	12723.43904	10141.41177	11741.63593	12698.89696	uniprot|Q6CEP8 Yarrowia lipolytica YALI0B14014g FAO1 Fatty alkohol oxidase	
YALI1_F03803g	Q6C354	YALI0F02497g1_1	13618.68102	9994.901913	12739.53248	14925.11312	15581.59757	16279.17849	16577.7738	10492.74716	8956.143818	6954.366333	6799.095154	uniprot|Q6C354 Yarrowia lipolytica YALI0F02497g PDH1 2-methylcitrate dehydratase	4.2.1.79
YALI1_D22124g	Q6C8Q3	YALI0D17864g1_1	8813.594575	3004.479019	6194.032105	6896.499967	6574.217101	5876.817496	4856.004145	4322.031323	5579.105759	6189.923365	4506.089979	"uniprot|Q6C8Q3 Yarrowia lipolytica YALI0D17864g FAA1 Long chain fatty acyl-CoA synthetase, putative"	
YALI1_D32268g	Q6C7Y1	YALI0D24431g1_1	8898.278808	4856.197692	7829.592784	7291.313479	6937.363216	7060.646898	5654.091027	13475.56337	10212.31459	12361.39821	11896.60593	uniprot|Q6C7Y1 Yarrowia lipolytica YALI0D24431g ACL2 ATP citrate lyase	
YALI1_B19079g	Q6CEM5	YALI0B14509g1_1	30097.07774	9614.3848	20906.37002	23844.77548	31706.94221	34291.11685	26502.95415	27519.61283	19835.41479	25185.37987	24582.10121	highly similar to uniprot|Q9P842 Candida albicans CaSAM2 S-adenosylmethionine synthetase 2	2.5.1.6
YALI1_D26360g	Q6C8C6	YALI0D20768g1_1	10964.8214	4305.824472	8421.279248	9501.539183	10931.13549	11171.75242	9204.815035	9678.877832	8727.575536	10009.06263	8792.924941	uniprot|Q6C8C6 Yarrowia lipolytica YALI0D20768g LPD1 Dihydrolipoamide dehydrogenase	1.8.1.4
YALI1_D08082g	Q6CA33	YALI0D06303g1_1	14758.94394	5500.187944	10692.98617	11007.88229	14903.62745	14476.60001	10017.43999	11830.35367	10567.23977	10775.40269	9264.423183	"uniprot|Q6CA33 Yarrowia lipolytica YALI0D06303g IDH2 Isocitrate dehydrogenase (NAD+) subunit 2 mitochondrial, putative"	
YALI1_C14450g	Q6CCD9	YALI0C10230g1_1	25662.11996	15071.52508	19607.87696	21081.42156	30940.04983	32514.16937	23828.80518	16374.90268	12046.16974	10889.14504	11908.93294	highly similar to uniprot|P14832 Saccharomyces cerevisiae YDR155C CPR1 Cytoplasmic peptidyl-prolyl cis- trans isomerase (cyclophilin)	5.2.1.8
YALI1_A14736g	Q6CGY9	YALI0A14806g1_1	11166.91466	5107.050909	10521.21834	9759.156414	12965.02915	14259.78058	11070.7918	12783.65084	9220.522424	10037.22976	10564.74109	similar to uniprot|P11913 Neurospora crassa Mitochondrial processing peptidase beta subunit	
YALI1_F08845g	Q6C2Q5	YALI0F05962g1_1	6616.331314	1574.186272	4819.61042	6025.4784	7219.600827	6476.785016	5672.565153	3620.431848	4649.15884	5157.399373	3060.27105	"uniprot|Q6C2Q5 Yarrowia lipolytica YALI0F05962g ACS2 Acetyl-coA synthetase, putative"	6.2.1.1
YALI1_B12993g	Q6CF74	YALI0B09647g1_1	7456.454003	1111.682314	6987.306315	6067.283524	9789.036958	10603.45295	8505.67725	7009.211627	5539.554492	6649.570212	6650.069739	"similar to uniprot|P07275 Saccharomyces cerevisiae YHR037W PUT2 Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial precursor"	
YALI1_E28033g	Q6C4U1	YALI0E23694g1_1	14134.109	6762.850614	9492.112057	12409.92115	14747.58305	12374.1135	8129.951774	11438.83319	12858.07132	13267.1425	8764.689942	some similarities with uniprot|P05750 Saccharomyces cerevisiae YNL178w RPS3 ribosomal protein S3	
YALI1_F15517g	Q6C211	YALI0F11759g1_1	11464.8069	3969.42385	10340.56787	9334.727293	9796.986398	12061.58646	9059.431865	12642.17824	10071.25619	11598.96366	12853.26287	highly similar to uniprot|P39954 Saccharomyces cerevisiae YER043c SAH1 S-adenosyl-L-homocysteine hydrolase catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S- adenosyl-L-methionine (AdoMet) to an acceptor regulates cellular lipid homoeostasis by regulating phosphatidylcholine synthesis and triacylglycerol levels	3.3.1.1
YALI1_E16202g	Q6C618	YALI0E13255g1_1	6742.183371	1766.037718	4863.907287	5287.337816	9369.846964	8477.022049	6628.660545	5609.768465	4784.237484	5206.232861	4618.046497	"uniprot|Q6C618 Yarrowia lipolytica YALI0E13255g SSE1 HSP70 protein, ATPase component of heat shock protein Hsp90 chaperone complex"	
YALI1_A16292g	Q6CGT5	YALI0A16379g1_1	1275.805388	384.8039942	937.090559	977.1436351	2182.348925	2233.518774	2155.552137	216.4640948	187.6357365	123.3757175	191.6405885	uniprot|Q6CGT5 Yarrowia lipolytica YALI0A16379g ADH3 Alcohol dehydrogenase II	
YALI1_E21128g	F2Z678	YALI0E17787g1_1	783.7879894	317.3450617	504.152868	720.2444663	1123.925151	908.0780465	910.467414	823.889023	461.9161919	937.376784	566.7288103	uniprot|Q9UW07 Yarrowia lipolytica YALI0E17787g ADH2 Alcohol dehydrogenase II	1.1.1.1
YALI1_E09329g	Q6C6P0	YALI0E07766g1_1	515.0879287	44.0169025	510.068417	312.0557209	88.1978682	205.7854664	183.9258721	447.3976127	379.7879157	569.889595	626.7210901	uniprot|Q6C6P0 Yarrowia lipolytica YALI0E07766g ADH5 Alcohol dehydrogenase I	
YALI1_C00739g	Q6CDH3	YALI0C00539g1_1	6672.982605	908.8432434	5813.633916	4854.557094	6148.129273	7672.695168	5433.119812	7836.136682	4883.576795	5401.639756	6535.49937	weakly similar to uniprot|P04147 Saccharomyces cerevisiae YER165w PAB1 mRNA polyadenylate-binding protein	
YALI1_F16035g	Q6C1Z3	YALI0F12155g1_1	2405.99993	681.6624495	1762.18924	1817.579874	2728.13979	2393.759971	2138.114139	2583.276148	1824.578907	2380.936982	1927.045241	highly similar to uniprot|P25694 Saccharomyces cerevisiae YDL126c	
YALI1_D32002g	Q6C7Y7	YALI0D24299g1_1	395.7784186	3.332046864	446.5499092	422.7354078	390.8481636	480.0835942	398.5129866	278.8434876	334.2334934	423.9067403	366.073832	"similar to uniprot|P78954 Schizosaccharomyces pombe Eukaryotic translation initiation factor 4E-1, CDC33 homologue"	
YALI1_B26112g	Q6CDZ4	YALI0B19998g1_1	1849.825731	78.79330553	1603.350875	1538.206593	1232.342638	1627.98498	1506.183308	2758.166683	2796.188241	3088.535487	3075.627179	similar to uniprot|Q12680 Saccharomyces cerevisiae YDL171c GLT1 glutamate synthase (NAPDPH) (GOGAT	
YALI1_C29810g	Q6CB65	YALI0C21560g1_1	13564.53337	3040.483527	6655.496375	10904.35978	12787.18596	9503.859841	6706.794003	13739.94235	12193.80028	14458.96151	10980.95766	highly similar to uniprot|P14126 Saccharomyces cerevisiae YOR063w TCM1 60S large subunit ribosomal protein L3.e	
YALI1_B25427g	Q6CE16	YALI0B19382g1_1	2219.717286	157.7615713	1966.014049	2095.628405	1858.827214	2020.761439	1584.107705	2216.122449	2412.347937	2971.5462	2673.106767	"uniprot|Q6CE16 Yarrowia lipolytica YALI0B19382g FAS2 Fatty acid synthase subunit alpha, putative"	
