Sequence Name,Annotation GO Term
KMXK0B00140,amino acid catabolic process to alcohol via Ehrlich pathway
KMXK0D02430,amino acid catabolic process to alcohol via Ehrlich pathway
KMXK0E03200,amino acid catabolic process to alcohol via Ehrlich pathway
KMXK0G03150,amino acid catabolic process to alcohol via Ehrlich pathway
KMXK0G01830,amino acid export across plasma membrane
KMXK0G02410,amino acid transmembrane export from vacuole
KMXK0H01500,amino acid transmembrane export from vacuole
KMXK0H04230,amino acid transmembrane export from vacuole
KMXK0A03090,amino acid transmembrane transport
KMXK0A04670,amino acid transmembrane transport
KMXK0A04760,amino acid transmembrane transport
KMXK0A07470,amino acid transmembrane transport
KMXK0A07480,amino acid transmembrane transport
KMXK0A07810,amino acid transmembrane transport
KMXK0B03810,amino acid transmembrane transport
KMXK0C00190,amino acid transmembrane transport
KMXK0C00790,amino acid transmembrane transport
KMXK0C03460,amino acid transmembrane transport
KMXK0C05050,amino acid transmembrane transport
KMXK0D01460,amino acid transmembrane transport
KMXK0E00460,amino acid transmembrane transport
KMXK0E02350,amino acid transmembrane transport
KMXK0E05110,amino acid transmembrane transport
KMXK0E06320,amino acid transmembrane transport
KMXK0F03530,amino acid transmembrane transport
KMXK0F05010,amino acid transmembrane transport
KMXK0G00140,amino acid transmembrane transport
KMXK0G00150,amino acid transmembrane transport
KMXK0G00640,amino acid transmembrane transport
KMXK0G04200,amino acid transmembrane transport
KMXK0H02150,amino acid transmembrane transport
KMXK0H03800,amino acid transmembrane transport
KMXK0A07990,amino acid transport
KMXK0E00250,ammonia assimilation cycle
KMXK0E03090,ammonia assimilation cycle
KMXK0B07790,ammonium transmembrane transport
KMXK0H02870,ammonium transmembrane transport
KMXK0B00180,ammonium transport
KMXK0B01120,ammonium transport
KMXK0B06000,ammonium transport
KMXK0D06170,AMP salvage
KMXK0F01350,AMP salvage
KMXK0E01660,anaerobic glycerol catabolic process
KMXK0H03500,anaerobic respiration
KMXK0A05370,anaphase-promoting complex-dependent catabolic process
KMXK0B02390,anaphase-promoting complex-dependent catabolic process
KMXK0C07090,anaphase-promoting complex-dependent catabolic process
KMXK0D03720,anaphase-promoting complex-dependent catabolic process
KMXK0F04210,anaphase-promoting complex-dependent catabolic process
KMXK0F04360,anaphase-promoting complex-dependent catabolic process
KMXK0G03890,anaphase-promoting complex-dependent catabolic process
KMXK0B03560,anatomical structure development
KMXK0G04260,antimonite transport
KMXK0A07230,antisense RNA transcript catabolic process
KMXK0G00180,apoptotic DNA fragmentation
KMXK0G03500,apoptotic DNA fragmentation
KMXK0A03790,apoptotic process
KMXK0B02750,apoptotic process
KMXK0B03110,apoptotic process
KMXK0B08300,apoptotic process
KMXK0B08310,apoptotic process
KMXK0D05450,apoptotic process
KMXK0E00400,apoptotic process
KMXK0F03240,apoptotic process
KMXK0F04720,apoptotic process
KMXK0G00680,apoptotic process
KMXK0G01720,apoptotic process
KMXK0H01110,apoptotic process
KMXK0H03500,apoptotic process
KMXK0A01570,arabinose catabolic process
KMXK0B06330,arabinose catabolic process
KMXK0C00180,arabinose catabolic process
KMXK0G01850,arabinose catabolic process
KMXK0A06750,arginine biosynthetic process
KMXK0B06030,arginine biosynthetic process
KMXK0B08320,arginine biosynthetic process
KMXK0C01710,arginine biosynthetic process
KMXK0F02890,arginine biosynthetic process
KMXK0F03880,arginine biosynthetic process
KMXK0G01880,arginine biosynthetic process
KMXK0G03990,arginine biosynthetic process
KMXK0H01730,arginine biosynthetic process
KMXK0A04020,arginine biosynthetic process via ornithine
KMXK0E00300,arginine catabolic process to ornithine
KMXK0D03860,arginine metabolic process
KMXK0A07480,arginine transport
KMXK0E00720,arginine transport
KMXK0A04610,arginyl-tRNA aminoacylation
KMXK0C00890,arginyl-tRNA aminoacylation
KMXK0B04290,aromatic amino acid family biosynthetic process
KMXK0D01290,aromatic amino acid family biosynthetic process
KMXK0D01880,aromatic amino acid family biosynthetic process
KMXK0G01070,aromatic amino acid family biosynthetic process
KMXK0B02740,aromatic amino acid family biosynthetic process, prephenate pathway
KMXK0C06670,aromatic amino acid family catabolic process
KMXK0B06090,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
KMXK0F05000,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
KMXK0E01570,aromatic amino acid family metabolic process
KMXK0F01450,aromatic amino acid family metabolic process
KMXK0A06820,Arp2/3 complex-mediated actin nucleation
KMXK0C00510,Arp2/3 complex-mediated actin nucleation
KMXK0E02760,Arp2/3 complex-mediated actin nucleation
KMXK0F04120,Arp2/3 complex-mediated actin nucleation
KMXK0G04150,arsenite transport
KMXK0G04260,arsenite transport
KMXK0A04410,ascospore formation
KMXK0A04790,ascospore formation
KMXK0A04950,ascospore formation
KMXK0A05570,ascospore formation
KMXK0A06190,ascospore formation
KMXK0A07910,ascospore formation
KMXK0A08090,ascospore formation
KMXK0B01430,ascospore formation
KMXK0B03330,ascospore formation
KMXK0B04240,ascospore formation
KMXK0B04520,ascospore formation
KMXK0B04540,ascospore formation
KMXK0B05370,ascospore formation
KMXK0C01430,ascospore formation
KMXK0D00670,ascospore formation
KMXK0D00970,ascospore formation
KMXK0D02380,ascospore formation
KMXK0D04170,ascospore formation
KMXK0E01100,ascospore formation
KMXK0E02250,ascospore formation
KMXK0E02900,ascospore formation
KMXK0E05050,ascospore formation
KMXK0E05830,ascospore formation
KMXK0F01380,ascospore formation
KMXK0F03220,ascospore formation
KMXK0F05190,ascospore formation
KMXK0G00850,ascospore formation
KMXK0G01500,ascospore formation
KMXK0G02360,ascospore formation
KMXK0G03540,ascospore formation
KMXK0H03990,ascospore formation
KMXK0A00520,ascospore wall assembly
KMXK0A01840,ascospore wall assembly
KMXK0A05640,ascospore wall assembly
KMXK0A05650,ascospore wall assembly
KMXK0A06820,ascospore wall assembly
KMXK0A08080,ascospore wall assembly
KMXK0B02160,ascospore wall assembly
KMXK0B03830,ascospore wall assembly
KMXK0B04760,ascospore wall assembly
KMXK0C03110,ascospore wall assembly
KMXK0C03820,ascospore wall assembly
KMXK0D04210,ascospore wall assembly
KMXK0E02020,ascospore wall assembly
KMXK0E02360,ascospore wall assembly
KMXK0F00210,ascospore wall assembly
KMXK0F00450,ascospore wall assembly
KMXK0F00910,ascospore wall assembly
KMXK0F02740,ascospore wall assembly
KMXK0F04220,ascospore wall assembly
KMXK0G02070,ascospore wall assembly
KMXK0H00490,ascospore wall assembly
KMXK0H03280,ascospore wall assembly
KMXK0C01300,ascospore-type prospore assembly
KMXK0E01370,ascospore-type prospore assembly
KMXK0H02190,ascospore-type prospore assembly
KMXK0A07620,ascospore-type prospore membrane assembly
KMXK0D00310,ascospore-type prospore membrane assembly
KMXK0E02190,ascospore-type prospore membrane assembly
KMXK0G04110,ascospore-type prospore membrane assembly
KMXK0B06800,asparagine biosynthetic process
KMXK0B01660,asparagine biosynthetic process from oxaloacetate
KMXK0E03490,asparagine catabolic process
KMXK0A04010,asparaginyl-tRNA aminoacylation
KMXK0B01660,aspartate biosynthetic process
KMXK0D01000,aspartate biosynthetic process
KMXK0B02740,aspartate family amino acid biosynthetic process
KMXK0E05070,aspartate metabolic process
KMXK0H04040,aspartate transmembrane transport
KMXK0A01700,aspartyl-tRNA aminoacylation
KMXK0A00510,assembly of large subunit precursor of preribosome
KMXK0A02440,assembly of large subunit precursor of preribosome
KMXK0A04200,assembly of large subunit precursor of preribosome
KMXK0D05730,assembly of large subunit precursor of preribosome
KMXK0F02980,assembly of large subunit precursor of preribosome
KMXK0G00900,assembly of large subunit precursor of preribosome
KMXK0G01790,assembly of large subunit precursor of preribosome
KMXK0H04480,assembly of large subunit precursor of preribosome
KMXK0A03800,ATP biosynthetic process
KMXK0A01230,ATP hydrolysis coupled proton transport
KMXK0B00970,ATP hydrolysis coupled proton transport
KMXK0B04750,ATP hydrolysis coupled proton transport
KMXK0B04870,ATP hydrolysis coupled proton transport
KMXK0B07240,ATP hydrolysis coupled proton transport
KMXK0D04410,ATP hydrolysis coupled proton transport
KMXK0D04620,ATP hydrolysis coupled proton transport
KMXK0E01180,ATP hydrolysis coupled proton transport
KMXK0F00670,ATP hydrolysis coupled proton transport
KMXK0F01270,ATP hydrolysis coupled proton transport
KMXK0F03780,ATP hydrolysis coupled proton transport
KMXK0F03940,ATP hydrolysis coupled proton transport
KMXK0H01210,ATP hydrolysis coupled proton transport
KMXK0H01380,ATP hydrolysis coupled proton transport
KMXK0H02170,ATP hydrolysis coupled proton transport
KMXK0B07240,ATP metabolic process
KMXK0F00670,ATP metabolic process
KMXK0A00740,ATP synthesis coupled proton transport
KMXK0A06310,ATP synthesis coupled proton transport
KMXK0B06160,ATP synthesis coupled proton transport
KMXK0C01890,ATP synthesis coupled proton transport
KMXK0C03010,ATP synthesis coupled proton transport
KMXK0C04280,ATP synthesis coupled proton transport
KMXK0D05360,ATP synthesis coupled proton transport
KMXK0E01430,ATP synthesis coupled proton transport
KMXK0E02400,ATP synthesis coupled proton transport
KMXK0E03560,ATP synthesis coupled proton transport
KMXK0F01270,ATP synthesis coupled proton transport
KMXK0F04170,ATP synthesis coupled proton transport
KMXK0F04310,ATP synthesis coupled proton transport
KMXK0G00300,ATP synthesis coupled proton transport
KMXK0H01380,ATP synthesis coupled proton transport
KMXK0E02530,ATP transport
KMXK0H03010,ATP transport
KMXK0H03500,ATP transport
KMXK0A04850,ATP-dependent chromatin remodeling
KMXK0B01620,ATP-dependent chromatin remodeling
KMXK0B03870,ATP-dependent chromatin remodeling
KMXK0B05450,ATP-dependent chromatin remodeling
KMXK0C00800,ATP-dependent chromatin remodeling
KMXK0C06190,ATP-dependent chromatin remodeling
KMXK0D00430,ATP-dependent chromatin remodeling
KMXK0D01750,ATP-dependent chromatin remodeling
KMXK0F01160,ATP-dependent chromatin remodeling
KMXK0F02910,ATP-dependent chromatin remodeling
KMXK0G02750,ATP-dependent chromatin remodeling
KMXK0A03610,attachment of GPI anchor to protein
KMXK0B05100,attachment of GPI anchor to protein
KMXK0D01610,attachment of GPI anchor to protein
KMXK0D06300,attachment of GPI anchor to protein
KMXK0F04660,attachment of GPI anchor to protein
KMXK0C02020,attachment of spindle microtubules to kinetochore
KMXK0D05700,attachment of spindle microtubules to kinetochore
KMXK0G02700,attachment of spindle microtubules to kinetochore
KMXK0A01980,attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation
KMXK0A02140,autophagosome assembly
KMXK0A04880,autophagosome assembly
KMXK0A06070,autophagosome assembly
KMXK0B04850,autophagosome assembly
KMXK0C03140,autophagosome assembly
KMXK0C05480,autophagosome assembly
KMXK0D01540,autophagosome assembly
KMXK0E05370,autophagosome assembly
KMXK0F01090,autophagosome assembly
KMXK0G03540,autophagosome assembly
KMXK0G03760,autophagosome assembly
KMXK0H02370,autophagosome assembly
KMXK0A02360,autophagy
KMXK0A05480,autophagy
KMXK0A07500,autophagy
KMXK0A07620,autophagy
KMXK0A07990,autophagy
KMXK0B02850,autophagy
KMXK0B07310,autophagy
KMXK0C01300,autophagy
KMXK0C02490,autophagy
KMXK0D04960,autophagy
KMXK0D06410,autophagy
KMXK0D06470,autophagy
KMXK0E00530,autophagy
KMXK0E01900,autophagy
KMXK0E06110,autophagy
KMXK0H03360,autophagy
KMXK0A02140,autophagy of mitochondrion
KMXK0A06070,autophagy of mitochondrion
KMXK0B06620,autophagy of mitochondrion
KMXK0C02420,autophagy of mitochondrion
KMXK0C03140,autophagy of mitochondrion
KMXK0C04030,autophagy of mitochondrion
KMXK0D04550,autophagy of mitochondrion
KMXK0F01090,autophagy of mitochondrion
KMXK0F05620,autophagy of mitochondrion
KMXK0G01020,autophagy of mitochondrion
KMXK0G03760,autophagy of mitochondrion
KMXK0H01320,autophagy of mitochondrion
KMXK0H02370,autophagy of mitochondrion
KMXK0B02120,autophagy of nucleus
KMXK0E06280,autophagy of nucleus
KMXK0A02140,autophagy of peroxisome
KMXK0A04880,autophagy of peroxisome
KMXK0B03570,autophagy of peroxisome
KMXK0B04850,autophagy of peroxisome
KMXK0B07980,autophagy of peroxisome
KMXK0C01630,autophagy of peroxisome
KMXK0C03690,autophagy of peroxisome
KMXK0C06090,autophagy of peroxisome
KMXK0D01540,autophagy of peroxisome
KMXK0E04120,autophagy of peroxisome
KMXK0E05710,autophagy of peroxisome
KMXK0G02910,autophagy of peroxisome
KMXK0H01290,autophagy of peroxisome
KMXK0H02910,autophagy of peroxisome
KMXK0H03260,autophagy of peroxisome
KMXK0H03270,autophagy of peroxisome
KMXK0A02830,avoidance of host defenses
KMXK0A06190,axial cellular bud site selection
KMXK0B05000,axial cellular bud site selection
KMXK0C03830,axial cellular bud site selection
KMXK0E02240,axial cellular bud site selection
KMXK0E02910,axial cellular bud site selection
KMXK0E03730,axial cellular bud site selection
KMXK0E04590,axial cellular bud site selection
KMXK0F03740,axial cellular bud site selection
KMXK0H01080,axial cellular bud site selection
KMXK0D02670,azole transport
KMXK0D02690,azole transport
KMXK0A07490,barbed-end actin filament capping
KMXK0B01610,barbed-end actin filament capping
KMXK0B02330,barbed-end actin filament capping
KMXK0B02660,barbed-end actin filament capping
KMXK0B05410,barbed-end actin filament capping
KMXK0C00690,barbed-end actin filament capping
KMXK0G02990,barbed-end actin filament capping
KMXK0A04460,base-excision repair
KMXK0A05570,base-excision repair
KMXK0A07220,base-excision repair
KMXK0A07370,base-excision repair
KMXK0B00490,base-excision repair
KMXK0C01970,base-excision repair
KMXK0C05630,base-excision repair
KMXK0D06190,base-excision repair
KMXK0E03260,base-excision repair
KMXK0B00440,base-excision repair, AP site formation
KMXK0B03780,base-excision repair, AP site formation
KMXK0E01800,base-excision repair, AP site formation
KMXK0A06960,base-excision repair, base-free sugar-phosphate removal
KMXK0C05640,base-excision repair, base-free sugar-phosphate removal
KMXK0B06590,base-excision repair, gap-filling
KMXK0A01560,basic amino acid transmembrane export from vacuole
KMXK0A07470,basic amino acid transport
KMXK0B01640,basic amino acid transport
KMXK0G00860,basic amino acid transport
KMXK0H00120,basic amino acid transport
KMXK0B06880,beta-alanine biosynthetic process
KMXK0A03270,bile acid and bile salt transport
KMXK0G04190,bile acid and bile salt transport
KMXK0G04260,bile acid and bile salt transport
KMXK0A01620,bilirubin transport
KMXK0D02040,bilirubin transport
KMXK0B04410,biofilm formation
KMXK0B06540,biofilm formation
KMXK0C05820,biofilm formation
KMXK0D01390,biofilm formation
KMXK0E04130,biofilm formation
KMXK0G03820,biofilm formation
KMXK0H02550,biofilm formation
KMXK0A06370,biological regulation
KMXK0A06570,biological regulation
KMXK0A04360,biological_process
KMXK0A06020,biological_process
KMXK0B02030,biological_process
KMXK0B07310,biological_process
KMXK0C02240,biological_process
KMXK0D02800,biological_process
KMXK0E06110,biological_process
KMXK0F01750,biological_process
KMXK0F02560,biological_process
KMXK0F05570,biological_process
KMXK0G02820,biological_process
KMXK0G03650,biological_process
KMXK0H00220,biological_process
KMXK0H02850,biological_process
KMXK0H03360,biological_process
KMXK0B00540,biosynthetic process
KMXK0B04440,biosynthetic process
KMXK0D03650,biosynthetic process
KMXK0F01450,biosynthetic process
KMXK0H01940,biosynthetic process
KMXK0A05070,biotin biosynthetic process
KMXK0B08460,biotin biosynthetic process
KMXK0D01190,biotin biosynthetic process
KMXK0E06300,biotin biosynthetic process
KMXK0E06310,biotin biosynthetic process
KMXK0E06320,biotin biosynthetic process
KMXK0G02970,biotin biosynthetic process
KMXK0E02820,biotin transport
KMXK0C01120,bipolar cellular bud site selection
KMXK0C01300,bipolar cellular bud site selection
KMXK0C03820,bipolar cellular bud site selection
KMXK0E02090,bipolar cellular bud site selection
KMXK0E02240,bipolar cellular bud site selection
KMXK0E02910,bipolar cellular bud site selection
KMXK0E03730,bipolar cellular bud site selection
KMXK0E05570,bipolar cellular bud site selection
KMXK0F03740,bipolar cellular bud site selection
KMXK0A07580,borate transport
KMXK0A06580,box C/D snoRNA 3'-end processing
KMXK0G02040,box C/D snoRNA 3'-end processing
KMXK0F02920,box C/D snoRNA processing
KMXK0C04930,box C/D snoRNP assembly
KMXK0E03480,box C/D snoRNP assembly
