W29 Uniprot	Annotation GO ID	Annotation GO Term	Annotation GO Category
A0A1D8NDU7	GO:0006357	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NDU7	GO:0016592	mediator complex	Cellular Component
A0A1D8N8H0	GO:0000287	magnesium ion binding	Molecular Function
A0A1D8N8H0	GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity	Molecular Function
A0A1D8N8H0	GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity	Molecular Function
A0A1D8N8H0	GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	Molecular Function
A0A1D8N8H0	GO:0005835	fatty acid synthase complex	Cellular Component
A0A1D8N8H0	GO:0008897	holo-[acyl-carrier-protein] synthase activity	Molecular Function
A0A1D8N8H0	GO:0009405	pathogenesis	Biological Process
A0A1D8N8H0	GO:0042759	long-chain fatty acid biosynthetic process	Biological Process
A0A1D8N8H0	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8N7N0	GO:0000166	nucleotide binding	Molecular Function
A0A1D8N7N0	GO:0000828	inositol hexakisphosphate kinase activity	Molecular Function
A0A1D8N7N0	GO:0000829	inositol heptakisphosphate kinase activity	Molecular Function
A0A1D8N7N0	GO:0005829	cytosol	Cellular Component
A0A1D8N7N0	GO:0006020	inositol metabolic process	Biological Process
A0A1D8N7N0	GO:0016310	phosphorylation	Biological Process
A0A1D8N7N0	GO:0016311	dephosphorylation	Biological Process
A0A1D8N7N0	GO:0032888	regulation of mitotic spindle elongation	Biological Process
A0A1D8N7N0	GO:0032958	inositol phosphate biosynthetic process	Biological Process
A0A1D8N7N0	GO:0033857	diphosphoinositol-pentakisphosphate kinase activity	Molecular Function
A0A1D8N7N0	GO:0043167	ion binding	Molecular Function
A0A1D8N7N0	GO:0051516	regulation of bipolar cell growth	Biological Process
A0A1D8N7N0	GO:0051537	2 iron, 2 sulfur cluster binding	Molecular Function
A0A1D8N7N0	GO:0101011	inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate 1-diphosphatase activity	Molecular Function
A0A1D8N7N0	GO:0101012	inositol 1,5-bisdiphosphate 2,3,4,6-tetrakisphosphate 1-diphosphatase activity	Molecular Function
A0A1D8N7N0	GO:1901673	regulation of mitotic spindle assembly	Biological Process
A0A1D8NFJ7	GO:0006810	transport	Biological Process
A0A1D8NFJ7	GO:0035091	phosphatidylinositol binding	Molecular Function
A0A1D8NFJ7	GO:0044464	cell part	Cellular Component
A0A1D8NQE5	GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H	Molecular Function
A0A1D8NQE5	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NQE5	GO:0022900	electron transport chain	Biological Process
A0A1D8NG93	GO:0000329	fungal-type vacuole membrane	Cellular Component
A0A1D8NG93	GO:0005524	ATP binding	Molecular Function
A0A1D8NG93	GO:0005886	plasma membrane	Cellular Component
A0A1D8NG93	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NG93	GO:0042626	ATPase activity, coupled to transmembrane movement of substances	Molecular Function
A0A1D8NG93	GO:0055085	transmembrane transport	Biological Process
A0A1H6PPB2	GO:0000171	ribonuclease MRP activity	Molecular Function
A0A1H6PPB2	GO:0000172	ribonuclease MRP complex	Cellular Component
A0A1H6PPB2	GO:0001682	tRNA 5'-leader removal	Biological Process
A0A1H6PPB2	GO:0004526	ribonuclease P activity	Molecular Function
A0A1H6PPB2	GO:0005655	nucleolar ribonuclease P complex	Cellular Component
A0A1H6PPB2	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	Biological Process
A0A1H6PQH8	GO:0003713	transcription coactivator activity	Molecular Function
A0A1H6PQH8	GO:0006357	regulation of transcription by RNA polymerase II	Biological Process
A0A1H6PQH8	GO:0016592	mediator complex	Cellular Component
A0A1H6PQH8	GO:1903508	positive regulation of nucleic acid-templated transcription	Biological Process
A0A1H6PHA1	GO:0000209	protein polyubiquitination	Biological Process
A0A1H6PHA1	GO:0000837	Doa10p ubiquitin ligase complex	Cellular Component
A0A1H6PHA1	GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	Cellular Component
A0A1H6PHA1	GO:0005524	ATP binding	Molecular Function
A0A1H6PHA1	GO:0006333	chromatin assembly or disassembly	Biological Process
A0A1H6PHA1	GO:0010620	negative regulation of transcription by transcription factor catabolism	Biological Process
A0A1H6PHA1	GO:0030433	ubiquitin-dependent ERAD pathway	Biological Process
A0A1H6PHA1	GO:0030466	chromatin silencing at silent mating-type cassette	Biological Process
A0A1H6PHA1	GO:0031505	fungal-type cell wall organization	Biological Process
A0A1H6PHA1	GO:0031625	ubiquitin protein ligase binding	Molecular Function
A0A1H6PHA1	GO:0061630	ubiquitin protein ligase activity	Molecular Function
A0A1H6PHA1	GO:0061631	ubiquitin conjugating enzyme activity	Molecular Function
A0A1D8NGE4			
A0A1D8NF59	GO:0004721	phosphoprotein phosphatase activity	Molecular Function
A0A1D8NF59	GO:0005737	cytoplasm	Cellular Component
A0A1D8NF59	GO:0005975	carbohydrate metabolic process	Biological Process
A0A1D8NF59	GO:0016020	membrane	Cellular Component
A0A1D8NF59	GO:0016126	sterol biosynthetic process	Biological Process
A0A1D8NF59	GO:0016906	sterol 3-beta-glucosyltransferase activity	Molecular Function
A0A1D8NF59	GO:0030259	lipid glycosylation	Biological Process
A0A1D8NF59	GO:0043231	intracellular membrane-bounded organelle	Cellular Component
A0A1D8NF59	GO:0102202	soladodine glucosyltransferase activity	Molecular Function
A0A1D8NF59	GO:0102203	brassicasterol glucosyltransferase activity	Molecular Function
A0A1D8NF59	GO:0102205	cholesterol allpha-glucosyltransferase activity	Molecular Function
A0A1D8NLZ9	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	Molecular Function
A0A1D8NLZ9	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8NG94	GO:0000149	SNARE binding	Molecular Function
A0A1D8NG94	GO:0005484	SNAP receptor activity	Molecular Function
A0A1D8NG94	GO:0005768	endosome	Cellular Component
A0A1D8NG94	GO:0006886	intracellular protein transport	Biological Process
A0A1D8NG94	GO:0006887	exocytosis	Biological Process
A0A1D8NG94	GO:0006906	vesicle fusion	Biological Process
A0A1D8NG94	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NG94	GO:0031201	SNARE complex	Cellular Component
A0A1D8NG94	GO:0032120	ascospore-type prospore membrane assembly	Biological Process
A0A1D8NG94	GO:0032153	cell division site	Cellular Component
A0A1D8NG94	GO:0044853	plasma membrane raft	Cellular Component
A0A1D8NG94	GO:0048278	vesicle docking	Biological Process
A0A1D8NG94	GO:0051286	cell tip	Cellular Component
A0A1D8NG94	GO:0070056	prospore membrane leading edge	Cellular Component
A0A1D8NG94	GO:0070057	prospore membrane spindle pole body attachment site	Cellular Component
A0A1D8NG94	GO:0099097	prospore membrane biogenesis	Biological Process
A0A1H6Q184	GO:0008565	protein transporter activity	Molecular Function
A0A1H6Q184	GO:0042719	mitochondrial intermembrane space protein transporter complex	Cellular Component
A0A1H6Q184	GO:0042721	TIM22 mitochondrial import inner membrane insertion complex	Cellular Component
A0A1H6Q184	GO:0045039	protein import into mitochondrial inner membrane	Biological Process
A0A1H6Q184	GO:0046872	metal ion binding	Molecular Function
A0A1H6Q184	GO:0051082	unfolded protein binding	Molecular Function
A0A1H6Q184	GO:0072321	chaperone-mediated protein transport	Biological Process
A0A1D8NB85	GO:0000993	RNA polymerase II complex binding	Molecular Function
A0A1D8NB85	GO:0003729	mRNA binding	Molecular Function
A0A1D8NB85	GO:0005737	cytoplasm	Cellular Component
A0A1D8NB85	GO:0005849	mRNA cleavage factor complex	Cellular Component
A0A1D8NB85	GO:0006369	termination of RNA polymerase II transcription	Biological Process
A0A1D8NB85	GO:0006378	mRNA polyadenylation	Biological Process
A0A1D8NB85	GO:0006379	mRNA cleavage	Biological Process
A0A1H6PYL6	GO:0005634	nucleus	Cellular Component
A0A1H6PYL6	GO:0005737	cytoplasm	Cellular Component
A0A1H6PYL6	GO:0030071	regulation of mitotic metaphase/anaphase transition	Biological Process
A0A1H6PYL6	GO:0042149	cellular response to glucose starvation	Biological Process
A0A1D8NM65			
A0A1H6PZZ9	GO:0000166	nucleotide binding	Molecular Function
A0A1H6PZZ9	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	Biological Process
A0A1H6PZZ9	GO:0000932	P-body	Cellular Component
A0A1H6PZZ9	GO:0001172	transcription, RNA-templated	Biological Process
A0A1H6PZZ9	GO:0003697	single-stranded DNA binding	Molecular Function
A0A1H6PZZ9	GO:0003727	single-stranded RNA binding	Molecular Function
A0A1H6PZZ9	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	Molecular Function
A0A1H6PZZ9	GO:0003968	RNA-directed 5'-3' RNA polymerase activity	Molecular Function
A0A1H6PZZ9	GO:0005665	RNA polymerase II, core complex	Cellular Component
A0A1H6PZZ9	GO:0006367	transcription initiation from RNA polymerase II promoter	Biological Process
A0A1H6PZZ9	GO:0031369	translation initiation factor binding	Molecular Function
A0A1H6PZZ9	GO:0031990	mRNA export from nucleus in response to heat stress	Biological Process
A0A1H6PZZ9	GO:0034402	recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex	Biological Process
A0A1H6PZZ9	GO:0045948	positive regulation of translational initiation	Biological Process
A0A1H6Q6E6	GO:0005524	ATP binding	Molecular Function
A0A1H6Q6E6	GO:0016740	transferase activity	Molecular Function
A0A1H6Q6E6	GO:0016874	ligase activity	Molecular Function
A0A1D8NBJ4	GO:0003677	DNA binding	Molecular Function
A0A1D8NBJ4	GO:0003700	DNA-binding transcription factor activity	Molecular Function
A0A1D8NBJ4	GO:0006355	regulation of transcription, DNA-templated	Biological Process
A0A1D8NN58	GO:0005506	iron ion binding	Molecular Function
A0A1D8NN58	GO:0005789	endoplasmic reticulum membrane	Cellular Component
A0A1D8NN58	GO:0006633	fatty acid biosynthetic process	Biological Process
A0A1D8NN58	GO:0006675	mannosyl-inositol phosphorylceramide metabolic process	Biological Process
A0A1D8NN58	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NN58	GO:0020037	heme binding	Molecular Function
A0A1D8NN58	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8NN58	GO:0080132	fatty acid alpha-hydroxylase activity	Molecular Function
A0A1D8NK83	GO:0000122	negative regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NK83	GO:0000790	nuclear chromatin	Cellular Component
A0A1D8NK83	GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8NK83	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	Molecular Function
A0A1D8NK83	GO:0001080	nitrogen catabolite activation of transcription from RNA polymerase II promoter	Biological Process
A0A1D8NK83	GO:0005667	transcription factor complex	Cellular Component
A0A1D8NK83	GO:0045944	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NK83	GO:1903833	positive regulation of cellular response to amino acid starvation	Biological Process
A0A1H6PS65	GO:0004029	aldehyde dehydrogenase (NAD) activity	Molecular Function
A0A1H6PS65	GO:0005739	mitochondrion	Cellular Component
A0A1H6PS65	GO:0016999	antibiotic metabolic process	Biological Process
A0A1H6PS65	GO:0032787	monocarboxylic acid metabolic process	Biological Process
A0A1H6PS65	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8N616	GO:1903259	exon-exon junction complex disassembly	Biological Process
A0A1D8NIK3	GO:0000217	DNA secondary structure binding	Molecular Function
A0A1D8NIK3	GO:0000780	condensed nuclear chromosome, centromeric region	Cellular Component
A0A1D8NIK3	GO:0003680	AT DNA binding	Molecular Function
A0A1D8NIK3	GO:0003682	chromatin binding	Molecular Function
A0A1D8NIK3	GO:0005524	ATP binding	Molecular Function
A0A1D8NIK3	GO:0006302	double-strand break repair	Biological Process
A0A1D8NIK3	GO:0034990	nuclear mitotic cohesin complex	Cellular Component
A0A1D8NIK3	GO:0042802	identical protein binding	Molecular Function
A0A1D8NIK3	GO:0046982	protein heterodimerization activity	Molecular Function
A0A1D8NIK3	GO:0061775	cohesin ATPase activity	Molecular Function
A0A1D8NIK3	GO:0061776	topological DNA entrapment activity	Molecular Function
A0A1D8NIK3	GO:0062022	mitotic cohesin ssDNA (lagging strand) loading	Biological Process
A0A1H6PLQ9	GO:0004806	triglyceride lipase activity	Molecular Function
A0A1H6PLQ9	GO:0016021	integral component of membrane	Cellular Component
A0A1H6PLQ9	GO:0016042	lipid catabolic process	Biological Process
A0A1D8N7B7	GO:0004622	lysophospholipase activity	Molecular Function
A0A1D8N7B7	GO:0005789	endoplasmic reticulum membrane	Cellular Component
A0A1D8N7B7	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N7B7	GO:0034638	phosphatidylcholine catabolic process	Biological Process
A0A1D8N7B7	GO:0071071	regulation of phospholipid biosynthetic process	Biological Process
A0A1D8N8A7	GO:0000122	negative regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N8A7	GO:0003712	transcription coregulator activity	Molecular Function
A0A1D8N8A7	GO:0016592	mediator complex	Cellular Component
A0A1D8N8A7	GO:0045944	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N8A7	GO:0070847	core mediator complex	Cellular Component
A0A1D8NDN7	GO:0006897	endocytosis	Biological Process
A0A1D8NDN7	GO:0006914	autophagy	Biological Process
A0A1D8NDN7	GO:0010008	endosome membrane	Cellular Component
A0A1D8NDN7	GO:0015031	protein transport	Biological Process
A0A1D8NDN7	GO:0016050	vesicle organization	Biological Process
A0A1D8NDN7	GO:0019898	extrinsic component of membrane	Cellular Component
A0A1D8NDN7	GO:0035091	phosphatidylinositol binding	Molecular Function
A0A1D8N826	GO:0000786	nucleosome	Cellular Component
A0A1D8N826	GO:0003677	DNA binding	Molecular Function
A0A1D8N826	GO:0005634	nucleus	Cellular Component
A0A1D8N826	GO:0006334	nucleosome assembly	Biological Process
A0A1D8N5H6	GO:0004029	aldehyde dehydrogenase (NAD) activity	Molecular Function
A0A1D8N5H6	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8N9B8	GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity	Molecular Function
A0A1D8N9B8	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N9B8	GO:0055114	oxidation-reduction process	Biological Process
A0A1H6Q030	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	Cellular Component
A0A1H6Q030	GO:0015786	UDP-glucose transmembrane transport	Biological Process
A0A1H6Q030	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N8K0	GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	Molecular Function
A0A1D8N8K0	GO:0009073	aromatic amino acid family biosynthetic process	Biological Process
A0A1D8N8K0	GO:0009423	chorismate biosynthetic process	Biological Process
A0A1H6PZL8	GO:0005737	cytoplasm	Cellular Component
A0A1H6PZL8	GO:0047617	acyl-CoA hydrolase activity	Molecular Function
A0A1D8NA98	GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	Molecular Function
A0A1D8NA98	GO:0006631	fatty acid metabolic process	Biological Process
A0A1D8NA98	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8NA98	GO:0070403	NAD+ binding	Molecular Function
A0A1D8N553	GO:0004767	sphingomyelin phosphodiesterase activity	Molecular Function
A0A1D8N553	GO:0006685	sphingomyelin catabolic process	Biological Process
A0A1D8N553	GO:0016798	hydrolase activity, acting on glycosyl bonds	Molecular Function
A0A1D8N553	GO:0046872	metal ion binding	Molecular Function
A0A1H6PW89	GO:0005789	endoplasmic reticulum membrane	Cellular Component
A0A1H6PW89	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N675	GO:0000165	MAPK cascade	Biological Process
A0A1D8N675	GO:0004707	MAP kinase activity	Molecular Function
A0A1D8N675	GO:0005524	ATP binding	Molecular Function
A0A1D8N675	GO:0005634	nucleus	Cellular Component
A0A1D8N675	GO:0005737	cytoplasm	Cellular Component
A0A1D8N675	GO:0051091	positive regulation of DNA-binding transcription factor activity	Biological Process
A0A1D8N675	GO:0071470	cellular response to osmotic stress	Biological Process
A0A1H6QBU2	GO:0046872	metal ion binding	Molecular Function
A0A1H6PSE9	GO:0004409	homoaconitate hydratase activity	Molecular Function
A0A1H6PSE9	GO:0005739	mitochondrion	Cellular Component
A0A1H6PSE9	GO:0019878	lysine biosynthetic process via aminoadipic acid	Biological Process
A0A1H6PSE9	GO:0046872	metal ion binding	Molecular Function
A0A1H6PSE9	GO:0051539	4 iron, 4 sulfur cluster binding	Molecular Function
A0A1D8NF51	GO:0001401	mitochondrial sorting and assembly machinery complex	Cellular Component
A0A1D8NEM7			
A0A1D8N5I5	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NKU6			
A0A1D8NA35			
A0A1D8NQS2	GO:0006629	lipid metabolic process	Biological Process
A0A1D8NQS2	GO:0016787	hydrolase activity	Molecular Function
A0A1D8NK47	GO:0005634	nucleus	Cellular Component
A0A1D8NK47	GO:0006366	transcription by RNA polymerase II	Biological Process
A0A1H6PXS4	GO:0003677	DNA binding	Molecular Function
A0A1D8N421			
A0A1D8NQN9	GO:0005780	extrinsic component of intraperoxisomal membrane	Cellular Component
A0A1D8NQN9	GO:0045033	peroxisome inheritance	Biological Process
A0A1D8N8J5			
A0A1D8N4N5	GO:0004190	aspartic-type endopeptidase activity	Molecular Function
A0A1D8N4N5	GO:0006508	proteolysis	Biological Process
A0A1D8NQS3	GO:0005085	guanyl-nucleotide exchange factor activity	Molecular Function
A0A1D8NQS3	GO:0005096	GTPase activator activity	Molecular Function
A0A1D8NQS3	GO:0005737	cytoplasm	Cellular Component
A0A1D8NQS3	GO:0007264	small GTPase mediated signal transduction	Biological Process
A0A1D8NQS3	GO:0043547	positive regulation of GTPase activity	Biological Process
A0A1D8NAH5	GO:0005794	Golgi apparatus	Cellular Component
A0A1D8NAH5	GO:0005886	plasma membrane	Cellular Component
A0A1D8NAH5	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NAH5	GO:0044237	cellular metabolic process	Biological Process
A0A1D8NF56	GO:0006857	oligopeptide transport	Biological Process
A0A1D8NF56	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NF56	GO:0022857	transmembrane transporter activity	Molecular Function
A0A1D8NF56	GO:0055085	transmembrane transport	Biological Process
A0A1D8NKR0	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NBS4			
A0A1D8NB19			
A0A1D8NGG4			
A0A1D8NF02	GO:0000139	Golgi membrane	Cellular Component
A0A1D8NF02	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	Molecular Function
A0A1D8NF02	GO:0005509	calcium ion binding	Molecular Function
A0A1D8NF02	GO:0005783	endoplasmic reticulum	Cellular Component
A0A1D8NF02	GO:0006491	N-glycan processing	Biological Process
A0A1D8NF02	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NF02	GO:0035977	protein deglycosylation involved in glycoprotein catabolic process	Biological Process
A0A1D8NF02	GO:0097466	ubiquitin-dependent glycoprotein ERAD pathway	Biological Process
A0A1D8NHU3			
A0A1D8NMX5	GO:0005524	ATP binding	Molecular Function
A0A1D8NMX5	GO:0005832	chaperonin-containing T-complex	Cellular Component
A0A1D8NMX5	GO:0006457	protein folding	Biological Process
A0A1D8NMX5	GO:0051082	unfolded protein binding	Molecular Function
A0A1H6QBH0	GO:0000753	cell morphogenesis involved in conjugation with cellular fusion	Biological Process
A0A1H6QBH0	GO:0016021	integral component of membrane	Cellular Component
A0A1H6QBH0	GO:0032220	plasma membrane fusion involved in cytogamy	Biological Process
A0A1H6QBH0	GO:0043332	mating projection tip	Cellular Component
A0A1H6PY20	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N4I3	GO:0005524	ATP binding	Molecular Function
A0A1D8N4I3	GO:0005871	kinesin complex	Cellular Component
A0A1D8N4I3	GO:0005874	microtubule	Cellular Component
A0A1D8N4I3	GO:0007018	microtubule-based movement	Biological Process
A0A1D8N4I3	GO:0008017	microtubule binding	Molecular Function
A0A1D8N4I3	GO:0008104	protein localization	Biological Process
A0A1D8N4I3	GO:0008574	ATP-dependent microtubule motor activity, plus-end-directed	Molecular Function
A0A1D8N4I3	GO:0030705	cytoskeleton-dependent intracellular transport	Biological Process
A0A1D8N4I6			
A0A1D8N5F8	GO:0005634	nucleus	Cellular Component
A0A1D8N5F8	GO:0030686	90S preribosome	Cellular Component
A0A1D8NGE8	GO:0000162	tryptophan biosynthetic process	Biological Process
A0A1D8NGE8	GO:0004048	anthranilate phosphoribosyltransferase activity	Molecular Function
A0A1D8NGQ6	GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8NGQ6	GO:0001077	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific	Molecular Function
A0A1D8NGQ6	GO:0005634	nucleus	Cellular Component
A0A1D8NGQ6	GO:0008270	zinc ion binding	Molecular Function
A0A1D8NGQ6	GO:0061414	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	Biological Process
A0A1D8NH68	GO:0001054	RNA polymerase I activity	Molecular Function
A0A1D8NH68	GO:0003677	DNA binding	Molecular Function
A0A1D8NH68	GO:0005736	RNA polymerase I complex	Cellular Component
A0A1D8NH68	GO:0006362	transcription elongation from RNA polymerase I promoter	Biological Process
A0A1D8NH68	GO:0042790	nucleolar large rRNA transcription by RNA polymerase I	Biological Process
A0A1D8NDK4	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	Molecular Function
A0A1D8NDK4	GO:0032259	methylation	Biological Process
A0A1D8NHC5	GO:0004631	phosphomevalonate kinase activity	Molecular Function
A0A1D8NHC5	GO:0005524	ATP binding	Molecular Function
A0A1D8NHC5	GO:0006694	steroid biosynthetic process	Biological Process
A0A1D8NHC5	GO:0016310	phosphorylation	Biological Process
A0A1D8NHC5	GO:0019287	isopentenyl diphosphate biosynthetic process, mevalonate pathway	Biological Process
A0A1D8NKQ8	GO:0000822	inositol hexakisphosphate binding	Molecular Function
A0A1D8NKQ8	GO:0003723	RNA binding	Molecular Function
A0A1D8NKQ8	GO:0004004	ATP-dependent RNA helicase activity	Molecular Function
A0A1D8NKQ8	GO:0005524	ATP binding	Molecular Function
A0A1D8NKQ8	GO:0005730	nucleolus	Cellular Component
A0A1D8NKQ8	GO:0005844	polysome	Cellular Component
A0A1D8NKQ8	GO:0005934	cellular bud tip	Cellular Component
A0A1D8NKQ8	GO:0006415	translational termination	Biological Process
A0A1D8NKQ8	GO:0008380	RNA splicing	Biological Process
A0A1D8NKQ8	GO:0010468	regulation of gene expression	Biological Process
A0A1D8NKQ8	GO:0010494	cytoplasmic stress granule	Cellular Component
A0A1D8NKQ8	GO:0010501	RNA secondary structure unwinding	Biological Process
A0A1D8NKQ8	GO:0016973	poly(A)+ mRNA export from nucleus	Biological Process
A0A1D8NKQ8	GO:0031965	nuclear membrane	Cellular Component
A0A1D8NKQ8	GO:0044614	nuclear pore cytoplasmic filaments	Cellular Component
A0A1D8NKQ8	GO:0071013	catalytic step 2 spliceosome	Cellular Component
A0A1H6PZA8	GO:0004322	ferroxidase activity	Molecular Function
A0A1H6PZA8	GO:0005743	mitochondrial inner membrane	Cellular Component
A0A1H6PZA8	GO:0005758	mitochondrial intermembrane space	Cellular Component
A0A1H6PZA8	GO:0005759	mitochondrial matrix	Cellular Component
A0A1H6PZA8	GO:0006121	mitochondrial electron transport, succinate to ubiquinone	Biological Process
A0A1H6PZA8	GO:0006749	glutathione metabolic process	Biological Process
A0A1H6PZA8	GO:0006879	cellular iron ion homeostasis	Biological Process
A0A1H6PZA8	GO:0007005	mitochondrion organization	Biological Process
A0A1H6PZA8	GO:0008198	ferrous iron binding	Molecular Function
A0A1H6PZA8	GO:0008199	ferric iron binding	Molecular Function
A0A1H6PZA8	GO:0010040	response to iron(II) ion	Biological Process
A0A1H6PZA8	GO:0018283	iron incorporation into metallo-sulfur cluster	Biological Process
A0A1H6PZA8	GO:0034599	cellular response to oxidative stress	Biological Process
A0A1H6PZA8	GO:0034986	iron chaperone activity	Molecular Function
A0A1H6PZA8	GO:0042802	identical protein binding	Molecular Function
A0A1H6PZA8	GO:0051537	2 iron, 2 sulfur cluster binding	Molecular Function
A0A1D8NFR4	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Biological Process
A0A1D8NFR4	GO:0005730	nucleolus	Cellular Component
A0A1D8NFR4	GO:0030686	90S preribosome	Cellular Component
A0A1D8NFR4	GO:0032040	small-subunit processome	Cellular Component
A0A1D8NFZ2	GO:0031505	fungal-type cell wall organization	Biological Process
A0A1D8NIR3	GO:0000139	Golgi membrane	Cellular Component
A0A1D8NIR3	GO:0000287	magnesium ion binding	Molecular Function
A0A1D8NIR3	GO:0004012	phospholipid-translocating ATPase activity	Molecular Function
A0A1D8NIR3	GO:0005524	ATP binding	Molecular Function
A0A1D8NIR3	GO:0005802	trans-Golgi network	Cellular Component
A0A1D8NIR3	GO:0005886	plasma membrane	Cellular Component
A0A1D8NIR3	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NIR3	GO:0045332	phospholipid translocation	Biological Process
A0A1D8NIR3	GO:0048194	Golgi vesicle budding	Biological Process
