genes	Goterms	Annotation GO Category
A0A1H6PQH8	mediator complex	Cellular Component
A0A1H6PQH8	positive regulation of nucleic acid-templated transcription	Biological Process
A0A1H6PHA1	protein polyubiquitination	Biological Process
A0A1H6PHA1	Doa10p ubiquitin ligase complex	Cellular Component
A0A1H6PHA1	Hrd1p ubiquitin ligase ERAD-L complex	Cellular Component
A0A1H6PHA1	ATP binding	Molecular Function
A0A1H6PHA1	chromatin assembly or disassembly	Biological Process
A0A1H6PHA1	negative regulation of transcription by transcription factor catabolism	Biological Process
A0A1H6PHA1	ubiquitin-dependent ERAD pathway	Biological Process
A0A1H6PHA1	chromatin silencing at silent mating-type cassette	Biological Process
A0A1H6PHA1	fungal-type cell wall organization	Biological Process
A0A1H6PHA1	ubiquitin protein ligase binding	Molecular Function
A0A1H6PHA1	ubiquitin protein ligase activity	Molecular Function
A0A1H6PHA1	ubiquitin conjugating enzyme activity	Molecular Function
A0A1D8NGE4		
A0A1D8NF59	phosphoprotein phosphatase activity	Molecular Function
A0A1D8NF59	cytoplasm	Cellular Component
A0A1D8NF59	carbohydrate metabolic process	Biological Process
A0A1D8NF59	membrane	Cellular Component
A0A1D8NF59	sterol biosynthetic process	Biological Process
A0A1D8NF59	sterol 3-beta-glucosyltransferase activity	Molecular Function
A0A1D8NF59	lipid glycosylation	Biological Process
A0A1D8NF59	intracellular membrane-bounded organelle	Cellular Component
A0A1D8NF59	soladodine glucosyltransferase activity	Molecular Function
A0A1D8NF59	brassicasterol glucosyltransferase activity	Molecular Function
A0A1D8NF59	cholesterol allpha-glucosyltransferase activity	Molecular Function
A0A1D8NLZ9	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	Molecular Function
A0A1D8NLZ9	oxidation-reduction process	Biological Process
A0A1D8NG94	SNARE binding	Molecular Function
A0A1D8NG94	SNAP receptor activity	Molecular Function
A0A1D8NG94	endosome	Cellular Component
A0A1D8NG94	intracellular protein transport	Biological Process
A0A1D8NG94	exocytosis	Biological Process
A0A1D8NG94	vesicle fusion	Biological Process
A0A1D8NG94	integral component of membrane	Cellular Component
A0A1D8NG94	SNARE complex	Cellular Component
A0A1D8NG94	ascospore-type prospore membrane assembly	Biological Process
A0A1D8NG94	cell division site	Cellular Component
A0A1D8NG94	plasma membrane raft	Cellular Component
A0A1D8NG94	vesicle docking	Biological Process
A0A1D8NG94	cell tip	Cellular Component
A0A1D8NG94	prospore membrane leading edge	Cellular Component
A0A1D8NG94	prospore membrane spindle pole body attachment site	Cellular Component
A0A1D8NG94	prospore membrane biogenesis	Biological Process
A0A1H6Q184	protein transporter activity	Molecular Function
A0A1H6Q184	mitochondrial intermembrane space protein transporter complex	Cellular Component
A0A1H6Q184	TIM22 mitochondrial import inner membrane insertion complex	Cellular Component
A0A1H6Q184	protein import into mitochondrial inner membrane	Biological Process
A0A1H6Q184	metal ion binding	Molecular Function
A0A1H6Q184	unfolded protein binding	Molecular Function
A0A1H6Q184	chaperone-mediated protein transport	Biological Process
A0A1D8NB85	RNA polymerase II complex binding	Molecular Function
A0A1D8NB85	mRNA binding	Molecular Function
A0A1D8NB85	cytoplasm	Cellular Component
A0A1D8NB85	mRNA cleavage factor complex	Cellular Component
A0A1D8NB85	termination of RNA polymerase II transcription	Biological Process
A0A1D8NB85	mRNA polyadenylation	Biological Process
A0A1D8NB85	mRNA cleavage	Biological Process
A0A1H6PYL6	nucleus	Cellular Component
A0A1H6PYL6	cytoplasm	Cellular Component
A0A1H6PYL6	regulation of mitotic metaphase/anaphase transition	Biological Process
A0A1H6PYL6	cellular response to glucose starvation	Biological Process
A0A1D8NM65		
A0A1H6PZZ9	nucleotide binding	Molecular Function
A0A1H6PZZ9	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	Biological Process
A0A1H6PZZ9	P-body	Cellular Component
A0A1H6PZZ9	"transcription, RNA-templated"	Biological Process
A0A1H6PZZ9	single-stranded DNA binding	Molecular Function
A0A1H6PZZ9	single-stranded RNA binding	Molecular Function
A0A1H6PZZ9	DNA-directed 5'-3' RNA polymerase activity	Molecular Function
A0A1H6PZZ9	RNA-directed 5'-3' RNA polymerase activity	Molecular Function
A0A1H6PZZ9	"RNA polymerase II, core complex"	Cellular Component
A0A1H6PZZ9	transcription initiation from RNA polymerase II promoter	Biological Process
A0A1H6PZZ9	translation initiation factor binding	Molecular Function
A0A1H6PZZ9	mRNA export from nucleus in response to heat stress	Biological Process
A0A1H6PZZ9	recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex	Biological Process
A0A1H6PZZ9	positive regulation of translational initiation	Biological Process
A0A1H6Q6E6	ATP binding	Molecular Function
A0A1H6Q6E6	transferase activity	Molecular Function
A0A1H6Q6E6	ligase activity	Molecular Function
A0A1D8NBJ4	DNA binding	Molecular Function
A0A1D8NBJ4	DNA-binding transcription factor activity	Molecular Function
A0A1D8NBJ4	"regulation of transcription, DNA-templated"	Biological Process
A0A1D8NN58	iron ion binding	Molecular Function
A0A1D8NN58	endoplasmic reticulum membrane	Cellular Component
A0A1D8NN58	fatty acid biosynthetic process	Biological Process
A0A1D8NN58	mannosyl-inositol phosphorylceramide metabolic process	Biological Process
A0A1D8NN58	integral component of membrane	Cellular Component
A0A1D8NN58	heme binding	Molecular Function
A0A1D8NN58	oxidation-reduction process	Biological Process
A0A1D8NN58	fatty acid alpha-hydroxylase activity	Molecular Function
A0A1D8NK83	negative regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NK83	nuclear chromatin	Cellular Component
A0A1D8NK83	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8NK83	"DNA-binding transcription factor activity, RNA polymerase II-specific"	Molecular Function
A0A1D8NK83	nitrogen catabolite activation of transcription from RNA polymerase II promoter	Biological Process
A0A1D8NK83	transcription factor complex	Cellular Component
A0A1D8NK83	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NK83	positive regulation of cellular response to amino acid starvation	Biological Process
A0A1H6PS65	aldehyde dehydrogenase (NAD) activity	Molecular Function
A0A1H6PS65	mitochondrion	Cellular Component
A0A1H6PS65	antibiotic metabolic process	Biological Process
A0A1H6PS65	monocarboxylic acid metabolic process	Biological Process
A0A1H6PS65	oxidation-reduction process	Biological Process
A0A1D8N616	exon-exon junction complex disassembly	Biological Process
A0A1D8NIK3	DNA secondary structure binding	Molecular Function
A0A1D8NIK3	"condensed nuclear chromosome, centromeric region"	Cellular Component
A0A1D8NIK3	AT DNA binding	Molecular Function
A0A1D8NIK3	chromatin binding	Molecular Function
A0A1D8NIK3	ATP binding	Molecular Function
A0A1D8NIK3	double-strand break repair	Biological Process
A0A1D8NIK3	nuclear mitotic cohesin complex	Cellular Component
A0A1D8NIK3	identical protein binding	Molecular Function
A0A1D8NIK3	protein heterodimerization activity	Molecular Function
A0A1D8NIK3	cohesin ATPase activity	Molecular Function
A0A1D8NIK3	topological DNA entrapment activity	Molecular Function
A0A1D8NIK3	mitotic cohesin ssDNA (lagging strand) loading	Biological Process
A0A1H6PLQ9	triglyceride lipase activity	Molecular Function
A0A1H6PLQ9	integral component of membrane	Cellular Component
A0A1H6PLQ9	lipid catabolic process	Biological Process
A0A1D8N7B7	lysophospholipase activity	Molecular Function
A0A1D8N7B7	endoplasmic reticulum membrane	Cellular Component
A0A1D8N7B7	integral component of membrane	Cellular Component
A0A1D8N7B7	phosphatidylcholine catabolic process	Biological Process
A0A1D8N7B7	regulation of phospholipid biosynthetic process	Biological Process
A0A1D8N8A7	negative regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N8A7	transcription coregulator activity	Molecular Function
A0A1D8N8A7	mediator complex	Cellular Component
A0A1D8N8A7	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N8A7	core mediator complex	Cellular Component
A0A1D8NDN7	endocytosis	Biological Process
A0A1D8NDN7	autophagy	Biological Process
A0A1D8NDN7	endosome membrane	Cellular Component
A0A1D8NDN7	protein transport	Biological Process
A0A1D8NDN7	vesicle organization	Biological Process
A0A1D8NDN7	extrinsic component of membrane	Cellular Component
A0A1D8NDN7	phosphatidylinositol binding	Molecular Function
A0A1D8N826	nucleosome	Cellular Component
A0A1D8N826	DNA binding	Molecular Function
A0A1D8N826	nucleus	Cellular Component
A0A1D8N826	nucleosome assembly	Biological Process
A0A1D8N5H6	aldehyde dehydrogenase (NAD) activity	Molecular Function
A0A1D8N5H6	oxidation-reduction process	Biological Process
A0A1D8N9B8	methylmalonate-semialdehyde dehydrogenase (acylating) activity	Molecular Function
A0A1D8N9B8	integral component of membrane	Cellular Component
A0A1D8N9B8	oxidation-reduction process	Biological Process
A0A1H6Q030	endoplasmic reticulum-Golgi intermediate compartment	Cellular Component
A0A1H6Q030	UDP-glucose transmembrane transport	Biological Process
A0A1H6Q030	integral component of membrane	Cellular Component
A0A1D8N8K0	3-deoxy-7-phosphoheptulonate synthase activity	Molecular Function
A0A1D8N8K0	aromatic amino acid family biosynthetic process	Biological Process
A0A1D8N8K0	chorismate biosynthetic process	Biological Process
A0A1H6PZL8	cytoplasm	Cellular Component
A0A1H6PZL8	acyl-CoA hydrolase activity	Molecular Function
A0A1D8NA98	3-hydroxyacyl-CoA dehydrogenase activity	Molecular Function
A0A1D8NA98	fatty acid metabolic process	Biological Process
A0A1D8NA98	oxidation-reduction process	Biological Process
A0A1D8NA98	NAD+ binding	Molecular Function
A0A1D8N553	sphingomyelin phosphodiesterase activity	Molecular Function
A0A1D8N553	sphingomyelin catabolic process	Biological Process
A0A1D8N553	"hydrolase activity, acting on glycosyl bonds"	Molecular Function
A0A1D8N553	metal ion binding	Molecular Function
A0A1H6PW89	endoplasmic reticulum membrane	Cellular Component
A0A1H6PW89	integral component of membrane	Cellular Component
A0A1D8N675	MAPK cascade	Biological Process
A0A1D8N675	MAP kinase activity	Molecular Function
A0A1D8N675	ATP binding	Molecular Function
A0A1D8N675	nucleus	Cellular Component
A0A1D8N675	cytoplasm	Cellular Component
A0A1D8N675	positive regulation of DNA-binding transcription factor activity	Biological Process
A0A1D8N675	cellular response to osmotic stress	Biological Process
A0A1H6QBU2	metal ion binding	Molecular Function
A0A1H6PSE9	homoaconitate hydratase activity	Molecular Function
A0A1H6PSE9	mitochondrion	Cellular Component
A0A1H6PSE9	lysine biosynthetic process via aminoadipic acid	Biological Process
A0A1H6PSE9	metal ion binding	Molecular Function
A0A1H6PSE9	"4 iron, 4 sulfur cluster binding"	Molecular Function
A0A1D8NF51	mitochondrial sorting and assembly machinery complex	Cellular Component
A0A1D8NEM7		
A0A1D8N5I5	integral component of membrane	Cellular Component
A0A1D8NKU6		
A0A1D8NA35		
A0A1D8NQS2	lipid metabolic process	Biological Process
A0A1D8NQS2	hydrolase activity	Molecular Function
A0A1D8NK47	nucleus	Cellular Component
A0A1D8NK47	transcription by RNA polymerase II	Biological Process
A0A1H6PXS4	DNA binding	Molecular Function
A0A1D8N421		
A0A1D8NQN9	extrinsic component of intraperoxisomal membrane	Cellular Component
A0A1D8NQN9	peroxisome inheritance	Biological Process
A0A1D8N8J5		
A0A1D8N4N5	aspartic-type endopeptidase activity	Molecular Function
A0A1D8N4N5	proteolysis	Biological Process
A0A1D8NQS3	guanyl-nucleotide exchange factor activity	Molecular Function
A0A1D8NQS3	GTPase activator activity	Molecular Function
A0A1D8NQS3	cytoplasm	Cellular Component
A0A1D8NQS3	small GTPase mediated signal transduction	Biological Process
A0A1D8NQS3	positive regulation of GTPase activity	Biological Process
A0A1D8NAH5	Golgi apparatus	Cellular Component
A0A1D8NAH5	plasma membrane	Cellular Component
A0A1D8NAH5	integral component of membrane	Cellular Component
A0A1D8NAH5	cellular metabolic process	Biological Process
A0A1D8NF56	oligopeptide transport	Biological Process
A0A1D8NF56	integral component of membrane	Cellular Component
A0A1D8NF56	transmembrane transporter activity	Molecular Function
A0A1D8NF56	transmembrane transport	Biological Process
A0A1D8NKR0	integral component of membrane	Cellular Component
A0A1D8NBS4		
A0A1D8NB19		
A0A1D8NGG4		
A0A1D8NF02	Golgi membrane	Cellular Component
A0A1D8NF02	"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity"	Molecular Function
A0A1D8NF02	calcium ion binding	Molecular Function
A0A1D8NF02	endoplasmic reticulum	Cellular Component
A0A1D8NF02	N-glycan processing	Biological Process
A0A1D8NF02	integral component of membrane	Cellular Component
A0A1D8NF02	protein deglycosylation involved in glycoprotein catabolic process	Biological Process
A0A1D8NF02	ubiquitin-dependent glycoprotein ERAD pathway	Biological Process
A0A1D8NHU3		
A0A1D8NMX5	ATP binding	Molecular Function
A0A1D8NMX5	chaperonin-containing T-complex	Cellular Component
A0A1D8NMX5	protein folding	Biological Process
A0A1D8NMX5	unfolded protein binding	Molecular Function
A0A1H6QBH0	cell morphogenesis involved in conjugation with cellular fusion	Biological Process
A0A1H6QBH0	integral component of membrane	Cellular Component
A0A1H6QBH0	plasma membrane fusion involved in cytogamy	Biological Process
A0A1H6QBH0	mating projection tip	Cellular Component
A0A1H6PY20	integral component of membrane	Cellular Component
A0A1D8N4I3	ATP binding	Molecular Function
A0A1D8N4I3	kinesin complex	Cellular Component
A0A1D8N4I3	microtubule	Cellular Component
A0A1D8N4I3	microtubule-based movement	Biological Process
A0A1D8N4I3	microtubule binding	Molecular Function
A0A1D8N4I3	protein localization	Biological Process
A0A1D8N4I3	"ATP-dependent microtubule motor activity, plus-end-directed"	Molecular Function
A0A1D8N4I3	cytoskeleton-dependent intracellular transport	Biological Process
A0A1D8N4I6		
A0A1D8N5F8	nucleus	Cellular Component
A0A1D8N5F8	90S preribosome	Cellular Component
A0A1D8NGE8	tryptophan biosynthetic process	Biological Process
A0A1D8NGE8	anthranilate phosphoribosyltransferase activity	Molecular Function
A0A1D8NGQ6	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8NGQ6	"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"	Molecular Function
A0A1D8NGQ6	nucleus	Cellular Component
A0A1D8NGQ6	zinc ion binding	Molecular Function
A0A1D8NGQ6	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	Biological Process
A0A1D8NH68	RNA polymerase I activity	Molecular Function
A0A1D8NH68	DNA binding	Molecular Function
A0A1D8NH68	RNA polymerase I complex	Cellular Component
A0A1D8NH68	transcription elongation from RNA polymerase I promoter	Biological Process
A0A1D8NH68	nucleolar large rRNA transcription by RNA polymerase I	Biological Process
A0A1D8NDK4	S-adenosylmethionine-dependent methyltransferase activity	Molecular Function
A0A1D8NDK4	methylation	Biological Process
A0A1D8NHC5	phosphomevalonate kinase activity	Molecular Function
A0A1D8NHC5	ATP binding	Molecular Function
A0A1D8NHC5	steroid biosynthetic process	Biological Process
A0A1D8NHC5	phosphorylation	Biological Process
A0A1D8NHC5	"isopentenyl diphosphate biosynthetic process, mevalonate pathway"	Biological Process
A0A1D8NKQ8	inositol hexakisphosphate binding	Molecular Function
A0A1D8NKQ8	RNA binding	Molecular Function
A0A1D8NKQ8	ATP-dependent RNA helicase activity	Molecular Function
A0A1D8NKQ8	ATP binding	Molecular Function
A0A1D8NKQ8	nucleolus	Cellular Component
A0A1D8NKQ8	polysome	Cellular Component
A0A1D8NKQ8	cellular bud tip	Cellular Component
A0A1D8NKQ8	translational termination	Biological Process
A0A1D8NKQ8	RNA splicing	Biological Process
A0A1D8NKQ8	regulation of gene expression	Biological Process
A0A1D8NKQ8	cytoplasmic stress granule	Cellular Component
A0A1D8NKQ8	RNA secondary structure unwinding	Biological Process
A0A1D8NKQ8	poly(A)+ mRNA export from nucleus	Biological Process
A0A1D8NKQ8	nuclear membrane	Cellular Component
A0A1D8NKQ8	nuclear pore cytoplasmic filaments	Cellular Component
A0A1D8NKQ8	catalytic step 2 spliceosome	Cellular Component
A0A1H6PZA8	ferroxidase activity	Molecular Function
A0A1H6PZA8	mitochondrial inner membrane	Cellular Component
A0A1H6PZA8	mitochondrial intermembrane space	Cellular Component
A0A1H6PZA8	mitochondrial matrix	Cellular Component
A0A1H6PZA8	"mitochondrial electron transport, succinate to ubiquinone"	Biological Process
A0A1H6PZA8	glutathione metabolic process	Biological Process
A0A1H6PZA8	cellular iron ion homeostasis	Biological Process
A0A1H6PZA8	mitochondrion organization	Biological Process
A0A1H6PZA8	ferrous iron binding	Molecular Function
A0A1H6PZA8	ferric iron binding	Molecular Function
A0A1H6PZA8	response to iron(II) ion	Biological Process
A0A1H6PZA8	iron incorporation into metallo-sulfur cluster	Biological Process
A0A1H6PZA8	cellular response to oxidative stress	Biological Process
A0A1H6PZA8	iron chaperone activity	Molecular Function
A0A1H6PZA8	identical protein binding	Molecular Function
A0A1H6PZA8	"2 iron, 2 sulfur cluster binding"	Molecular Function
A0A1D8NFR4	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NFR4	nucleolus	Cellular Component
A0A1D8NFR4	90S preribosome	Cellular Component
A0A1D8NFR4	small-subunit processome	Cellular Component
A0A1D8NFZ2	fungal-type cell wall organization	Biological Process
A0A1D8NIR3	Golgi membrane	Cellular Component
A0A1D8NIR3	magnesium ion binding	Molecular Function
A0A1D8NIR3	phospholipid-translocating ATPase activity	Molecular Function
A0A1D8NIR3	ATP binding	Molecular Function
A0A1D8NIR3	trans-Golgi network	Cellular Component
A0A1D8NIR3	plasma membrane	Cellular Component
A0A1D8NIR3	integral component of membrane	Cellular Component
A0A1D8NIR3	phospholipid translocation	Biological Process
A0A1D8NIR3	Golgi vesicle budding	Biological Process
A0A1H6PSX2	mitochondrion	Cellular Component
A0A1H6PSX2	tRNA methylation	Biological Process
A0A1H6PSX2	flavin adenine dinucleotide binding	Molecular Function
A0A1H6PSX2	mitochondrial tRNA wobble uridine modification	Biological Process
A0A1H6Q7E1	cytoplasm	Cellular Component
A0A1H6Q7E1	calcium-dependent protein serine/threonine phosphatase regulator activity	Molecular Function
A0A1H6Q7E1	regulation of phosphoprotein phosphatase activity	Biological Process
A0A1H6Q7E1	regulation of calcineurin-NFAT signaling cascade	Biological Process
A0A1D8N6Q2		
A0A1D8NNS4		
A0A1D8NJN0		
A0A1D8NMA7	integral component of membrane	Cellular Component
A0A1H6PXG8	vesicle docking involved in exocytosis	Biological Process
A0A1H6PZW5	plasma membrane	Cellular Component
A0A1H6PZW5	integral component of membrane	Cellular Component
A0A1H6PZW5	filamentous growth of a population of unicellular organisms in response to pH	Biological Process
A0A1H6PZW5	cellular response to pH	Biological Process
A0A1D8N460		
A0A1H6PZV7	Golgi apparatus	Cellular Component
A0A1H6PZV7	plasma membrane	Cellular Component
A0A1H6PZV7	(1->6)-beta-D-glucan biosynthetic process	Biological Process
A0A1H6PZV7	glucosidase activity	Molecular Function
A0A1H6PZV7	transport vesicle	Cellular Component
A0A1H6PZV7	integral component of endoplasmic reticulum membrane	Cellular Component
A0A1H6PZV7	site of polarized growth	Cellular Component
A0A1H6PZV7	fungal-type cell wall organization	Biological Process
A0A1D8NN06	histone deacetylase activity	Molecular Function
A0A1D8NN06	nuclear heterochromatin	Cellular Component
A0A1D8NN06	chromatin silencing	Biological Process
A0A1D8NN06	histone deacetylation	Biological Process
A0A1D8NN06	NAD+ binding	Molecular Function
A0A1D8NN06	chromosomal region	Cellular Component
A0A1D8NJR2		
A0A1D8N3W8	integral component of membrane	Cellular Component
A0A1D8N5A6	RNA binding	Molecular Function
A0A1D8ND10		
A0A1D8NDB8	cytoplasm	Cellular Component
A0A1D8NDB8	UDP-glucuronate decarboxylase activity	Molecular Function
A0A1D8NDB8	NAD+ binding	Molecular Function
A0A1D8N848	chronological cell aging	Biological Process
A0A1D8N848	membrane	Cellular Component
A0A1D8N848	phospholipid scrambling	Biological Process
A0A1D8N848	phospholipid scramblase activity	Molecular Function
A0A1D8N848	cellular response to oxidative stress	Biological Process
A0A1D8N848	cellular response to heat	Biological Process
A0A1D8N848	negative regulation of autophagy of mitochondrion	Biological Process
A0A1D8NPA7	"DNA-binding transcription factor activity, RNA polymerase II-specific"	Molecular Function
A0A1D8NPA7	RNA polymerase II transcription regulator recruiting activity	Molecular Function
A0A1D8NPA7	nucleus	Cellular Component
A0A1D8NPA7	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NPA7	cell differentiation	Biological Process
A0A1D8NPA7	sequence-specific DNA binding	Molecular Function
A0A1D8NPA7	transcription regulatory region DNA binding	Molecular Function
A0A1D8NPA7	mitotic spindle assembly	Biological Process
A0A1D8NBC8		
A0A1H6Q422	structural constituent of ribosome	Molecular Function
A0A1H6Q422	translation	Biological Process
A0A1H6Q422	cytosolic large ribosomal subunit	Cellular Component
A0A1H6Q422	response to cycloheximide	Biological Process
A0A1D8NE58	mRNA processing	Biological Process
A0A1D8NE58	"hydrolase activity, acting on ester bonds"	Molecular Function
A0A1D8N4T8	integral component of membrane	Cellular Component
A0A1D8N5B5		
A0A1H6PN34		
A0A1D8NME0		
A0A1H6PPE5	integral component of membrane	Cellular Component
A0A1H6PVP3		
A0A1D8N4C6		
A0A1D8N3P5	intracellular	Cellular Component
A0A1D8N3P5	intracellular sterol transport	Biological Process
A0A1D8NCZ4	GTPase activity	Molecular Function
A0A1D8NCZ4	GTP binding	Molecular Function
A0A1D8NCZ4	Golgi apparatus	Cellular Component
A0A1D8NCZ4	cytosol	Cellular Component
A0A1D8NCZ4	intracellular protein transport	Biological Process
A0A1D8NCZ4	protein localization to Golgi apparatus	Biological Process
A0A1D8NCZ4	response to endoplasmic reticulum stress	Biological Process
A0A1D8NCZ4	nuclear outer membrane-endoplasmic reticulum membrane network	Cellular Component
A0A1D8NCZ4	Golgi to plasma membrane protein transport	Biological Process
A0A1D8N8C4		
A0A1D8N8F1	DNA binding	Molecular Function
A0A1D8N8F1	negative regulation of sexual sporulation resulting in formation of a cellular spore	Biological Process
A0A1D8N8F1	positive regulation of asexual sporulation resulting in formation of a cellular spore	Biological Process
A0A1H6PN77	microtubule motor activity	Molecular Function
A0A1H6PN77	ATP binding	Molecular Function
A0A1H6PN77	kinesin complex	Cellular Component
A0A1H6PN77	microtubule	Cellular Component
A0A1H6PN77	microtubule-based movement	Biological Process
A0A1H6PN77	microtubule binding	Molecular Function
A0A1H6PN77	ATPase activity	Molecular Function
A0A1D8NGX3		
A0A1D8NDV1		
A0A1D8NEL7	integral component of membrane	Cellular Component
A0A1D8NL91	succinate:fumarate antiporter activity	Molecular Function
A0A1D8NL91	mitochondrial inner membrane	Cellular Component
A0A1D8NL91	mitochondrial transport	Biological Process
A0A1D8NL91	fumarate transport	Biological Process
A0A1D8NL91	integral component of membrane	Cellular Component
A0A1D8NL91	succinate transmembrane transport	Biological Process
A0A1D8NM85	nucleus	Cellular Component
