"ensembl_gene_id","name_1006"
"YBL095W","biological_process"
"YGL060W","G2/M transition of mitotic cell cycle"
"YGL060W","mitotic spindle organization"
"YGL060W","cell cycle G2/M phase transition"
"YLL007C","biological_process"
"YEL009C","positive regulation of transcription initiation from RNA polymerase II promoter"
"YEL009C","nitrogen catabolite activation of transcription from RNA polymerase II promoter"
"YEL009C","negative regulation of transcription by competitive promoter binding"
"YEL009C","negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to nutrient levels"
"YEL009C","positive regulation of RNA polymerase II transcriptional preinitiation complex assembly"
"YEL009C","cellular amino acid biosynthetic process"
"YEL009C","negative regulation of transcription from RNA polymerase II promoter"
"YEL009C","transcription, DNA-templated"
"YEL009C","regulation of transcription, DNA-templated"
"YEL009C","transcription from RNA polymerase II promoter"
"YEL015W","cytoplasmic mRNA processing body assembly"
"YEL015W","deadenylation-independent decapping of nuclear-transcribed mRNA"
"YEL015W","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"YOR083W","regulation of cell size"
"YOR083W","cell cycle"
"YOR083W","transcription, DNA-templated"
"YOR083W","regulation of transcription, DNA-templated"
"YOR083W","negative regulation of transcription involved in G1/S transition of mitotic cell cycle"
"YOR083W","transcription from RNA polymerase II promoter"
"YBR252W","pyrimidine deoxyribonucleoside triphosphate catabolic process"
"YBR252W","dUTP metabolic process"
"YBR252W","dUTP catabolic process"
"YBR252W","dITP catabolic process"
"YBR252W","nucleotide metabolic process"
"YBR252W","dUMP biosynthetic process"
"YDR329C","peroxisome organization"
"YDR329C","peroxisome inheritance"
"YDR329C","ER-dependent peroxisome organization"
"YDR329C","protein import into peroxisome membrane"
"YDL202W","mitochondrial translation"
"YDL202W","ribosome biogenesis"
"YHR209W","lipid homeostasis"
"YHR209W","metabolic process"
"YHR209W","methylation"
"YPR008W","regulation of transcription, DNA-templated"
"YPR008W","positive regulation of transcription from RNA polymerase II promoter"
"YPR008W","transcription from RNA polymerase II promoter"
"YPR008W","positive regulation of transcription from RNA polymerase II promoter in response to stress"
"YPR008W","positive regulation of transcription from RNA polymerase II promoter in response to acidic pH"
"YER075C","dephosphorylation"
"YER075C","protein dephosphorylation"
"YER075C","peptidyl-tyrosine dephosphorylation"
"YER075C","regulation of protein localization"
"YER075C","regulation of sporulation"
"YER075C","inactivation of MAPK activity involved in osmosensory signaling pathway"
"YER075C","inactivation of MAPK activity involved in conjugation with cellular fusion"
"YDL203C","fungal-type cell wall organization"
"YDL203C","positive regulation of signal transduction"
"YBR050C","negative regulation of transcription from RNA polymerase II promoter"
"YBR050C","regulation of catalytic activity"
"YMR197C","vacuole fusion, non-autophagic"
"YMR197C","vesicle fusion"
"YMR197C","Golgi to vacuole transport"
"YMR197C","intracellular protein transport"
"YMR197C","vesicle-mediated transport"
"YMR197C","protein transport"
"YMR197C","intra-Golgi vesicle-mediated transport"
"YMR197C","transport"
"YDR261W-A","transposition, RNA-mediated"
"YBL049W","biological_process"
"YER054C","protein dephosphorylation"
"YER054C","glycogen metabolic process"
"YER054C","regulation of catalytic activity"
"YDR305C","nucleoside catabolic process"
"YNL201C","positive regulation of double-strand break repair via nonhomologous end joining"
"YNL201C","cellular response to DNA damage stimulus"
"YNL201C","regulation of catalytic activity"
"YNL201C","protein dephosphorylation"
"YNL201C","negative regulation of DNA damage checkpoint"
"YNL201C","signal transduction involved in meiotic recombination checkpoint"
"YNL201C","negative regulation of glucose mediated signaling pathway"
"YCR061W","regulation of cell size"
"YPL171C","apoptotic process"
"YPL171C","metabolic process"
"YPL171C","oxidation-reduction process"
"YHR051W","mitochondrial electron transport, cytochrome c to oxygen"
"YHR051W","hydrogen ion transmembrane transport"
"YDL116W","mRNA-binding (hnRNP) protein import into nucleus"
"YDL116W","posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery"
"YDL116W","NLS-bearing protein import into nucleus"
"YDL116W","tRNA export from nucleus"
"YDL116W","protein export from nucleus"
"YDL116W","nucleocytoplasmic transport"
"YDL116W","mRNA export from nucleus in response to heat stress"
"YDL116W","mRNA transport"
"YDL116W","nuclear pore organization"
"YDL116W","mRNA export from nucleus"
"YDL116W","protein transport"
"YDL116W","nuclear envelope organization"
"YDL116W","cellular response to DNA damage stimulus"
"YDL116W","transport"
"YDL116W","rRNA export from nucleus"
"YDL116W","chromosome localization"
"YDL116W","snRNA export from nucleus"
"YDL116W","ribosomal protein import into nucleus"
"YDL116W","snRNP protein import into nucleus"
"YDL116W","double-strand break repair"
"YDL116W","protein import into nucleus"
"YDL116W","positive regulation of transcription from RNA polymerase II promoter"
"YDL116W","chromatin silencing at silent mating-type cassette"
"YDL116W","nuclear pore distribution"
"YDL116W","maintenance of chromatin silencing at telomere"
"YDL116W","telomere tethering at nuclear periphery"
"YDL116W","positive regulation of transcription, DNA-templated"
"YPR124W","copper ion transmembrane transport"
"YPR124W","copper ion import"
"YPR124W","copper ion transport"
"YPR124W","ion transport"
"YPR124W","transport"
"YGL167C","exocytosis"
"YGL167C","cellular calcium ion homeostasis"
"YGL167C","manganese ion transport"
"YGL167C","calcium ion transport"
"YGL167C","manganese ion transmembrane transport"
"YGL167C","calcium ion transmembrane transport"
"YDL165W","response to pheromone involved in conjugation with cellular fusion"
"YDL165W","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"YDL165W","nuclear-transcribed mRNA poly(A) tail shortening"
"YDL165W","regulation of cell cycle"
"YDL165W","transcription elongation from RNA polymerase II promoter"
"YDL165W","protein ubiquitination"
"YDL165W","regulation of transcription from RNA polymerase II promoter"
"YDL165W","negative regulation of transcription from RNA polymerase II promoter"
"YDL165W","transcription, DNA-templated"
"YDL165W","regulation of transcription, DNA-templated"
"YDL165W","positive regulation of transcription elongation from RNA polymerase II promoter"
"YDL165W","deadenylation-independent decapping of nuclear-transcribed mRNA"
"YLR154C-H","biological_process"
"YPL119C-A","biological_process"
"YIL143C","regulation of transposition, RNA-mediated"
"YIL143C","transcription from RNA polymerase II promoter"
"YIL143C","phosphorylation of RNA polymerase II C-terminal domain"
"YIL143C","nucleotide-excision repair"
"YIL143C","DNA duplex unwinding"
"YIL143C","promoter clearance from RNA polymerase II promoter"
"YIL143C","poly(A)+ mRNA export from nucleus"
"YIL143C","regulation of mitotic recombination"
"YIL143C","nucleotide-excision repair, DNA incision"
"YIL143C","transcriptional open complex formation at RNA polymerase II promoter"
"YIL143C","transcription initiation from RNA polymerase II promoter"
"YGR240C","proton transport"
"YGR240C","glycolytic process"
"YGR240C","hydrogen ion transmembrane transport"
"YGR240C","carbohydrate phosphorylation"
"YGR240C","fructose 6-phosphate metabolic process"
"YOR094W","positive regulation of phosphatidylinositol biosynthetic process"
"YOR094W","small GTPase mediated signal transduction"
"YOR094W","intracellular protein transport"
"YOR094W","vesicle-mediated transport"
"YOR094W","protein transport"
"YOR094W","actin cortical patch localization"
"YOR094W","cellular bud site selection"
"YOR094W","endocytosis"
"YOR094W","actin filament bundle assembly"
"YOR094W","transport"
"YOR094W","regulation of catalytic activity"
"YOR094W","obsolete GTP catabolic process"
"YOR094W","invasive filamentous growth"
"YDR167W","regulation of transcription, DNA-templated"
"YDR167W","RNA polymerase II transcriptional preinitiation complex assembly"
"YDR167W","transcription from RNA polymerase II promoter"
"YDR167W","histone acetylation"
"YDR167W","DNA-templated transcription, initiation"
"YBR063C","biological_process"
"YER052C","metabolic process"
"YER052C","methionine biosynthetic process"
"YER052C","threonine biosynthetic process"
"YER052C","homoserine biosynthetic process"
"YER052C","lysine biosynthetic process via diaminopimelate"
"YER052C","cellular amino acid biosynthetic process"
"YGR178C","mRNA polyadenylation"
"YGR178C","maintenance of rDNA"
"YGR178C","stress granule assembly"
"YGR178C","positive regulation of translation"
"YPL118W","mitochondrial translation"
"YPL118W","mitochondrial translational initiation"
"YPR187W","transcription, DNA-templated"
"YPR187W","ribosome biogenesis"
"YPR187W","transcription from RNA polymerase II promoter"
"YPR187W","transcription, RNA-templated"
"YPR187W","tRNA transcription from RNA polymerase III promoter"
"YPR187W","transcription from RNA polymerase I promoter"
"YPR187W","transcription from RNA polymerase III promoter"
"YJL065C","chromatin silencing at telomere"
"YJL065C","transcription, DNA-templated"
"YJL065C","regulation of transcription, DNA-templated"
"YOL141W","wybutosine biosynthetic process"
"YOL141W","tRNA methylation"
"YOL141W","methylation"
"YPR086W","regulation of transcription, DNA-templated"
"YPR086W","RNA polymerase II transcriptional preinitiation complex assembly"
"YPR086W","transcriptional start site selection at RNA polymerase II promoter"
"YPR086W","positive regulation of transcription regulatory region DNA binding"
"YPR086W","transcriptional open complex formation at RNA polymerase II promoter"
"YPR086W","DNA-templated transcription, initiation"
"YBR122C","mitochondrial translation"
"YBR271W","biological_process"
"YBR271W","positive regulation of translational termination"
"YBR271W","peptidyl-lysine dimethylation"
"YBR271W","peptidyl-lysine methylation"
"YBR279W","rRNA processing"
"YBR279W","transcription elongation from RNA polymerase I promoter"
"YBR279W","regulation of transcription involved in G1/S transition of mitotic cell cycle"
"YBR279W","mRNA 3'-end processing"
"YBR279W","transcription elongation from RNA polymerase II promoter"
"YBR279W","snoRNA 3'-end processing"
"YBR279W","regulation of transcription-coupled nucleotide-excision repair"
"YBR279W","positive regulation of histone H3-K36 trimethylation"
"YBR279W","regulation of histone H2B conserved C-terminal lysine ubiquitination"
"YBR279W","positive regulation of transcription elongation from RNA polymerase I promoter"
"YBR279W","chromatin organization involved in regulation of transcription"
"YBR279W","snoRNA transcription from an RNA polymerase II promoter"
"YBR279W","regulation of histone H3-K4 methylation"
"YBR279W","positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues"
"YBR279W","regulation of chromatin silencing at telomere"
"YBR279W","negative regulation of transcription from RNA polymerase II promoter"
"YBR279W","regulation of transcription from RNA polymerase II promoter"
"YBR279W","positive regulation of transcription elongation from RNA polymerase II promoter"
"YBR279W","chromatin silencing at rDNA"
"YBR279W","global genome nucleotide-excision repair"
"YBR279W","transcription from RNA polymerase I promoter"
"YBR279W","DNA-templated transcription, termination"
"YBR279W","negative regulation of DNA recombination"
"YBR279W","histone modification"
"YBR279W","regulation of histone H2B ubiquitination"
"YBR279W","regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues"
"YMR221C","biological_process"
"YMR221C","transport"
"YMR221C","transmembrane transport"
"YJL221C","carbohydrate metabolic process"
"YJL221C","maltose metabolic process"
"YJL221C","disaccharide catabolic process"
"YER130C","biological_process"
"YBR155W","protein folding"
"YDR363W","double-strand break repair via homologous recombination"
"YDR363W","intra-S DNA damage checkpoint"
"YDR363W","mitotic sister chromatid cohesion"
"YDR363W","chromatin silencing at silent mating-type cassette"
"YDR363W","transcription, DNA-templated"
"YDR363W","regulation of transcription, DNA-templated"
"YDR363W","positive regulation of protein sumoylation"
"YGR266W","biological_process"
"YLR443W","calcium ion transport"
"YLR443W","fungal-type cell wall organization"
"YLR443W","cell wall organization"
"YPL147W","transmembrane transport"
"YPL147W","fatty acid beta-oxidation"
"YPL147W","very long-chain fatty acid catabolic process"
"YPL147W","long-chain fatty acid catabolic process"
"YPL147W","transport"
"YPL147W","fatty acid transport"
"YPL147W","fatty-acyl-CoA transport"
"YPL147W","peroxisomal long-chain fatty acid import"
"YAL034C","biological_process"
"YBR067C","fungal-type cell wall organization"
"YBR067C","response to stress"
"YBR067C","metabolic process"
"YCR095C","biological_process"
"YLR270W","nuclear-transcribed mRNA catabolic process, deadenylation-independent decay"
"YLR270W","deadenylation-dependent decapping of nuclear-transcribed mRNA"
"YLR270W","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"YLR270W","response to oxidative stress"
"YLR270W","response to heat"
"YLR270W","response to osmotic stress"
"YLR270W","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"YLR270W","response to nutrient"
"YLR270W","positive regulation of exoribonuclease activity"
"YLR270W","regulation of cell aging"
"YPR084W","biological_process"
"YBR184W","biological_process"
"YMR113W","tetrahydrofolylpolyglutamate biosynthetic process"
"YMR113W","one-carbon metabolic process"
"YMR113W","folic acid-containing compound biosynthetic process"
"YMR113W","biosynthetic process"
"YMR113W","dihydrofolate biosynthetic process"
"YGR035C","biological_process"
"YDL222C","sporulation resulting in formation of a cellular spore"
"YDL222C","ascospore formation"
"YDL222C","fungal-type cell wall organization"
"YDL222C","response to stress"
"YCL008C","protein transport"
"YCL008C","cellular protein modification process"
"YCL008C","protein targeting to membrane"
"YCL008C","protein targeting to vacuole"
"YCL008C","late endosome to vacuole transport"
"YCL008C","ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"
"YCL008C","negative regulation of protein polyubiquitination"
"YEL065W","transmembrane transport"
"YEL065W","cellular iron ion homeostasis"
"YEL065W","siderophore transport"
"YEL065W","siderophore transmembrane transport"
"YNL335W","biological_process"
"YNL335W","metabolic process"
"YMR296C","sphingolipid biosynthetic process"
"YMR296C","biosynthetic process"
"YDR232W","tetrapyrrole biosynthetic process"
"YDR232W","heme biosynthetic process"
"YDR232W","metabolic process"
"YDR232W","protoporphyrinogen IX biosynthetic process"
"YDR232W","biosynthetic process"
"YHR116W","mitochondrial respiratory chain complex assembly"
"YDR313C","protein ubiquitination"
"YFR018C","biological_process"
"YFR018C","proteolysis"
"YKL007W","actin filament capping"
"YKL007W","barbed-end actin filament capping"
"YKL007W","actin cytoskeleton organization"
"YIL048W","phospholipid transport"
"YIL048W","vacuole organization"
"YIL048W","retrograde vesicle-mediated transport, Golgi to ER"
"YIL048W","cation transport"
"YIL048W","protein transport"
"YIL048W","endocytosis"
"YIL048W","transport"
"YIL048W","ion transmembrane transport"
"YIL048W","phospholipid translocation"
"YDL213C","ribosomal small subunit biogenesis"
"YDL213C","rRNA processing"
"YDL213C","ribosome biogenesis"
"YDR443C","negative regulation of transcription from RNA polymerase II promoter"
"YDR443C","regulation of transcription from RNA polymerase II promoter"
"YDR443C","positive regulation of transcription from RNA polymerase II promoter"
"YDR443C","transcription from RNA polymerase II promoter"
"YDR443C","positive regulation of transcription from RNA polymerase II promoter by galactose"
"YNL292W","RNA modification"
"YNL292W","tRNA modification"
"YNL292W","pseudouridine synthesis"
"YNL292W","RNA processing"
"YNL292W","mRNA pseudouridine synthesis"
"YKL183C-A","biological_process"
"YOR324C","response to stress"
"YOR324C","cellular response to salt stress"
"YOR324C","cellular response to alkaline pH"
"YNL134C","biological_process"
"YNL134C","oxidation-reduction process"
"YKL100C","biological_process"
"YKL100C","proteolysis"
"YOR192C-B","transposition, RNA-mediated"
"YOR192C-B","DNA recombination"
"YOR192C-B","metabolic process"
"YOR192C-B","proteolysis"
"YOR192C-B","DNA integration"
"YOR192C-B","transposition"
"YOR192C-B","viral procapsid maturation"
"YOR192C-B","DNA biosynthetic process"
"YOR192C-B","viral release from host cell"
"YOR192C-B","RNA-dependent DNA biosynthetic process"
"YOR192C-B","RNA phosphodiester bond hydrolysis"
"YPL021W","pseudohyphal growth"
"YPL021W","regulation of transcription, DNA-templated"
"YPL021W","cell wall organization"
"YIL146C","autophagy"
"YIL146C","autophagy of mitochondrion"
"YIL146C","fungal-type cell wall organization"
"YNL218W","defense response"
"YNL218W","DNA replication, Okazaki fragment processing"
"YNL218W","regulation of DNA repair"
"YNL218W","DNA repair"
"YNL218W","obsolete ATP catabolic process"
"YNL218W","DNA strand renaturation"
"YNL218W","DNA replication"
"YNL218W","positive regulation of catalytic activity"
"YIL121W","potassium ion transport"
"YIL121W","drug transmembrane transport"
"YIL121W","ion transport"
"YIL121W","transmembrane transport"
"YIL121W","transport"
"YIL121W","potassium ion import"
"YIL121W","copper ion export"
"YDL167C","biological_process"
"YPL214C","thiamine biosynthetic process"
"YPL214C","thiamine diphosphate biosynthetic process"
"YOR228C","biological_process"
"YOR228C","mitochondrion organization"
"YOR228C","lipid homeostasis"
"YBR270C","biological_process"
"YGR222W","mRNA processing"
"YGR222W","mitochondrial respiratory chain complex IV biogenesis"
"YGR222W","Group I intron splicing"
"YGR222W","positive regulation of mitochondrial translation"
"YEL063C","basic amino acid transport"
"YEL063C","amino acid transmembrane transport"
"YEL063C","amino acid transport"
"YEL063C","transmembrane transport"
"YEL063C","transport"
"YEL063C","arginine transport"
"YML020W","biological_process"
"YGR121C","ammonium transmembrane transport"
"YGR121C","nitrogen utilization"
"YGR121C","ammonium transport"
"YGR121C","transport"
"YBR222C","metabolic process"
"YBR222C","oxalate catabolic process"
"YDL095W","protein O-linked mannosylation"
"YDL095W","protein O-linked glycosylation"
"YDL095W","regulation of endoplasmic reticulum unfolded protein response"
"YDL095W","ER-associated misfolded protein catabolic process"
"YDL095W","protein exit from endoplasmic reticulum"
"YDL003W","double-strand break repair"
"YDL003W","establishment of mitotic sister chromatid cohesion"
"YDL003W","mitotic chromosome condensation"
"YDL003W","chromosome segregation"
"YDL003W","apoptotic process"
"YDL003W","cell division"
"YDL003W","cell cycle"
"YDL003W","mitotic nuclear division"
"YDL003W","cellular response to DNA damage stimulus"
"YDL003W","replication-born double-strand break repair via sister chromatid exchange"
"YDL003W","DNA unwinding involved in DNA replication"
"YDL003W","protein acetylation"
"YOR323C","oxidation-reduction process"
"YOR323C","metabolic process"
"YOR323C","proline biosynthetic process"
"YOR323C","L-proline biosynthetic process"
"YMR183C","intracellular protein transport"
"YMR183C","Golgi to plasma membrane transport"
"YMR183C","ascospore-type prospore assembly"
"YMR183C","vesicle-mediated transport"
"YMR183C","vesicle fusion"
"YOR274W","tRNA modification"
"YOR274W","tRNA processing"
"YOR274W","transfer RNA gene-mediated silencing"
"YER146W","tRNA processing"
"YER146W","nuclear-transcribed mRNA catabolic process"
"YER146W","mRNA splicing, via spliceosome"
"YER146W","rRNA processing"
"YER146W","RNA splicing"
"YER146W","mRNA processing"
"YML075C","oxidation-reduction process"
"YML075C","ergosterol biosynthetic process"
"YML075C","isoprenoid biosynthetic process"
"YML075C","isopentenyl diphosphate biosynthetic process, mevalonate pathway"
"YML075C","coenzyme A metabolic process"
"YPL063W","protein transport"
"YPL063W","protein import into mitochondrial matrix"
"YPL063W","regulation of mitochondrial membrane permeability"
"YDR457W","protein ubiquitination"
"YDR457W","regulation of transcription, DNA-templated"
"YDR457W","transcription, DNA-templated"
"YDR457W","mitotic nuclear division"
"YDR457W","protein ubiquitination involved in ubiquitin-dependent protein catabolic process"
"YDR457W","mRNA transport"
"YDR457W","nucleocytoplasmic transport"
"YDR457W","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"YDR457W","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"YDR457W","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"YDR457W","nucleus organization"
"YDR457W","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"YLR273C","regulation of catalytic activity"
"YLR273C","glycogen biosynthetic process"
"YLR273C","regulation of glycogen biosynthetic process"
"YDR181C","transcription, DNA-templated"
"YDR181C","chromatin silencing at telomere"
"YDR181C","histone acetylation"
"YGL097W","signal transduction"
"YGL097W","mitotic nuclear division"
"YGL097W","cell division"
"YGL097W","response to pheromone"
"YGL097W","rRNA export from nucleus"
"YGL097W","ribosomal subunit export from nucleus"
"YCL056C","peroxisome organization"
"YJL083W","fungal-type cell wall organization"
"YJL083W","lipid metabolic process"
"YJL083W","autophagy"
"YJL083W","inositol lipid-mediated signaling"
"YJL083W","cellular response to starvation"
"YMR242W-A","biological_process"
"YOR026W","mitotic spindle assembly checkpoint"
"YOR026W","cell cycle"
"YOR026W","mitotic DNA integrity checkpoint"
"YPL140C","signal transduction"
"YPL140C","autophagy of peroxisome"
"YPL140C","protein phosphorylation"
"YPL140C","phosphorylation"
"YPL140C","regulation of fungal-type cell wall organization"
"YPL140C","MAPK cascade"
"YPL140C","activation of MAPK activity"
"YNR016C","lipid biosynthetic process"
"YNR016C","protein import into nucleus"
"YNR016C","nuclear envelope organization"
"YNR016C","fatty acid biosynthetic process"
"YNR016C","metabolic process"
"YNR016C","long-chain fatty acid biosynthetic process"
"YNR016C","malonyl-CoA biosynthetic process"
"YER123W","vesicle-mediated transport"
"YER123W","protein phosphorylation"
"YER123W","phosphorylation"
"YGR055W","sulfur amino acid transport"
"YGR055W","amino acid transmembrane transport"
"YGR055W","amino acid transport"
"YGR055W","transmembrane transport"
"YGR055W","transport"
"YGR055W","methionine import"
"YGR055W","cysteine transport"
"YGR055W","L-amino acid transport"
"YGR055W","L-alpha-amino acid transmembrane transport"
"YGR055W","methionine transport"
"YKR054C","karyogamy"
"YKR054C","microtubule-based movement"
"YKR054C","nuclear migration along microtubule"
"YKR054C","mitotic sister chromatid segregation"
"YKR054C","mitotic spindle elongation"
"YKR054C","obsolete ATP catabolic process"
"YKR054C","establishment of mitotic spindle orientation"
"YKR054C","metabolic process"
"YKR054C","establishment of mitotic spindle localization"
"YMR315W","NADPH regeneration"
"YMR315W","metabolic process"
"YMR315W","oxidation-reduction process"
"YAL024C","regulation of exit from mitosis"
"YAL024C","mitotic spindle orientation checkpoint"
"YAL024C","regulation of small GTPase mediated signal transduction"
"YAL024C","small GTPase mediated signal transduction"
"YAL024C","vesicle-mediated transport"
"YAL024C","cell division"
"YAL024C","cell cycle"
"YAL024C","mitotic nuclear division"
"YAL024C","positive regulation of GTPase activity"
"YKL187C","biological_process"
"YKL187C","long-chain fatty acid transport"
"YDR383C","meiotic nuclear division"
"YDR383C","cell division"
"YDR383C","cell cycle"
"YDR383C","mitotic nuclear division"
"YDR383C","biological_process"
"YDR383C","meiotic cell cycle"
"YKL055C","lipid biosynthetic process"
"YKL055C","fatty acid biosynthetic process"
"YKL055C","fatty acid metabolic process"
"YKL055C","metabolic process"
"YKL055C","oxidation-reduction process"
"YKL055C","aerobic respiration"
"YDR035W","aromatic amino acid family biosynthetic process"
"YDR035W","cellular amino acid biosynthetic process"
"YDR035W","metabolic process"
"YDR035W","biosynthetic process"
"YDR035W","response to stress"
"YDR035W","chorismate biosynthetic process"
"YHR160C","protein import into peroxisome matrix"
"YGR047C","regulation of transcription, DNA-templated"
"YGR047C","RNA polymerase III type 1 promoter transcriptional preinitiation complex assembly"
"YGR047C","RNA polymerase III type 2 promoter transcriptional preinitiation complex assembly"
"YGR047C","transcription from a RNA polymerase III hybrid type promoter"
"YGR047C","transcription from RNA polymerase III type 2 promoter"
"YGR047C","5S class rRNA transcription from RNA polymerase III type 1 promoter"
"YDR119W","amino acid transport"
"YDR119W","biological_process"
"YDR119W","transmembrane transport"
"YDR119W","transport"
"YBR208C","urea catabolic process"
"YBR208C","allantoin catabolic process"
"YBR208C","protein peptidyl-prolyl isomerization"
"YBR208C","arginine metabolic process"
"YBR208C","protein folding"
"YBR208C","metabolic process"
"YBR208C","regulation of transcription, DNA-templated"
"YER151C","protein deubiquitination"
"YER151C","ribophagy"
"YER151C","regulation of ER to Golgi vesicle-mediated transport"
"YER151C","ubiquitin-dependent protein catabolic process"
"YER151C","proteolysis"
"YER151C","regulation of response to osmotic stress"
"YLR070C","carbohydrate metabolic process"
"YLR070C","oxidation-reduction process"
"YLR070C","D-xylose metabolic process"
"YLR070C","xylulose biosynthetic process"
"YLR070C","L-arabinose catabolic process to xylulose 5-phosphate"
"YPR019W","DNA unwinding involved in DNA replication"
"YPR019W","DNA strand elongation involved in DNA replication"
"YPR019W","mitotic S phase"
"YPR019W","double-strand break repair via break-induced replication"
"YPR019W","pre-replicative complex assembly involved in nuclear cell cycle DNA replication"
"YPR019W","DNA replication initiation"
"YPR019W","cell cycle"
"YPR019W","DNA replication"
"YPR019W","obsolete ATP catabolic process"
"YPR019W","nuclear DNA replication"
"YPL228W","7-methylguanosine mRNA capping"
"YPL228W","mRNA processing"
"YPL228W","positive regulation of transcription elongation from RNA polymerase II promoter"
"YPL228W","positive regulation of protein localization to nucleus"
"YPL228W","polynucleotide dephosphorylation"
"YPL228W","polynucleotide 5' dephosphorylation"
"YPR190C","transcription, DNA-templated"
"YPR190C","tRNA transcription from RNA polymerase III promoter"
"YGR041W","cellular bud site selection"
"YGR041W","cell cycle"
"YDR353W","cellular response to oxidative stress"
"YDR353W","cell redox homeostasis"
"YDR353W","oxidation-reduction process"
