genes	Goterm
KMXK_0A06630	allantoin assimilation pathway
KMXK_0A00250	allantoin catabolic process
KMXK_0D03860	allantoin catabolic process
KMXK_0D05370	allantoin catabolic process
KMXK_0F03310	allantoin catabolic process
KMXK_0H01620	allantoin catabolic process
KMXK_0D03610	alpha-amino acid biosynthetic process
KMXK_0E01570	alpha-amino acid biosynthetic process
KMXK_0E04730	alpha-amino acid biosynthetic process
KMXK_0B03390	alpha-ketoglutarate transport
KMXK_0F02450	amine metabolic process
KMXK_0A00520	amine transport
KMXK_0B00140	amino acid catabolic process to alcohol via Ehrlich pathway
KMXK_0D02430	amino acid catabolic process to alcohol via Ehrlich pathway
KMXK_0E03200	amino acid catabolic process to alcohol via Ehrlich pathway
KMXK_0G03150	amino acid catabolic process to alcohol via Ehrlich pathway
KMXK_0G01830	amino acid export across plasma membrane
KMXK_0G02410	amino acid transmembrane export from vacuole
KMXK_0H01500	amino acid transmembrane export from vacuole
KMXK_0H04230	amino acid transmembrane export from vacuole
KMXK_0A03090	amino acid transmembrane transport
KMXK_0A04670	amino acid transmembrane transport
KMXK_0A04760	amino acid transmembrane transport
KMXK_0A07470	amino acid transmembrane transport
KMXK_0A07480	amino acid transmembrane transport
KMXK_0A07810	amino acid transmembrane transport
KMXK_0B03810	amino acid transmembrane transport
KMXK_0C00190	amino acid transmembrane transport
KMXK_0C00790	amino acid transmembrane transport
KMXK_0C03460	amino acid transmembrane transport
KMXK_0C05050	amino acid transmembrane transport
KMXK_0D01460	amino acid transmembrane transport
KMXK_0E00460	amino acid transmembrane transport
KMXK_0E02350	amino acid transmembrane transport
KMXK_0E05110	amino acid transmembrane transport
KMXK_0E06320	amino acid transmembrane transport
KMXK_0F03530	amino acid transmembrane transport
KMXK_0F05010	amino acid transmembrane transport
KMXK_0G00140	amino acid transmembrane transport
KMXK_0G00150	amino acid transmembrane transport
KMXK_0G00640	amino acid transmembrane transport
KMXK_0G04200	amino acid transmembrane transport
KMXK_0H02150	amino acid transmembrane transport
KMXK_0H03800	amino acid transmembrane transport
KMXK_0A07990	amino acid transport
KMXK_0E00250	ammonia assimilation cycle
KMXK_0E03090	ammonia assimilation cycle
KMXK_0B07790	ammonium transmembrane transport
KMXK_0H02870	ammonium transmembrane transport
KMXK_0B00180	ammonium transport
KMXK_0B01120	ammonium transport
KMXK_0B06000	ammonium transport
KMXK_0D06170	AMP salvage
KMXK_0F01350	AMP salvage
KMXK_0E01660	anaerobic glycerol catabolic process
KMXK_0H03500	anaerobic respiration
KMXK_0A05370	anaphase-promoting complex-dependent catabolic process
KMXK_0B02390	anaphase-promoting complex-dependent catabolic process
KMXK_0C07090	anaphase-promoting complex-dependent catabolic process
KMXK_0D03720	anaphase-promoting complex-dependent catabolic process
KMXK_0F04210	anaphase-promoting complex-dependent catabolic process
KMXK_0F04360	anaphase-promoting complex-dependent catabolic process
KMXK_0G03890	anaphase-promoting complex-dependent catabolic process
KMXK_0B03560	anatomical structure development
KMXK_0G04260	antimonite transport
KMXK_0A07230	antisense RNA transcript catabolic process
KMXK_0G00180	apoptotic DNA fragmentation
KMXK_0G03500	apoptotic DNA fragmentation
KMXK_0A03790	apoptotic process
KMXK_0B02750	apoptotic process
KMXK_0B03110	apoptotic process
KMXK_0B08300	apoptotic process
KMXK_0B08310	apoptotic process
KMXK_0D05450	apoptotic process
KMXK_0E00400	apoptotic process
KMXK_0F03240	apoptotic process
KMXK_0F04720	apoptotic process
KMXK_0G00680	apoptotic process
KMXK_0G01720	apoptotic process
KMXK_0H01110	apoptotic process
KMXK_0H03500	apoptotic process
KMXK_0A01570	arabinose catabolic process
KMXK_0B06330	arabinose catabolic process
KMXK_0C00180	arabinose catabolic process
KMXK_0G01850	arabinose catabolic process
KMXK_0A06750	arginine biosynthetic process
KMXK_0B06030	arginine biosynthetic process
KMXK_0B08320	arginine biosynthetic process
KMXK_0C01710	arginine biosynthetic process
KMXK_0F02890	arginine biosynthetic process
KMXK_0F03880	arginine biosynthetic process
KMXK_0G01880	arginine biosynthetic process
KMXK_0G03990	arginine biosynthetic process
KMXK_0H01730	arginine biosynthetic process
KMXK_0A04020	arginine biosynthetic process via ornithine
KMXK_0E00300	arginine catabolic process to ornithine
KMXK_0D03860	arginine metabolic process
KMXK_0A07480	arginine transport
KMXK_0E00720	arginine transport
KMXK_0A04610	arginyl-tRNA aminoacylation
KMXK_0C00890	arginyl-tRNA aminoacylation
KMXK_0B04290	aromatic amino acid family biosynthetic process
KMXK_0D01290	aromatic amino acid family biosynthetic process
KMXK_0D01880	aromatic amino acid family biosynthetic process
KMXK_0G01070	aromatic amino acid family biosynthetic process
KMXK_0B02740	"aromatic amino acid family biosynthetic process, prephenate pathway"
KMXK_0C06670	aromatic amino acid family catabolic process
KMXK_0B06090	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
KMXK_0F05000	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
KMXK_0E01570	aromatic amino acid family metabolic process
KMXK_0F01450	aromatic amino acid family metabolic process
KMXK_0A06820	Arp2/3 complex-mediated actin nucleation
KMXK_0C00510	Arp2/3 complex-mediated actin nucleation
KMXK_0E02760	Arp2/3 complex-mediated actin nucleation
KMXK_0F04120	Arp2/3 complex-mediated actin nucleation
KMXK_0G04150	arsenite transport
KMXK_0G04260	arsenite transport
KMXK_0A04410	ascospore formation
KMXK_0A04790	ascospore formation
KMXK_0A04950	ascospore formation
KMXK_0A05570	ascospore formation
KMXK_0A06190	ascospore formation
KMXK_0A07910	ascospore formation
KMXK_0A08090	ascospore formation
KMXK_0B01430	ascospore formation
KMXK_0B03330	ascospore formation
KMXK_0B04240	ascospore formation
KMXK_0B04520	ascospore formation
KMXK_0B04540	ascospore formation
KMXK_0B05370	ascospore formation
KMXK_0C01430	ascospore formation
KMXK_0D00670	ascospore formation
KMXK_0D00970	ascospore formation
KMXK_0D02380	ascospore formation
KMXK_0D04170	ascospore formation
KMXK_0E01100	ascospore formation
KMXK_0E02250	ascospore formation
KMXK_0E02900	ascospore formation
KMXK_0E05050	ascospore formation
KMXK_0E05830	ascospore formation
KMXK_0F01380	ascospore formation
KMXK_0F03220	ascospore formation
KMXK_0F05190	ascospore formation
KMXK_0G00850	ascospore formation
KMXK_0G01500	ascospore formation
KMXK_0G02360	ascospore formation
KMXK_0G03540	ascospore formation
KMXK_0H03990	ascospore formation
KMXK_0A00520	ascospore wall assembly
KMXK_0A01840	ascospore wall assembly
KMXK_0A05640	ascospore wall assembly
KMXK_0A05650	ascospore wall assembly
KMXK_0A06820	ascospore wall assembly
KMXK_0A08080	ascospore wall assembly
KMXK_0B02160	ascospore wall assembly
KMXK_0B03830	ascospore wall assembly
KMXK_0B04760	ascospore wall assembly
KMXK_0C03110	ascospore wall assembly
KMXK_0C03820	ascospore wall assembly
KMXK_0D04210	ascospore wall assembly
KMXK_0E02020	ascospore wall assembly
KMXK_0E02360	ascospore wall assembly
KMXK_0F00210	ascospore wall assembly
KMXK_0F00450	ascospore wall assembly
KMXK_0F00910	ascospore wall assembly
KMXK_0F02740	ascospore wall assembly
KMXK_0F04220	ascospore wall assembly
KMXK_0G02070	ascospore wall assembly
KMXK_0H00490	ascospore wall assembly
KMXK_0H03280	ascospore wall assembly
KMXK_0C01300	ascospore-type prospore assembly
KMXK_0E01370	ascospore-type prospore assembly
KMXK_0H02190	ascospore-type prospore assembly
KMXK_0A07620	ascospore-type prospore membrane assembly
KMXK_0D00310	ascospore-type prospore membrane assembly
KMXK_0E02190	ascospore-type prospore membrane assembly
KMXK_0G04110	ascospore-type prospore membrane assembly
KMXK_0B06800	asparagine biosynthetic process
KMXK_0B01660	asparagine biosynthetic process from oxaloacetate
KMXK_0E03490	asparagine catabolic process
KMXK_0A04010	asparaginyl-tRNA aminoacylation
KMXK_0B01660	aspartate biosynthetic process
KMXK_0D01000	aspartate biosynthetic process
KMXK_0B02740	aspartate family amino acid biosynthetic process
KMXK_0E05070	aspartate metabolic process
KMXK_0H04040	aspartate transmembrane transport
KMXK_0A01700	aspartyl-tRNA aminoacylation
KMXK_0A00510	assembly of large subunit precursor of preribosome
KMXK_0A02440	assembly of large subunit precursor of preribosome
KMXK_0A04200	assembly of large subunit precursor of preribosome
KMXK_0D05730	assembly of large subunit precursor of preribosome
KMXK_0F02980	assembly of large subunit precursor of preribosome
KMXK_0G00900	assembly of large subunit precursor of preribosome
KMXK_0G01790	assembly of large subunit precursor of preribosome
KMXK_0H04480	assembly of large subunit precursor of preribosome
KMXK_0A03800	ATP biosynthetic process
KMXK_0A01230	ATP hydrolysis coupled proton transport
KMXK_0B00970	ATP hydrolysis coupled proton transport
KMXK_0B04750	ATP hydrolysis coupled proton transport
KMXK_0B04870	ATP hydrolysis coupled proton transport
KMXK_0B07240	ATP hydrolysis coupled proton transport
KMXK_0D04410	ATP hydrolysis coupled proton transport
KMXK_0D04620	ATP hydrolysis coupled proton transport
KMXK_0E01180	ATP hydrolysis coupled proton transport
KMXK_0F00670	ATP hydrolysis coupled proton transport
KMXK_0F01270	ATP hydrolysis coupled proton transport
KMXK_0F03780	ATP hydrolysis coupled proton transport
KMXK_0F03940	ATP hydrolysis coupled proton transport
KMXK_0H01210	ATP hydrolysis coupled proton transport
KMXK_0H01380	ATP hydrolysis coupled proton transport
KMXK_0H02170	ATP hydrolysis coupled proton transport
KMXK_0B07240	ATP metabolic process
KMXK_0F00670	ATP metabolic process
KMXK_0A00740	ATP synthesis coupled proton transport
KMXK_0A06310	ATP synthesis coupled proton transport
KMXK_0B06160	ATP synthesis coupled proton transport
KMXK_0C01890	ATP synthesis coupled proton transport
KMXK_0C03010	ATP synthesis coupled proton transport
KMXK_0C04280	ATP synthesis coupled proton transport
KMXK_0D05360	ATP synthesis coupled proton transport
KMXK_0E01430	ATP synthesis coupled proton transport
KMXK_0E02400	ATP synthesis coupled proton transport
KMXK_0E03560	ATP synthesis coupled proton transport
KMXK_0F01270	ATP synthesis coupled proton transport
KMXK_0F04170	ATP synthesis coupled proton transport
KMXK_0F04310	ATP synthesis coupled proton transport
KMXK_0G00300	ATP synthesis coupled proton transport
KMXK_0H01380	ATP synthesis coupled proton transport
KMXK_0E02530	ATP transport
KMXK_0H03010	ATP transport
KMXK_0H03500	ATP transport
KMXK_0A04850	ATP-dependent chromatin remodeling
KMXK_0B01620	ATP-dependent chromatin remodeling
KMXK_0B03870	ATP-dependent chromatin remodeling
KMXK_0B05450	ATP-dependent chromatin remodeling
KMXK_0C00800	ATP-dependent chromatin remodeling
KMXK_0C06190	ATP-dependent chromatin remodeling
KMXK_0D00430	ATP-dependent chromatin remodeling
KMXK_0D01750	ATP-dependent chromatin remodeling
KMXK_0F01160	ATP-dependent chromatin remodeling
KMXK_0F02910	ATP-dependent chromatin remodeling
KMXK_0G02750	ATP-dependent chromatin remodeling
KMXK_0A03610	attachment of GPI anchor to protein
KMXK_0B05100	attachment of GPI anchor to protein
KMXK_0D01610	attachment of GPI anchor to protein
KMXK_0D06300	attachment of GPI anchor to protein
KMXK_0F04660	attachment of GPI anchor to protein
KMXK_0C02020	attachment of spindle microtubules to kinetochore
KMXK_0D05700	attachment of spindle microtubules to kinetochore
KMXK_0G02700	attachment of spindle microtubules to kinetochore
KMXK_0A01980	attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation
KMXK_0A02140	autophagosome assembly
KMXK_0A04880	autophagosome assembly
KMXK_0A06070	autophagosome assembly
KMXK_0B04850	autophagosome assembly
KMXK_0C03140	autophagosome assembly
KMXK_0C05480	autophagosome assembly
KMXK_0D01540	autophagosome assembly
KMXK_0E05370	autophagosome assembly
KMXK_0F01090	autophagosome assembly
KMXK_0G03540	autophagosome assembly
KMXK_0G03760	autophagosome assembly
KMXK_0H02370	autophagosome assembly
KMXK_0A02360	autophagy
KMXK_0A05480	autophagy
KMXK_0A07500	autophagy
KMXK_0A07620	autophagy
KMXK_0A07990	autophagy
KMXK_0B02850	autophagy
KMXK_0B07310	autophagy
KMXK_0C01300	autophagy
KMXK_0C02490	autophagy
KMXK_0D04960	autophagy
KMXK_0D06410	autophagy
KMXK_0D06470	autophagy
KMXK_0E00530	autophagy
KMXK_0E01900	autophagy
KMXK_0E06110	autophagy
KMXK_0H03360	autophagy
KMXK_0A02140	autophagy of mitochondrion
KMXK_0A06070	autophagy of mitochondrion
KMXK_0B06620	autophagy of mitochondrion
KMXK_0C02420	autophagy of mitochondrion
KMXK_0C03140	autophagy of mitochondrion
KMXK_0C04030	autophagy of mitochondrion
KMXK_0D04550	autophagy of mitochondrion
KMXK_0F01090	autophagy of mitochondrion
KMXK_0F05620	autophagy of mitochondrion
KMXK_0G01020	autophagy of mitochondrion
KMXK_0G03760	autophagy of mitochondrion
KMXK_0H01320	autophagy of mitochondrion
KMXK_0H02370	autophagy of mitochondrion
KMXK_0B02120	autophagy of nucleus
KMXK_0E06280	autophagy of nucleus
KMXK_0A02140	autophagy of peroxisome
KMXK_0A04880	autophagy of peroxisome
KMXK_0B03570	autophagy of peroxisome
KMXK_0B04850	autophagy of peroxisome
KMXK_0B07980	autophagy of peroxisome
KMXK_0C01630	autophagy of peroxisome
KMXK_0C03690	autophagy of peroxisome
KMXK_0C06090	autophagy of peroxisome
KMXK_0D01540	autophagy of peroxisome
KMXK_0E04120	autophagy of peroxisome
KMXK_0E05710	autophagy of peroxisome
KMXK_0G02910	autophagy of peroxisome
KMXK_0H01290	autophagy of peroxisome
KMXK_0H02910	autophagy of peroxisome
KMXK_0H03260	autophagy of peroxisome
KMXK_0H03270	autophagy of peroxisome
KMXK_0A02830	avoidance of host defenses
KMXK_0A06190	axial cellular bud site selection
KMXK_0B05000	axial cellular bud site selection
KMXK_0C03830	axial cellular bud site selection
KMXK_0E02240	axial cellular bud site selection
KMXK_0E02910	axial cellular bud site selection
KMXK_0E03730	axial cellular bud site selection
KMXK_0E04590	axial cellular bud site selection
KMXK_0F03740	axial cellular bud site selection
KMXK_0H01080	axial cellular bud site selection
KMXK_0D02670	azole transport
KMXK_0D02690	azole transport
KMXK_0A07490	barbed-end actin filament capping
KMXK_0B01610	barbed-end actin filament capping
KMXK_0B02330	barbed-end actin filament capping
KMXK_0B02660	barbed-end actin filament capping
KMXK_0B05410	barbed-end actin filament capping
KMXK_0C00690	barbed-end actin filament capping
KMXK_0G02990	barbed-end actin filament capping
KMXK_0A04460	base-excision repair
KMXK_0A05570	base-excision repair
KMXK_0A07220	base-excision repair
KMXK_0A07370	base-excision repair
KMXK_0B00490	base-excision repair
KMXK_0C01970	base-excision repair
KMXK_0C05630	base-excision repair
KMXK_0D06190	base-excision repair
KMXK_0E03260	base-excision repair
KMXK_0B00440	"base-excision repair, AP site formation"
KMXK_0B03780	"base-excision repair, AP site formation"
KMXK_0E01800	"base-excision repair, AP site formation"
KMXK_0A06960	"base-excision repair, base-free sugar-phosphate removal"
KMXK_0C05640	"base-excision repair, base-free sugar-phosphate removal"
KMXK_0B06590	"base-excision repair, gap-filling"
KMXK_0A01560	basic amino acid transmembrane export from vacuole
KMXK_0A07470	basic amino acid transport
KMXK_0B01640	basic amino acid transport
KMXK_0G00860	basic amino acid transport
KMXK_0H00120	basic amino acid transport
KMXK_0B06880	beta-alanine biosynthetic process
KMXK_0A03270	bile acid and bile salt transport
KMXK_0G04190	bile acid and bile salt transport
KMXK_0G04260	bile acid and bile salt transport
KMXK_0A01620	bilirubin transport
KMXK_0D02040	bilirubin transport
KMXK_0B04410	biofilm formation
KMXK_0B06540	biofilm formation
KMXK_0C05820	biofilm formation
KMXK_0D01390	biofilm formation
KMXK_0E04130	biofilm formation
KMXK_0G03820	biofilm formation
KMXK_0H02550	biofilm formation
KMXK_0A06370	biological regulation
KMXK_0A06570	biological regulation
KMXK_0A04360	biological_process
KMXK_0A06020	biological_process
KMXK_0B02030	biological_process
KMXK_0B07310	biological_process
KMXK_0C02240	biological_process
KMXK_0D02800	biological_process
KMXK_0E06110	biological_process
KMXK_0F01750	biological_process
KMXK_0F02560	biological_process
KMXK_0F05570	biological_process
KMXK_0G02820	biological_process
